WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,UBW,UBL
6,Paris,Open Gaz de France,04/02/08,2,Indoor,Carpet,1st Round,3,Daniilidou E.,Azarenka V.,36,24,795,1026,2,6,6,2,7,5,2,1,Completed,3.25,1.33,3.22,1.32,3,1.364,3.2,1.417,3.1,1.35
6,Paris,Open Gaz de France,04/02/08,2,Indoor,Carpet,1st Round,3,Srebotnik K.,Loit E.,28,49,971,572,6,2,6,4,,,2,0,Completed,1.16,4.5,1.2,4.25,1.222,4,1.217,5.21,1.2,4.3
6,Paris,Open Gaz de France,05/02/08,2,Indoor,Carpet,1st Round,3,Garbin T.,Tu M.,39,51,711,549,6,3,6,4,,,2,0,Completed,1.66,2.1,1.73,2.03,1.727,2,1.84,2.09,1.74,2.04
6,Paris,Open Gaz de France,05/02/08,2,Indoor,Carpet,1st Round,3,Szavay A.,Govortsova O.,20,45,1303,585,6,1,6,1,,,2,0,Completed,1.22,4,1.2,4.25,1.2,4.333,1.225,5.05,1.23,4
6,Paris,Open Gaz de France,05/02/08,2,Indoor,Carpet,1st Round,3,Kvitova P.,Medina Garrigues A.,152,30,221,898,6,2,6,3,,,2,0,Completed,2.5,1.5,2.55,1.5,2.5,1.5,2.84,1.49,2.52,1.5
6,Paris,Open Gaz de France,05/02/08,2,Indoor,Carpet,1st Round,3,Cibulkova D.,Pin C.,46,71,581,430,7,5,6,3,,,2,0,Completed,1.61,2.2,1.6,2.3,1.571,2.25,1.641,2.46,1.61,2.25
6,Paris,Open Gaz de France,05/02/08,2,Indoor,Carpet,1st Round,3,Fedak Y.,Knapp K.,126,48,275,576,7,6,4,6,6,2,2,1,Completed,2.1,1.66,,,2.1,1.667,2.09,1.84,2.1,1.7
6,Paris,Open Gaz de France,05/02/08,2,Indoor,Carpet,1st Round,3,Bondarenko K.,Petrova N.,43,11,642,1912,7,6,3,6,6,4,2,1,Completed,4,1.22,4.25,1.2,4,1.222,4.5,1.263,4.35,1.2
6,Paris,Open Gaz de France,05/02/08,2,Indoor,Carpet,1st Round,3,Mauresmo A.,Ditty J.,18,101,1453,337,6,1,6,2,,,2,0,Completed,1.1,6.5,1.07,7.19,1.1,6.5,1.138,7.55,1.1,6.75
6,Paris,Open Gaz de France,06/02/08,2,Indoor,Carpet,1st Round,3,Dechy N.,Peng S.,64,50,456,556,6,4,7,6,,,2,0,Completed,2,1.72,2.12,1.67,2,1.72,2.04,1.833,2.03,1.75
