WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL
7,Paris,Open GDF Suez,28/01/13,Premier,Indoor,Hard,1st Round,3,Barthel M.,Radwanska U.,45,36,1225,1395,7,6,6,0,,,2,0,Completed,1.25,3.75,1.3,3.3,1.3,3.4,1.29,3.9,1.36,2.88,1.36,4,1.28,3.53
7,Paris,Open GDF Suez,28/01/13,Premier,Indoor,Hard,1st Round,3,Zakopalova K.,Medina Garrigues A.,24,61,1800,1005,2,6,7,5,6,0,2,1,Completed,1.36,3,1.35,2.95,1.4,2.75,1.39,3.22,1.44,2.63,1.44,3.8,1.38,2.97
7,Paris,Open GDF Suez,28/01/13,Premier,Indoor,Hard,1st Round,3,Mchale C.,Parmentier P.,42,74,1267,855,6,4,6,1,,,2,0,Completed,2.37,1.53,2.15,1.65,2.25,1.57,2.38,1.64,2.25,1.62,2.45,1.7,2.25,1.62
7,Paris,Open GDF Suez,29/01/13,Premier,Indoor,Hard,1st Round,3,Suarez Navarro C.,Niculescu M.,31,58,1510,1020,6,3,7,6,,,2,0,Completed,3,1.36,2.8,1.4,2.75,1.4,3.16,1.4,2.88,1.36,3.25,1.44,2.94,1.38
7,Paris,Open GDF Suez,29/01/13,Premier,Indoor,Hard,1st Round,3,Voegele S.,Pironkova T.,100,41,677,1285,6,4,6,2,,,2,0,Completed,1.57,2.25,1.7,2.05,1.73,2,1.7,2.26,1.83,1.83,1.83,2.3,1.67,2.14
7,Paris,Open GDF Suez,29/01/13,Premier,Indoor,Hard,1st Round,3,Cornet A.,Arvidsson S.,35,37,1420,1380,6,3,4,6,6,0,2,1,Completed,2.5,1.5,2.6,1.45,2.38,1.53,2.57,1.56,2.5,1.5,3.35,1.56,2.67,1.46
7,Paris,Open GDF Suez,29/01/13,Premier,Indoor,Hard,1st Round,3,Mladenovic K.,Goerges J.,87,19,743,1965,7,5,5,7,7,6,2,1,Completed,3.5,1.28,3.75,1.25,3.5,1.29,3.96,1.29,3,1.33,4.6,1.33,3.6,1.27
7,Paris,Open GDF Suez,29/01/13,Premier,Indoor,Hard,1st Round,3,Vinci R.,Halep S.,16,48,2585,1210,6,0,6,3,,,2,0,Completed,1.28,3.5,1.25,3.7,1.25,3.75,1.32,3.7,1.22,3.75,1.33,4.05,1.27,3.63
7,Paris,Open GDF Suez,30/01/13,Premier,Indoor,Hard,1st Round,3,Wickmayer Y.,Pavlyuchenkova A.,22,28,1835,1595,7,6,4,6,6,3,2,1,Completed,1.72,2,1.75,2,1.73,2,1.76,2.16,1.73,2,1.83,2.18,1.75,2.03
7,Paris,Open GDF Suez,30/01/13,Premier,Indoor,Hard,1st Round,3,Bertens K.,Paszek T.,65,27,990,1618,6,4,7,5,,,2,0,Completed,1.83,1.83,1.95,1.8,2,1.73,2.02,1.88,2,1.73,2.11,1.9,1.93,1.81
7,Paris,Open GDF Suez,30/01/13,Premier,Indoor,Hard,1st Round,3,Safarova L.,Dominguez Lino L.,18,49,2160,1181,2,6,6,1,6,1,2,1,Completed,1.12,6,1.16,4.8,1.17,4.5,1.18,5.43,1.14,5,1.19,6,1.14,5.29
7,Paris,Open GDF Suez,30/01/13,Premier,Indoor,Hard,1st Round,3,Rybarikova M.,Razzano V.,63,164,997,414,6,4,3,6,6,3,2,1,Completed,1.9,1.8,1.95,1.8,1.83,1.83,1.87,2.01,1.8,1.91,2.05,2.03,1.89,1.86
7,Paris,Open GDF Suez,30/01/13,Premier,Indoor,Hard,2nd Round,3,Barthel M.,Vinci R.,45,16,1225,2585,4,6,6,1,6,3,2,1,Completed,2,1.72,2.1,1.7,2,1.73,2.27,1.71,1.91,1.8,2.3,1.83,2.07,1.71
7,Paris,Open GDF Suez,30/01/13,Premier,Indoor,Hard,2nd Round,3,Bartoli M.,Mchale C.,10,42,3740,1267,7,5,6,1,,,2,0,Completed,1.28,3.5,1.3,3.3,1.3,3.4,1.33,3.64,1.33,3,1.33,3.8,1.3,3.38
7,Paris,Open GDF Suez,30/01/13,Premier,Indoor,Hard,2nd Round,3,Kvitova P.,Voegele S.,8,100,4285,677,7,6,6,3,,,2,0,Completed,1.36,3,1.35,3.05,1.33,3.25,1.35,3.49,1.29,3.25,1.4,3.5,1.35,3.12
7,Paris,Open GDF Suez,31/01/13,Premier,Indoor,Hard,2nd Round,3,Bertens K.,Cibulkova D.,65,14,990,2695,7,5,6,4,,,2,0,Completed,3.5,1.28,3.3,1.3,3.5,1.29,3.77,1.32,3,1.33,4.05,1.34,3.38,1.31
