WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL
7,Pattaya,Pattaya Women's Open,07/02/11,International,Outdoor,Hard,1st Round,3,Craybas J.,Lertcheewakarn N.,97,164,673,359,6,3,6,3,,,2,0,Completed,1.83,1.83,1.8,1.95,1.73,2,1.65,2.37,1.83,1.83,2,2.37,1.76,2
7,Pattaya,Pattaya Women's Open,07/02/11,International,Outdoor,Hard,1st Round,3,Zhang S.,Kucova Z.,92,122,732,565,6,4,6,2,,,2,0,Completed,1.14,5,1.17,4.55,1.14,5,1.16,5.88,1.14,5,1.48,5.5,1.21,4.19
7,Pattaya,Pattaya Women's Open,07/02/11,International,Outdoor,Hard,1st Round,3,Kirilenko M.,Brianti A.,25,95,2140,696,6,0,4,6,6,2,2,1,Completed,1.25,3.75,1.25,3.75,1.22,4,1.32,3.66,1.25,3.5,1.32,4.25,1.26,3.68
7,Pattaya,Pattaya Women's Open,07/02/11,International,Outdoor,Hard,1st Round,3,Peng S.,Chan Y.J.,40,112,1376,621,7,6,6,0,,,2,0,Completed,1.14,5,1.2,4.25,1.22,4,1.17,5.64,1.17,4.5,1.22,5.84,1.17,4.79
7,Pattaya,Pattaya Women's Open,08/02/11,International,Outdoor,Hard,1st Round,3,Amanmuradova A.,Zheng J.,72,43,893,1258,6,4,7,6,,,2,0,Completed,3,1.36,3.3,1.3,2.25,1.57,3.82,1.3,2.63,1.44,4.2,1.7,3.04,1.38
7,Pattaya,Pattaya Women's Open,08/02/11,International,Outdoor,Hard,1st Round,3,Wannasuk N.,Diyas Z.,475,154,70,389,6,4,6,4,,,2,0,Completed,5,1.14,4.4,1.19,3.5,1.29,5.99,1.16,,,5.99,1.29,4.7,1.18
7,Pattaya,Pattaya Women's Open,08/02/11,International,Outdoor,Hard,1st Round,3,Ivanovic A.,Luangnam N.,19,220,2405,258,6,0,6,2,,,2,0,Completed,1.01,15,1.03,10,1.02,11,1.02,16.97,1.02,11,1.03,31,1.02,14.22
7,Pattaya,Pattaya Women's Open,08/02/11,International,Outdoor,Hard,1st Round,3,Zvonareva V.,Paszek T.,3,89,7405,744,6,4,6,2,,,2,0,Completed,1.05,9,1.08,7,1.07,7.5,1.07,10.43,1.05,8,1.09,10.96,1.06,8.48
7,Pattaya,Pattaya Women's Open,08/02/11,International,Outdoor,Hard,1st Round,3,Errani S.,Chang K.C.,44,119,1245,585,4,6,6,2,6,4,2,1,Completed,1.4,2.75,1.4,2.8,1.36,3,1.44,2.97,1.36,2.88,1.45,3.25,1.38,2.91
7,Pattaya,Pattaya Women's Open,08/02/11,International,Outdoor,Hard,1st Round,3,Baltacha E.,Lertpitaksinchai N.,57,426,1030,83,6,2,6,3,,,2,0,Completed,1.11,6,1.15,5,1.17,4.5,1.15,6.16,1.14,5,1.17,6.22,1.15,5.18
7,Pattaya,Pattaya Women's Open,08/02/11,International,Outdoor,Hard,1st Round,3,Morita A.,Tanasugarn T.,58,70,1028,901,6,3,6,2,,,2,0,Completed,1.66,2.1,1.72,2.05,1.67,2.1,1.71,2.24,1.73,2,1.8,2.3,1.69,2.1
7,Pattaya,Pattaya Women's Open,08/02/11,International,Outdoor,Hard,1st Round,3,Date-Krumm K.,Voracova R.,55,85,1061,755,6,2,6,2,,,2,0,Completed,1.4,2.75,1.45,2.6,1.4,2.75,1.47,2.86,1.4,2.75,1.48,2.95,1.42,2.74
7,Pattaya,Pattaya Women's Open,08/02/11,International,Outdoor,Hard,1st Round,3,Vinci R.,Palkina K.,38,243,1475,221,6,1,6,3,,,2,0,Completed,1.08,7,1.12,5.75,1.11,6,1.11,7.74,1.1,6,1.13,8,1.1,6.47
7,Pattaya,Pattaya Women's Open,08/02/11,International,Outdoor,Hard,1st Round,3,Hantuchova D.,Nara K.,32,130,1790,538,6,2,6,1,,,2,0,Completed,1.33,3.25,1.4,2.8,1.36,3,1.34,3.54,1.4,2.75,1.4,3.75,1.36,3.02
7,Pattaya,Pattaya Women's Open,08/02/11,International,Outdoor,Hard,1st Round,3,Voskoboeva G.,Oprandi R.,560,69,51,910,4,6,6,3,7,5,2,1,Completed,2.2,1.61,1.95,1.8,2.2,1.62,2.17,1.76,2.25,1.57,2.27,1.8,2.14,1.67
7,Pattaya,Pattaya Women's Open,08/02/11,International,Outdoor,Hard,1st Round,3,Scheepers C.,Malek T.,80,134,807,504,7,6,6,2,,,2,0,Completed,1.5,2.5,1.55,2.35,1.5,2.5,1.53,2.65,1.5,2.5,1.6,2.65,1.53,2.47
7,Pattaya,Pattaya Women's Open,09/02/11,International,Outdoor,Hard,2nd Round,3,Peng S.,Baltacha E.,40,57,1376,1030,2,6,6,1,6,4,2,1,Completed,1.25,3.75,1.3,3.3,1.29,3.5,1.34,3.62,1.29,3.25,1.34,4.28,1.27,3.61
7,Pattaya,Pattaya Women's Open,09/02/11,International,Outdoor,Hard,2nd Round,3,Voskoboeva G.,Kirilenko M.,560,25,51,2140,1,6,7,5,6,4,2,1,Completed,5,1.14,4.65,1.17,5,1.14,5.42,1.19,4.5,1.17,6,1.22,5.06,1.16
7,Pattaya,Pattaya Women's Open,09/02/11,International,Outdoor,Hard,2nd Round,3,Vinci R.,Zhang S.,38,92,1475,732,7,5,6,1,,,2,0,Completed,1.3,3.4,1.3,3.3,1.33,3.25,1.36,3.44,1.33,3,1.36,3.69,1.32,3.25
7,Pattaya,Pattaya Women's Open,09/02/11,International,Outdoor,Hard,2nd Round,3,Ivanovic A.,Craybas J.,19,97,2405,673,4,6,6,1,7,5,2,1,Completed,1.04,10,1.06,7.75,1.05,8.5,1.06,12.5,1.05,8,1.08,14,1.06,9.14
7,Pattaya,Pattaya Women's Open,10/02/11,International,Outdoor,Hard,2nd Round,3,Errani S.,Morita A.,44,58,1245,1028,2,6,7,5,6,2,2,1,Completed,1.66,2.1,1.65,2.2,1.67,2.1,1.71,2.27,1.67,2.1,1.73,2.4,1.65,2.17
7,Pattaya,Pattaya Women's Open,10/02/11,International,Outdoor,Hard,2nd Round,3,Zvonareva V.,Wannasuk N.,3,475,7405,70,6,1,7,5,,,2,0,Completed,1.002,15,1.03,10,1.02,11,1.02,19.52,1.02,11,1.03,28.9,1.02,15.12
7,Pattaya,Pattaya Women's Open,10/02/11,International,Outdoor,Hard,2nd Round,3,Hantuchova D.,Date-Krumm K.,32,55,1790,1061,7,6,6,3,,,2,0,Completed,2,1.72,1.9,1.85,1.83,1.83,2.08,1.84,1.83,1.83,2.08,1.94,1.88,1.84
7,Pattaya,Pattaya Women's Open,10/02/11,International,Outdoor,Hard,2nd Round,3,Amanmuradova A.,Scheepers C.,72,80,893,807,6,2,6,4,,,2,0,Completed,2,1.72,1.9,1.85,1.83,1.83,1.93,1.98,2,1.73,2.03,1.98,1.9,1.84
7,Pattaya,Pattaya Women's Open,11/02/11,International,Outdoor,Hard,Quarterfinals,3,Errani S.,Voskoboeva G.,44,560,1245,51,2,6,6,3,6,2,2,1,Completed,1.28,3.5,1.35,3.05,1.4,2.75,1.29,4.09,1.33,3,1.4,4.09,1.31,3.37
