WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,MaxW,MaxL,AvgW,AvgL
8,Pattaya,Pattaya Women's Open,09/02/15,International,Outdoor,Hard,1st Round,3,Oprandi R.,Vesnina E.,112,72,509,787,6,3,6,3,,,2,0,Completed,6.5,1.1,5,1.16,5,1.14,6.09,1.16,7,1.17,5.54,1.13
8,Pattaya,Pattaya Women's Open,09/02/15,International,Outdoor,Hard,1st Round,3,Puig M.,Voegele S.,60,94,880,610,6,2,7,6,,,2,0,Completed,1.61,2.2,1.65,2.15,1.67,2.1,1.67,2.32,1.73,2.32,1.66,2.15
8,Pattaya,Pattaya Women's Open,09/02/15,International,Outdoor,Hard,1st Round,3,Rodina E.,Putintseva Y.,109,111,522,510,7,6,6,4,,,2,0,Completed,1.4,2.75,1.45,2.6,1.44,2.62,1.51,2.72,1.51,2.85,1.44,2.67
8,Pattaya,Pattaya Women's Open,09/02/15,International,Outdoor,Hard,1st Round,3,Zvonareva V.,Wang Q.,189,98,272,582,6,2,6,2,,,2,0,Completed,1.33,3.25,1.33,3.1,1.36,3,1.38,3.36,1.38,3.4,1.34,3.13
8,Pattaya,Pattaya Women's Open,10/02/15,International,Outdoor,Hard,1st Round,3,Duan Y.Y.,Chan Y.J.,130,183,434,285,7,6,7,5,,,2,0,Completed,2.37,1.53,2.35,1.55,2.2,1.62,2.63,1.54,2.7,1.62,2.49,1.51
8,Pattaya,Pattaya Women's Open,10/02/15,International,Outdoor,Hard,1st Round,3,Peng S.,Kudryavtseva A.,21,107,2080,528,6,3,6,2,,,2,0,Completed,1.28,3.5,1.25,3.75,1.29,3.5,1.31,3.8,1.31,4,1.26,3.64
8,Pattaya,Pattaya Women's Open,10/02/15,International,Outdoor,Hard,1st Round,3,Zhu L.,Peer S.,127,114,436,501,7,6,6,1,,,2,0,Completed,2.2,1.61,,,,,,,2.2,2.3,1.78,1.97
8,Pattaya,Pattaya Women's Open,10/02/15,International,Outdoor,Hard,1st Round,3,Doi M.,Tanasugarn T.,104,248,532,179,7,6,6,0,,,2,0,Completed,1.4,2.75,1.4,2.85,1.4,2.75,1.51,2.72,1.51,2.85,1.43,2.7
8,Pattaya,Pattaya Women's Open,10/02/15,International,Outdoor,Hard,1st Round,3,Tomljanovic A.,Kulichkova E.,68,181,840,287,6,3,7,6,,,2,0,Completed,2.2,1.61,2.15,1.68,1.83,1.83,2.36,1.65,2.36,1.83,2.14,1.67
8,Pattaya,Pattaya Women's Open,10/02/15,International,Outdoor,Hard,1st Round,3,Zhang S.,Vekic D.,64,84,855,667,6,2,6,0,,,2,0,Completed,1.66,2.1,1.72,2.05,1.83,1.83,1.78,2.14,1.91,2.14,1.76,2.01
8,Pattaya,Pattaya Women's Open,10/02/15,International,Outdoor,Hard,1st Round,3,Erakovic M.,Kumkhum L.,85,134,663,422,6,2,6,2,,,2,0,Completed,1.57,2.25,1.58,2.3,1.67,2.1,1.6,2.47,1.67,2.47,1.61,2.25
8,Pattaya,Pattaya Women's Open,10/02/15,International,Outdoor,Hard,1st Round,3,Zheng S.,Xu Y.F.,80,173,698,316,6,4,6,2,,,2,0,Completed,1.5,2.5,1.55,2.35,1.5,2.5,1.63,2.42,1.65,2.5,1.55,2.37
