WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,UBW,UBL
22,Prague,ECM Prague Open,28/04/08,Tier 4,Outdoor,Clay,1st Round,3,Poutchek T.,Dzehalevich E.,145,170,260,180,6,1,4,6,7,5,2,1,Completed,2.5,1.5,2.55,1.5,2.37,1.53,2.78,1.524,2.42,1.53
22,Prague,ECM Prague Open,28/04/08,Tier 4,Outdoor,Clay,1st Round,3,Kanepi K.,Sprem K.,55,270,519,96,7,5,6,0,,,2,0,Completed,2.2,1.61,2.15,1.65,2,1.72,2.2,1.769,2.15,1.67
22,Prague,ECM Prague Open,28/04/08,Tier 4,Outdoor,Clay,1st Round,3,Vinci R.,Pliskova Kri.,191,866,161,8,6,2,6,0,,,2,0,Completed,1.14,5,1.15,5.2,1.14,5,1.146,7.25,1.14,5.5
22,Prague,ECM Prague Open,29/04/08,Tier 4,Outdoor,Clay,1st Round,3,Pironkova T.,Ivanova E.,68,228,463,122,6,1,7,6,,,2,0,Completed,1.19,4.33,1.25,3.75,1.25,2.75,1.222,5.1,1.19,4.5
22,Prague,ECM Prague Open,29/04/08,Tier 4,Outdoor,Clay,1st Round,3,Rybarikova M.,Shaughnessy M.,167,61,186,500,6,1,6,3,,,2,0,Completed,1.5,2.5,1.5,2.45,1.5,2.5,1.556,2.7,1.47,2.6
22,Prague,ECM Prague Open,29/04/08,Tier 4,Outdoor,Clay,1st Round,3,Amanmuradova A.,Krajicek M.,65,45,465,649,6,4,6,3,,,2,0,Completed,2,1.72,1.99,1.76,1.909,1.8,2.27,1.73,2.22,1.63
22,Prague,ECM Prague Open,29/04/08,Tier 4,Outdoor,Clay,1st Round,3,Craybas J.,Knapp K.,64,40,465,699,6,4,6,2,,,2,0,Completed,3,1.36,2.75,1.42,2.625,1.444,3.14,1.427,3.1,1.35
22,Prague,ECM Prague Open,29/04/08,Tier 4,Outdoor,Clay,1st Round,3,Srebotnik K.,Meusburger Y.,30,85,975,389,6,0,6,0,,,2,0,Completed,1.07,7.5,1.13,5.5,1.125,5.5,1.131,7.93,1.09,7
22,Prague,ECM Prague Open,29/04/08,Tier 4,Outdoor,Clay,1st Round,3,Pliskova Kar.,Molik A.,671,118,17,309,6,4,6,4,,,2,0,Completed,4.5,1.16,4.25,1.2,,,4.28,1.279,,
22,Prague,ECM Prague Open,29/04/08,Tier 4,Outdoor,Clay,1st Round,3,Zakopalova K.,Errani S.,53,60,528,503,6,1,6,3,,,2,0,Completed,1.53,2.37,1.55,2.35,1.571,2.25,1.667,2.4,1.67,2.15
22,Prague,ECM Prague Open,29/04/08,Tier 4,Outdoor,Clay,1st Round,3,Zvonareva V.,Hradecka L.,13,203,1627,148,6,2,6,3,,,2,0,Completed,1.05,9,1.1,6.75,1.05,8.5,1.08,11,1.05,9.5
22,Prague,ECM Prague Open,29/04/08,Tier 4,Outdoor,Clay,1st Round,3,Czink M.,Pandzic J.,140,202,268,149,6,0,6,2,,,2,0,Completed,1.4,2.75,1.37,2.92,1.444,2.625,1.476,2.9,1.42,2.78
22,Prague,ECM Prague Open,30/04/08,Tier 4,Outdoor,Clay,1st Round,3,Dushevina V.,Muller M.,56,73,518,432,6,0,6,2,,,2,0,Completed,1.36,3,1.42,2.75,1.444,2.625,1.4,3.3,1.34,3.15
22,Prague,ECM Prague Open,30/04/08,Tier 4,Outdoor,Clay,1st Round,3,Peer S.,Lapushchenkova A.,18,136,1245,283,7,5,7,5,,,2,0,Completed,1.12,5.5,1.17,4.67,1.167,4.5,1.198,5.55,1.17,4.8
22,Prague,ECM Prague Open,30/04/08,Tier 4,Outdoor,Clay,1st Round,3,Benesova I.,Arvidsson S.,93,58,357,515,6,3,5,7,6,2,2,1,Completed,1.36,3,1.45,2.65,1.444,2.625,1.455,3,1.42,2.78
22,Prague,ECM Prague Open,30/04/08,Tier 4,Outdoor,Clay,1st Round,3,Azarenka V.,Kvitova P.,26,95,1044,347,6,3,6,4,,,2,0,Completed,1.33,3.25,1.3,3.35,1.4,2.75,1.385,3.4,1.32,3.28
22,Prague,ECM Prague Open,30/04/08,Tier 4,Outdoor,Clay,2nd Round,3,Vinci R.,Craybas J.,191,64,161,465,6,4,6,4,,,2,0,Completed,2.25,1.57,2.35,1.55,2.2,1.615,2.32,1.704,2.28,1.6
22,Prague,ECM Prague Open,30/04/08,Tier 4,Outdoor,Clay,2nd Round,3,Pliskova Kar.,Kanepi K.,671,55,17,519,1,6,6,3,7,5,2,1,Completed,5.5,1.12,5.2,1.15,5,1.14,5.9,1.185,5.6,1.13
22,Prague,ECM Prague Open,01/05/08,Tier 4,Outdoor,Clay,2nd Round,3,Azarenka V.,Poutchek T.,26,145,1044,260,6,2,6,2,,,2,0,Completed,1.07,7.5,1.1,6.75,1.083,7,1.08,11,1.1,6.75
22,Prague,ECM Prague Open,01/05/08,Tier 4,Outdoor,Clay,2nd Round,3,Zvonareva V.,Rybarikova M.,13,167,1627,186,,,,,,,,,Walkover,1.08,7,1.1,6.75,1.083,7,1.1,9,1.07,7.8
22,Prague,ECM Prague Open,01/05/08,Tier 4,Outdoor,Clay,2nd Round,3,Srebotnik K.,Czink M.,30,140,975,268,6,0,6,2,,,2,0,Completed,1.22,4,1.23,3.89,1.222,4,1.245,4.68,1.22,4.06
