WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,MaxW,MaxL,AvgW,AvgL
22,Prague,J&T Banka Prague Open,01/05/17,International,Outdoor,Clay,1st Round,3,Vondrousova M.,Witthoeft C.,115,71,484,832,6,7,7,5,6,2,2,1,Completed,1.44,2.62,1.42,2.65,,,1.46,2.9,1.5,2.9,1.46,2.68
22,Prague,J&T Banka Prague Open,01/05/17,International,Outdoor,Clay,1st Round,3,Dodin O.,Beck A.,63,66,928,900,7,5,6,4,,,2,0,Completed,2.1,1.66,2.1,1.65,,,2.12,1.79,2.25,1.79,2.1,1.72
22,Prague,J&T Banka Prague Open,01/05/17,International,Outdoor,Clay,1st Round,3,Giorgi C.,Pliskova Ka.,99,3,605,6010,7,6,6,2,,,2,0,Completed,5.5,1.14,5.2,1.13,,,5.65,1.17,6.35,1.18,5.27,1.15
22,Prague,J&T Banka Prague Open,01/05/17,International,Outdoor,Clay,1st Round,3,Wang Q.,Sakkari M.,57,95,984,648,6,1,4,6,6,2,2,1,Completed,2.1,1.66,2.1,1.65,,,2.2,1.74,2.25,1.74,2.17,1.67
22,Prague,J&T Banka Prague Open,02/05/17,International,Outdoor,Clay,1st Round,3,Wozniacki C.,Doi M.,11,52,3850,1050,6,0,7,5,,,2,0,Completed,1.1,7,1.07,7,,,1.09,8.89,1.13,9.25,1.08,7.68
22,Prague,J&T Banka Prague Open,02/05/17,International,Outdoor,Clay,1st Round,3,Haddad Maia B.,Mchale C.,144,45,390,1245,6,3,6,4,,,2,0,Completed,2.1,1.66,2.15,1.62,,,2.26,1.7,2.34,1.7,2.21,1.65
22,Prague,J&T Banka Prague Open,02/05/17,International,Outdoor,Clay,1st Round,3,Stosur S.,Rodina E.,19,78,2000,783,6,2,6,3,,,2,0,Completed,1.28,3.5,1.27,3.45,,,1.34,3.56,1.34,3.75,1.3,3.45
22,Prague,J&T Banka Prague Open,02/05/17,International,Outdoor,Clay,1st Round,3,Hradecka L.,Linette M.,173,80,317,753,6,3,6,4,,,2,0,Completed,1.66,2.1,1.65,2.1,,,1.74,2.21,1.74,2.21,1.69,2.14
22,Prague,J&T Banka Prague Open,02/05/17,International,Outdoor,Clay,1st Round,3,Strycova B.,Goerges J.,18,46,2130,1155,6,4,6,0,,,2,0,Completed,1.66,2.1,1.65,2.1,,,1.8,2.11,1.8,2.28,1.69,2.15
22,Prague,J&T Banka Prague Open,02/05/17,International,Outdoor,Clay,1st Round,3,Vikhlyantseva N.,Golubic V.,77,55,786,1011,6,1,6,1,,,2,0,Completed,1.5,2.5,1.5,2.4,,,1.55,2.61,1.62,2.7,1.52,2.5
22,Prague,J&T Banka Prague Open,02/05/17,International,Outdoor,Clay,1st Round,3,Barthel M.,Zhang S.,82,31,737,1510,6,0,6,3,,,2,0,Completed,1.53,2.37,1.5,2.4,,,1.58,2.52,1.58,2.55,1.54,2.43
22,Prague,J&T Banka Prague Open,02/05/17,International,Outdoor,Clay,1st Round,3,Pliskova Kr.,Jankovic J.,58,56,982,995,6,4,6,4,,,2,0,Completed,2.1,1.66,2.15,1.62,,,2.24,1.71,2.29,1.73,2.17,1.67
22,Prague,J&T Banka Prague Open,02/05/17,International,Outdoor,Clay,1st Round,3,Siniakova K.,Kovinic D.,39,106,1363,551,6,2,4,6,6,2,2,1,Completed,1.36,3,1.35,2.95,,,1.39,3.22,1.39,3.25,1.36,3.11
22,Prague,J&T Banka Prague Open,02/05/17,International,Outdoor,Clay,1st Round,3,Ostapenko J.,Tsurenko L.,50,44,1080,1265,6,4,6,3,,,2,0,Completed,1.44,2.62,1.45,2.55,,,1.51,2.73,1.51,2.75,1.48,2.61
22,Prague,J&T Banka Prague Open,02/05/17,International,Outdoor,Clay,1st Round,3,Konjuh A.,Cepelova J.,33,85,1497,709,6,2,6,2,,,2,0,Completed,1.57,2.25,1.55,2.3,,,1.61,2.45,1.61,2.55,1.57,2.38
22,Prague,J&T Banka Prague Open,02/05/17,International,Outdoor,Clay,1st Round,3,Safarova L.,Kucova K.,37,96,1391,640,3,6,7,5,6,3,2,1,Completed,1.11,6.5,1.1,5.9,,,1.13,7.01,1.13,7.01,1.11,6.36
22,Prague,J&T Banka Prague Open,03/05/17,International,Outdoor,Clay,2nd Round,3,Barthel M.,Dodin O.,82,63,737,928,6,3,6,1,,,2,0,Completed,1.5,2.5,1.45,2.55,,,1.53,2.7,1.55,2.87,1.5,2.57
22,Prague,J&T Banka Prague Open,03/05/17,International,Outdoor,Clay,2nd Round,3,Giorgi C.,Wang Q.,99,57,605,984,4,6,6,3,6,2,2,1,Completed,1.44,2.62,1.5,2.4,,,1.56,2.6,1.58,2.65,1.51,2.53
22,Prague,J&T Banka Prague Open,03/05/17,International,Outdoor,Clay,2nd Round,3,Siniakova K.,Vikhlyantseva N.,39,77,1363,786,4,6,6,4,6,4,2,1,Completed,1.72,2,1.72,2,,,1.87,2.04,1.87,2.16,1.75,2.06
22,Prague,J&T Banka Prague Open,03/05/17,International,Outdoor,Clay,2nd Round,3,Pliskova Kr.,Safarova L.,58,37,982,1391,,,,,,,,,Walkover,3.5,1.28,3.45,1.27,,,3.75,1.32,3.75,1.33,3.53,1.29
22,Prague,J&T Banka Prague Open,03/05/17,International,Outdoor,Clay,2nd Round,3,Haddad Maia B.,Stosur S.,144,19,390,2000,6,3,6,2,,,2,0,Completed,3,1.36,2.95,1.35,,,3.09,1.43,3.25,1.43,3.06,1.37
22,Prague,J&T Banka Prague Open,03/05/17,International,Outdoor,Clay,2nd Round,3,Strycova B.,Hradecka L.,18,173,2130,317,6,3,7,5,,,2,0,Completed,1.25,3.75,1.23,3.75,,,1.25,4.45,1.29,4.45,1.24,3.99
22,Prague,J&T Banka Prague Open,03/05/17,International,Outdoor,Clay,2nd Round,3,Ostapenko J.,Wozniacki C.,50,11,1080,3850,5,7,6,3,7,6,2,1,Completed,2.37,1.53,2.4,1.5,,,2.6,1.56,2.7,1.57,2.55,1.5
22,Prague,J&T Banka Prague Open,03/05/17,International,Outdoor,Clay,2nd Round,3,Konjuh A.,Vondrousova M.,33,115,1497,484,6,4,7,6,,,2,0,Completed,2.25,1.57,2.15,1.62,,,2.33,1.68,2.33,1.8,2.18,1.67
22,Prague,J&T Banka Prague Open,04/05/17,International,Outdoor,Clay,Quarterfinals,3,Barthel M.,Giorgi C.,82,99,737,605,7,6,7,6,,,2,0,Completed,1.66,2.1,1.65,2.1,,,1.77,2.2,1.78,2.2,1.72,2.1
22,Prague,J&T Banka Prague Open,04/05/17,International,Outdoor,Clay,Quarterfinals,3,Strycova B.,Siniakova K.,18,39,2130,1363,6,3,5,7,6,3,2,1,Completed,1.53,2.5,1.53,2.35,,,1.59,2.56,1.63,2.56,1.54,2.46
22,Prague,J&T Banka Prague Open,04/05/17,International,Outdoor,Clay,Quarterfinals,3,Pliskova Kr.,Haddad Maia B.,58,144,982,390,6,7,6,4,6,2,2,1,Completed,2.2,1.66,2,1.72,,,2.19,1.78,2.23,1.78,2.13,1.71
22,Prague,J&T Banka Prague Open,05/05/17,International,Outdoor,Clay,Quarterfinals,3,Barthel M.,Strycova B.,82,18,737,2130,3,6,6,2,6,3,2,1,Completed,2.62,1.5,2.5,1.47,,,2.71,1.54,2.73,1.55,2.56,1.51
22,Prague,J&T Banka Prague Open,05/05/17,International,Outdoor,Clay,Semifinals,3,Ostapenko J.,Konjuh A.,50,33,1080,1497,3,6,6,4,6,3,2,1,Completed,1.8,2,1.75,1.95,,,1.88,2.05,1.88,2.1,1.79,2
22,Prague,J&T Banka Prague Open,05/05/17,International,Outdoor,Clay,Semifinals,3,Pliskova Kr.,Ostapenko J.,58,50,982,1080,6,4,6,2,,,2,0,Completed,2.62,1.5,2.5,1.47,,,2.75,1.52,2.75,1.59,2.54,1.51
22,Prague,J&T Banka Prague Open,06/05/17,International,Outdoor,Clay,The Final,3,Barthel M.,Pliskova Kr.,82,58,737,982,2,6,7,5,6,2,2,1,Completed,1.72,2.1,1.72,2,,,1.77,2.2,1.8,2.25,1.74,2.08
