ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
7,Pune,Maharashtra Open,03/02/2020,ATP250,Outdoor,Hard,1st Round,3,Stebe C.M.,Karlovic I.,149,121,350,436,6,3,6,4,,,,,,,2,0,Completed,2.1,1.66,2.3,1.68,2.38,1.73,2.19,1.67
7,Pune,Maharashtra Open,03/02/2020,ATP250,Outdoor,Hard,1st Round,3,Sugita Y.,Fabbiano T.,86,134,645,394,6,3,6,0,,,,,,,2,0,Completed,1.4,2.75,1.45,2.95,1.45,3.25,1.4,2.9
7,Pune,Maharashtra Open,03/02/2020,ATP250,Outdoor,Hard,1st Round,3,Troicki V.,Nagal S.,191,125,263,416,6,2,6,7,6,1,,,,,2,1,Completed,1.4,2.75,1.47,2.85,1.48,2.93,1.43,2.78
7,Pune,Maharashtra Open,03/02/2020,ATP250,Outdoor,Hard,1st Round,3,Caruso S.,Ramanathan R.,98,182,588,280,3,6,6,4,7,5,,,,,2,1,Completed,1.83,1.83,2.02,1.88,2.02,2.05,1.84,1.94
7,Pune,Maharashtra Open,04/02/2020,ATP250,Outdoor,Hard,1st Round,3,Duckworth J.,Gojowczyk P.,96,106,598,523,7,6,6,4,,,,,,,2,0,Completed,1.72,2,1.8,2.11,1.91,2.2,1.74,2.07
7,Pune,Maharashtra Open,04/02/2020,ATP250,Outdoor,Hard,1st Round,3,Gerasimov E.,Lorenzi P.,90,115,620,472,6,2,6,3,,,,,,,2,0,Completed,1.33,3.25,1.41,3.14,1.41,3.45,1.34,3.17
7,Pune,Maharashtra Open,04/02/2020,ATP250,Outdoor,Hard,1st Round,3,Marcora R.,Rosol L.,174,176,297,292,6,3,6,2,,,,,,,2,0,Completed,2.37,1.53,2.3,1.68,2.57,1.68,2.32,1.6
7,Pune,Maharashtra Open,04/02/2020,ATP250,Outdoor,Hard,1st Round,3,Milojevic N.,Hoang A.,148,126,357,415,7,6,6,4,,,,,,,2,0,Completed,1.57,2.25,1.71,2.24,1.8,2.33,1.66,2.19
7,Pune,Maharashtra Open,04/02/2020,ATP250,Outdoor,Hard,1st Round,3,Ivashka I.,Donskoy E.,152,109,344,503,6,3,6,2,,,,,,,2,0,Completed,1.53,2.37,1.58,2.53,1.67,2.53,1.57,2.37
7,Pune,Maharashtra Open,04/02/2020,ATP250,Outdoor,Hard,1st Round,3,Vesely J.,Kadhe A.,107,612,520,36,6,2,6,4,,,,,,,2,0,Completed,1.08,8,1.1,8.4,1.11,9,1.08,7.68
7,Pune,Maharashtra Open,04/02/2020,ATP250,Outdoor,Hard,1st Round,3,Gunneswaran P.,Maden Y.,122,131,433,404,7,6,7,6,,,,,,,2,0,Completed,1.57,2.25,1.64,2.38,1.67,2.38,1.61,2.29
7,Pune,Maharashtra Open,05/02/2020,ATP250,Outdoor,Hard,1st Round,3,Daniel T.,Mukund S.,102,263,536,168,6,2,7,6,,,,,,,2,0,Completed,1.36,3,1.4,3.18,1.43,3.3,1.37,3.05
