WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,EXW,EXL,PSW,PSL,UBW,UBL
60,Quebec,Bell Challenge,29/10/07,3,Indoor,Hard,1st Round,3,Vakulenko J.,De Los Rios R.,36,107,817,320.5,6,2,6,0,,,2,0,Completed,1.12,5.5,1.12,5.85,1.1,6.25,1.158,6.71,1.15,5.2
60,Quebec,Bell Challenge,29/10/07,3,Indoor,Hard,1st Round,3,Zvonareva V.,Castano C.,24,111,1107,315,6,2,6,4,,,2,0,Completed,1.06,8,1.05,10,1.06,7.79,1.061,14,1.07,8
60,Quebec,Bell Challenge,30/10/07,3,Indoor,Hard,1st Round,3,Wozniak A.,Harkleroad A.,104,93,326.5,365,6,4,6,2,,,2,0,Completed,1.72,2,1.85,1.9,1.83,1.91,1.952,1.952,1.82,1.94
60,Quebec,Bell Challenge,30/10/07,3,Indoor,Hard,1st Round,3,Govortsova O.,Cravero J.,50,133,565.5,268,6,4,6,3,,,2,0,Completed,1.22,4,1.2,4.25,1.21,4.06,1.244,4.7,1.2,4.3
60,Quebec,Bell Challenge,30/10/07,3,Indoor,Hard,1st Round,3,King V.,Kremer A.,113,86,309,388,6,2,6,1,,,2,0,Completed,1.57,2.25,1.63,2.2,1.6,2.3,1.758,2.22,1.67,2.15
60,Quebec,Bell Challenge,30/10/07,3,Indoor,Hard,1st Round,3,Foretz S.,Shvedova Y.,151,87,227.5,383,6,3,6,4,,,2,0,Completed,2.1,1.66,2,1.75,2.1,1.7,2.28,1.725,2.1,1.7
60,Quebec,Bell Challenge,30/10/07,3,Indoor,Hard,1st Round,3,Craybas J.,Osterloh L.,95,77,358,410.25,6,4,2,6,6,2,2,1,Completed,2.37,1.53,2.25,1.6,2.28,1.58,2.53,1.613,2.34,1.57
60,Quebec,Bell Challenge,30/10/07,3,Indoor,Hard,1st Round,3,Bremond S.,Pelletier M.E.,91,157,368,200.5,6,2,6,3,,,2,0,Completed,1.53,2.37,1.58,2.3,1.64,2.17,1.671,2.39,1.6,2.28
60,Quebec,Bell Challenge,30/10/07,3,Indoor,Hard,1st Round,3,Jidkova A.,Rao S.,154,182,205.5,165,6,4,5,7,6,4,2,1,Completed,1.57,2.25,,,1.55,2.35,1.595,2.58,1.55,2.38
60,Quebec,Bell Challenge,30/10/07,3,Indoor,Hard,1st Round,3,Poutchkova O.,Erakovic M.,78,156,409.5,202,6,1,6,2,,,2,0,Completed,2.25,1.57,,,2.35,1.55,2.53,1.613,2.34,1.57
60,Quebec,Bell Challenge,31/10/07,3,Indoor,Hard,1st Round,3,Davenport L.,Kerber A.,126,82,290,399.25,6,3,6,3,,,2,0,Completed,1.02,12,1.02,13,1.04,9.25,1.033,23.5,1.02,15
