ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL
34,Queens Club,AEGON Championships,10/06/13,ATP250,Outdoor,Grass,1st Round,3,Evans D.,Pella G.,277,75,166,674,6,3,6,1,,,,,,,2,0,Completed,1.5,2.5,1.5,2.5,1.5,2.5,1.53,2.66,,,1.55,3,1.49,2.57
34,Queens Club,AEGON Championships,10/06/13,ATP250,Outdoor,Grass,1st Round,3,Bedene A.,Mathieu P.H.,78,80,645,628,7,6,6,3,,,,,,,2,0,Completed,2.62,1.44,2.8,1.4,2.62,1.44,2.55,1.57,2.75,1.44,3.05,1.57,2.69,1.45
34,Queens Club,AEGON Championships,10/06/13,ATP250,Outdoor,Grass,1st Round,3,Kudla D.,Delbonis F.,112,113,493,492,6,0,6,3,,,,,,,2,0,Completed,1.5,2.5,1.5,2.5,1.44,2.62,1.56,2.59,1.53,2.5,1.59,2.82,1.51,2.5
34,Queens Club,AEGON Championships,10/06/13,ATP250,Outdoor,Grass,1st Round,3,Giraldo S.,Levine J.,95,107,570,528,6,4,6,4,,,,,,,2,0,Completed,2.2,1.61,2.15,1.65,2.2,1.62,2.14,1.78,2.38,1.57,2.54,1.82,2.17,1.67
34,Queens Club,AEGON Championships,10/06/13,ATP250,Outdoor,Grass,1st Round,3,Dodig I.,Ward J.,54,215,843,218,6,7,7,6,7,6,,,,,2,1,Completed,1.33,3.25,1.3,3.3,1.29,3.5,1.37,3.26,1.25,3.75,1.37,3.95,1.31,3.31
34,Queens Club,AEGON Championships,10/06/13,ATP250,Outdoor,Grass,1st Round,3,Paire B.,Baker J.,25,295,1450,152,7,5,6,2,,,,,,,2,0,Completed,1.28,3.5,1.25,3.75,1.25,3.75,1.34,3.5,1.25,3.75,1.36,4.2,1.28,3.55
34,Queens Club,AEGON Championships,10/06/13,ATP250,Outdoor,Grass,1st Round,3,Matosevic M.,Nielsen F.,65,630,738,37,7,5,6,2,,,,,,,2,0,Completed,1.36,3,1.35,3,1.33,3.25,1.39,3.23,1.36,3,1.4,3.45,1.35,3.12
34,Queens Club,AEGON Championships,10/06/13,ATP250,Outdoor,Grass,1st Round,3,Malisse X.,Garcia-Lopez G.,56,79,805,636,6,4,5,7,6,4,,,,,2,1,Completed,1.36,3,1.4,2.8,1.36,3,1.36,3.4,1.44,2.75,1.45,3.4,1.39,2.93
34,Queens Club,AEGON Championships,10/06/13,ATP250,Outdoor,Grass,1st Round,3,De Bakker T.,Bozoljac I.,91,325,586,131,6,2,7,6,,,,,,,2,0,Completed,2.1,1.66,2,1.75,2,1.73,2.09,1.82,2.1,1.73,2.16,1.83,2.05,1.74
34,Queens Club,AEGON Championships,10/06/13,ATP250,Outdoor,Grass,1st Round,3,Sijsling I.,Ito T.,60,160,772,330,6,3,7,5,,,,,,,2,0,Completed,1.25,3.75,1.25,3.75,1.3,3.4,1.24,4.44,1.33,3.25,1.33,4.44,1.26,3.73
