WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
22,Rabat,Grand Prix SAR Lalla Meryem,29/04/2019,International,Outdoor,Clay,1st Round,3,Zidansek T.,Putintseva Y.,67,41,831,1262,3,6,6,4,6,3,2,1,Completed,2.2,1.61,2.26,1.7,2.33,1.81,2.17,1.68
22,Rabat,Grand Prix SAR Lalla Meryem,29/04/2019,International,Outdoor,Clay,1st Round,3,Shinikova I.,Maria T.,215,60,277,1005,6,4,6,2,,,2,0,Completed,4.33,1.2,4.69,1.23,4.69,1.25,4.28,1.21
22,Rabat,Grand Prix SAR Lalla Meryem,29/04/2019,International,Outdoor,Clay,1st Round,3,Van Uytvanck A.,Parmentier P.,52,69,1070,809,6,4,6,3,,,2,0,Completed,1.5,2.5,1.58,2.51,1.62,2.52,1.56,2.41
22,Rabat,Grand Prix SAR Lalla Meryem,29/04/2019,International,Outdoor,Clay,1st Round,3,Peterson R.,Golubic V.,62,80,951,764,7,6,6,3,,,2,0,Completed,1.66,2.1,1.72,2.23,1.73,2.25,1.68,2.16
22,Rabat,Grand Prix SAR Lalla Meryem,29/04/2019,International,Outdoor,Clay,1st Round,3,Bogdan A.,Cornet A.,132,54,449,1040,6,3,6,3,,,2,0,Completed,2.1,1.66,2.28,1.69,2.28,1.78,2.11,1.71
22,Rabat,Grand Prix SAR Lalla Meryem,29/04/2019,International,Outdoor,Clay,1st Round,3,Jorovic I.,Linette M.,99,86,611,695,6,3,6,2,,,2,0,Completed,2.1,1.66,2.19,1.75,2.23,1.8,2.09,1.72
22,Rabat,Grand Prix SAR Lalla Meryem,30/04/2019,International,Outdoor,Clay,1st Round,3,Hercog P.,Bara I.,71,178,797,333,7,6,6,4,,,2,0,Completed,,,,,1.54,2.5,1.54,2.5
22,Rabat,Grand Prix SAR Lalla Meryem,30/04/2019,International,Outdoor,Clay,1st Round,3,Sakkari M.,Danilovic O.,51,118,1088,503,6,0,6,2,,,2,0,Completed,1.72,2,1.79,2.13,1.8,2.16,1.75,2.06
22,Rabat,Grand Prix SAR Lalla Meryem,30/04/2019,International,Outdoor,Clay,1st Round,3,Hsieh S.W.,Gavrilova D.,24,58,1960,1010,6,1,3,6,6,2,2,1,Completed,1.5,2.5,1.53,2.65,1.55,2.78,1.49,2.58
22,Rabat,Grand Prix SAR Lalla Meryem,30/04/2019,International,Outdoor,Clay,1st Round,3,Lepchenko V.,Sorribes Tormo S.,149,75,401,785,6,3,6,3,,,2,0,Completed,2.5,1.5,2.68,1.52,2.68,1.6,2.49,1.52
22,Rabat,Grand Prix SAR Lalla Meryem,30/04/2019,International,Outdoor,Clay,1st Round,3,Bacsinszky T.,Larsson J.,111,92,579,660,6,3,6,1,,,2,0,Completed,1.22,4,1.26,4.25,1.28,4.25,1.24,3.93
22,Rabat,Grand Prix SAR Lalla Meryem,30/04/2019,International,Outdoor,Clay,1st Round,3,Arruabarrena L.,Zvonareva V.,110,82,584,731,7,6,7,5,,,2,0,Completed,1.66,2.1,1.85,2.05,1.85,2.2,1.77,2.03
22,Rabat,Grand Prix SAR Lalla Meryem,30/04/2019,International,Outdoor,Clay,1st Round,3,Bonaventure Y.,Rybarikova M.,122,72,490,788,2,6,6,1,7,6,2,1,Completed,1.44,2.62,1.52,2.69,1.55,2.78,1.5,2.57
22,Rabat,Grand Prix SAR Lalla Meryem,30/04/2019,International,Outdoor,Clay,1st Round,3,Konta J.,Wang Yaf.,47,56,1180,1027,4,6,7,6,6,4,2,1,Completed,1.53,2.37,1.6,2.49,1.62,2.7,1.55,2.42
22,Rabat,Grand Prix SAR Lalla Meryem,30/04/2019,International,Outdoor,Clay,1st Round,3,Tomljanovic A.,Ferro F.,43,90,1253,679,6,4,6,4,,,2,0,Completed,1.36,3,1.41,3.11,1.45,3.12,1.38,2.96
22,Rabat,Grand Prix SAR Lalla Meryem,30/04/2019,International,Outdoor,Clay,1st Round,3,Mertens E.,Flipkens K.,18,59,2580,1010,6,3,6,1,,,2,0,Completed,1.16,5,1.21,5,1.21,5.1,1.19,4.63
22,Rabat,Grand Prix SAR Lalla Meryem,01/05/2019,International,Outdoor,Clay,2nd Round,3,Hsieh S.W.,Arruabarrena L.,24,110,1960,584,4,6,7,5,6,3,2,1,Completed,1.4,2.75,1.46,2.96,1.5,2.96,1.43,2.77
22,Rabat,Grand Prix SAR Lalla Meryem,01/05/2019,International,Outdoor,Clay,2nd Round,3,Van Uytvanck A.,Lepchenko V.,52,149,1070,401,6,4,6,0,,,2,0,Completed,1.66,2.1,1.7,2.29,1.75,2.29,1.7,2.13
22,Rabat,Grand Prix SAR Lalla Meryem,01/05/2019,International,Outdoor,Clay,2nd Round,3,Konta J.,Bogdan A.,47,132,1180,449,6,1,6,7,6,2,2,1,Completed,1.53,2.37,1.58,2.55,1.62,2.63,1.52,2.49
22,Rabat,Grand Prix SAR Lalla Meryem,01/05/2019,International,Outdoor,Clay,2nd Round,3,Bonaventure Y.,Zidansek T.,122,67,490,831,6,4,2,6,6,3,2,1,Completed,2.62,1.44,2.82,1.5,2.82,1.55,2.6,1.49
22,Rabat,Grand Prix SAR Lalla Meryem,01/05/2019,International,Outdoor,Clay,2nd Round,3,Sakkari M.,Shinikova I.,51,215,1088,277,6,4,6,4,,,2,0,Completed,1.16,5,1.22,4.84,1.22,5.25,1.18,4.74
22,Rabat,Grand Prix SAR Lalla Meryem,01/05/2019,International,Outdoor,Clay,2nd Round,3,Peterson R.,Hercog P.,62,71,951,797,7,5,3,6,6,1,2,1,Completed,2,1.72,2.03,1.88,2.1,1.88,2.02,1.77
