ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
15,Rio de Janeiro,Rio Open,19/02/2019,ATP500,Outdoor,Clay,1st Round,3,Norrie C.,Lajovic D.,62,43,762,1010,6,2,6,1,,,,,,,2,0,Completed,2.5,1.5,2.6,1.55,2.6,1.61,2.48,1.54
15,Rio de Janeiro,Rio Open,19/02/2019,ATP500,Outdoor,Clay,1st Round,3,Munar J.,Mayer L.,66,55,746,895,7,6,6,4,,,,,,,2,0,Completed,1.83,1.83,1.82,2.08,2,2.11,1.8,2.02
15,Rio de Janeiro,Rio Open,19/02/2019,ATP500,Outdoor,Clay,1st Round,3,Sousa J.,Pella G.,40,46,1062,975,6,4,3,6,6,4,,,,,2,1,Completed,1.8,1.9,2.01,1.88,2.05,2,1.95,1.86
15,Rio de Janeiro,Rio Open,19/02/2019,ATP500,Outdoor,Clay,1st Round,3,Ruud C.,Berlocq C.,135,140,417,411,6,1,6,2,,,,,,,2,0,Completed,,,,,1.66,2.9,1.52,2.61
15,Rio de Janeiro,Rio Open,19/02/2019,ATP500,Outdoor,Clay,1st Round,3,Dellien H.,Andreozzi G.,113,76,493,711,6,4,6,4,,,,,,,2,0,Completed,2,1.72,2.02,1.87,2.2,1.87,2.08,1.75
15,Rio de Janeiro,Rio Open,19/02/2019,ATP500,Outdoor,Clay,1st Round,3,Delbonis F.,Jaziri M.,80,44,696,1007,6,3,7,5,,,,,,,2,0,Completed,1.25,3.75,1.26,4.3,1.29,4.4,1.25,4
15,Rio de Janeiro,Rio Open,19/02/2019,ATP500,Outdoor,Clay,1st Round,3,Ramos-Vinolas A.,Sonego L.,93,103,605,541,7,6,6,3,,,,,,,2,0,Completed,1.66,2.1,1.92,1.97,1.95,2.11,1.84,1.98
15,Rio de Janeiro,Rio Open,19/02/2019,ATP500,Outdoor,Clay,1st Round,3,Carballes Baena R.,Jarry N.,114,47,492,970,6,3,6,7,7,6,,,,,2,1,Completed,2.1,1.66,2.16,1.77,2.18,1.83,2.1,1.74
15,Rio de Janeiro,Rio Open,19/02/2019,ATP500,Outdoor,Clay,1st Round,3,Bedene A.,Cecchinato M.,83,17,675,2091,7,5,7,6,,,,,,,2,0,Completed,2.25,1.57,2.39,1.64,2.45,1.67,2.32,1.61
15,Rio de Janeiro,Rio Open,19/02/2019,ATP500,Outdoor,Clay,1st Round,3,Garin C.,Marterer M.,91,95,623,594,7,5,6,3,,,,,,,2,0,Completed,2,1.72,2.04,1.85,2.1,1.91,2.02,1.8
15,Rio de Janeiro,Rio Open,19/02/2019,ATP500,Outdoor,Clay,1st Round,3,Monteiro T.,Sousa P.,126,99,449,560,6,3,6,2,,,,,,,2,0,Completed,1.36,3,1.38,3.26,1.43,3.26,1.38,3.03
15,Rio de Janeiro,Rio Open,19/02/2019,ATP500,Outdoor,Clay,1st Round,3,Auger-Aliassime F.,Fognini F.,104,16,540,2225,6,2,6,3,,,,,,,2,0,Completed,2.62,1.44,2.74,1.51,2.78,1.61,2.6,1.5
15,Rio de Janeiro,Rio Open,19/02/2019,ATP500,Outdoor,Clay,1st Round,3,Londero J.I.,Ymer E.,69,117,739,476,2,6,7,5,6,2,,,,,2,1,Completed,1.36,3,1.45,2.93,1.47,3.18,1.4,2.97
15,Rio de Janeiro,Rio Open,19/02/2019,ATP500,Outdoor,Clay,1st Round,3,Djere L.,Thiem D.,90,8,627,3800,6,3,6,3,,,,,,,2,0,Completed,6,1.12,6.71,1.14,8,1.15,6.17,1.13
