WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,MaxW,MaxL,AvgW,AvgL
25,Rome,Internazionali BNL d'Italia,09/05/16,Premier,Outdoor,Clay,1st Round,3,Makarova E.,Kovinic D.,29,58,1597,1035,6,2,6,2,,,2,0,Completed,1.57,2.25,1.58,2.2,1.62,2.25,1.69,2.3,1.69,2.38,1.61,2.27
25,Rome,Internazionali BNL d'Italia,09/05/16,Premier,Outdoor,Clay,1st Round,3,Friedsam A.L.,Schmiedlova A.,50,37,1100,1340,6,4,7,5,,,2,0,Completed,1.53,2.37,1.48,2.45,1.57,2.38,1.64,2.42,1.64,2.55,1.56,2.4
25,Rome,Internazionali BNL d'Italia,09/05/16,Premier,Outdoor,Clay,1st Round,3,Pereira T.,Beck A.,90,41,749,1243,6,4,7,6,,,2,0,Completed,1.8,1.9,1.8,1.85,1.91,1.91,1.85,2.06,1.91,2.06,1.84,1.94
25,Rome,Internazionali BNL d'Italia,09/05/16,Premier,Outdoor,Clay,1st Round,3,Williams V.,Vandeweghe C.,14,40,2931,1271,6,4,6,3,,,2,0,Completed,1.66,2.1,1.58,2.2,1.62,2.25,1.75,2.2,1.75,2.3,1.65,2.2
25,Rome,Internazionali BNL d'Italia,09/05/16,Premier,Outdoor,Clay,1st Round,3,Doi M.,Cornet A.,45,49,1178,1145,7,6,6,1,,,2,0,Completed,2.37,1.53,2.4,1.5,2.38,1.53,2.43,1.63,2.51,1.67,2.38,1.56
25,Rome,Internazionali BNL d'Italia,09/05/16,Premier,Outdoor,Clay,1st Round,3,Kasatkina D.,Pliskova Ka.,33,20,1451,2420,6,4,6,4,,,2,0,Completed,2.1,1.66,2.2,1.6,2.1,1.67,2.32,1.68,2.32,1.8,2.16,1.68
25,Rome,Internazionali BNL d'Italia,09/05/16,Premier,Outdoor,Clay,1st Round,3,Strycova B.,Knapp K.,36,72,1385,903,6,2,6,2,,,2,0,Completed,1.36,3,1.35,2.8,1.4,3,1.45,2.97,1.48,3.3,1.41,2.88
25,Rome,Internazionali BNL d'Italia,09/05/16,Premier,Outdoor,Clay,1st Round,3,Watson H.,Errani S.,55,18,1051,2450,6,4,3,6,6,0,2,1,Completed,2.62,1.44,2.55,1.45,2.5,1.5,3.09,1.43,3.09,1.53,2.61,1.48
25,Rome,Internazionali BNL d'Italia,09/05/16,Premier,Outdoor,Clay,1st Round,3,Safarova L.,Schiavone F.,15,91,2843,741,6,3,6,2,,,2,0,Completed,1.36,3,1.38,2.8,1.36,3.25,1.48,2.88,1.51,3.25,1.4,2.91
25,Rome,Internazionali BNL d'Italia,09/05/16,Premier,Outdoor,Clay,1st Round,3,Begu I.,Gasparyan M.,35,52,1410,1082,6,3,6,0,,,2,0,Completed,1.3,3.4,1.33,2.9,1.4,3,1.37,3.39,1.4,3.4,1.35,3.16
25,Rome,Internazionali BNL d'Italia,09/05/16,Premier,Outdoor,Clay,1st Round,3,Puig M.,Svitolina E.,57,17,1040,2475,6,1,4,6,6,1,2,1,Completed,1.8,1.9,1.82,1.85,1.91,1.91,1.94,1.96,1.94,2.02,1.84,1.94
25,Rome,Internazionali BNL d'Italia,09/05/16,Premier,Outdoor,Clay,1st Round,3,Keys M.,Petkovic A.,24,30,2016,1545,6,4,6,1,,,2,0,Completed,1.9,1.8,1.85,1.8,2,1.8,2.02,1.88,2.02,1.88,1.96,1.82
25,Rome,Internazionali BNL d'Italia,09/05/16,Premier,Outdoor,Clay,1st Round,3,Ivanovic A.,Pavlyuchenkova A.,16,27,2530,1840,6,4,6,4,,,2,0,Completed,1.44,2.62,1.45,2.5,1.5,2.62,1.51,2.75,1.55,2.82,1.48,2.59
25,Rome,Internazionali BNL d'Italia,10/05/16,Premier,Outdoor,Clay,1st Round,3,Babos T.,Bertens K.,48,86,1150,771,6,1,6,4,,,2,0,Completed,2.25,1.57,2.25,1.55,2.25,1.62,2.43,1.63,2.61,1.63,2.37,1.57
25,Rome,Internazionali BNL d'Italia,10/05/16,Premier,Outdoor,Clay,1st Round,3,Kuznetsova S.,Garcia C.,19,53,2450,1080,7,5,6,4,,,2,0,Completed,1.61,2.2,1.6,2.2,1.62,2.25,1.68,2.34,1.71,2.4,1.62,2.26
25,Rome,Internazionali BNL d'Italia,10/05/16,Premier,Outdoor,Clay,1st Round,3,Ostapenko J.,Mladenovic K.,39,28,1273,1625,6,3,6,1,,,2,0,Completed,2,1.72,1.9,1.75,2,1.8,2.04,1.87,2.04,1.98,1.91,1.86
25,Rome,Internazionali BNL d'Italia,10/05/16,Premier,Outdoor,Clay,1st Round,3,Duque-Marino M.,Niculescu M.,109,34,619,1450,6,4,6,1,,,2,0,Completed,2.5,1.5,2.3,1.55,2.5,1.53,2.67,1.54,2.7,1.68,2.37,1.57
