ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,EXW,EXL,IWW,IWL,PSW,PSL
15,Rotterdam,ABN AMRO World Tennis Tournament,14/02/05,International Gold,Indoor,Hard,1st Round,3,Berdych T.,Soderling R.,46,30,,,7,5,6,2,,,,,,,2,0,Completed,2.75,1.39,2.7,1.45,2.53,1.48,2.3,1.4,2.98,1.439
15,Rotterdam,ABN AMRO World Tennis Tournament,14/02/05,International Gold,Indoor,Hard,1st Round,3,Srichaphan P.,Andreev I.,33,49,,,7,6,1,6,7,5,,,,,2,1,Completed,1.66,2.1,1.7,2.1,1.75,2,1.6,1.9,1.813,2.03
15,Rotterdam,ABN AMRO World Tennis Tournament,14/02/05,International Gold,Indoor,Hard,1st Round,3,Coria G.,Sluiter R.,5,90,,,6,2,6,4,,,,,,,2,0,Completed,,,1.45,2.7,1.45,2.6,1.3,2.7,1.481,2.82
15,Rotterdam,ABN AMRO World Tennis Tournament,14/02/05,International Gold,Indoor,Hard,1st Round,3,Johansson T.,Beck K.,29,43,,,6,2,3,6,6,1,,,,,2,1,Completed,2.1,1.66,2.1,1.7,2.12,1.67,1.85,1.65,2.23,1.699
15,Rotterdam,ABN AMRO World Tennis Tournament,14/02/05,International Gold,Indoor,Hard,1st Round,3,Ferrero J.C.,Schuettler R.,64,38,,,6,4,6,2,,,,,,,2,0,Completed,1.83,1.83,1.88,1.88,1.85,1.9,1.8,1.7,1.847,1.98
15,Rotterdam,ABN AMRO World Tennis Tournament,14/02/05,International Gold,Indoor,Hard,1st Round,3,Davydenko N.,Verdasco F.,15,36,,,7,5,2,6,6,4,,,,,2,1,Completed,1.53,2.37,1.57,2.35,1.6,2.3,1.45,2.2,1.595,2.48
15,Rotterdam,ABN AMRO World Tennis Tournament,15/02/05,International Gold,Indoor,Hard,1st Round,3,Llodra M.,Wessels P.,52,74,,,6,7,6,4,6,2,,,,,2,1,Completed,1.72,2,1.65,2.2,1.6,2.25,1.7,1.8,,
15,Rotterdam,ABN AMRO World Tennis Tournament,15/02/05,International Gold,Indoor,Hard,1st Round,3,Stepanek R.,Nalbandian D.,28,10,,,6,2,4,6,6,1,,,,,2,1,Completed,2.62,1.44,2.85,1.4,2.6,1.45,2.5,1.35,3,1.435
15,Rotterdam,ABN AMRO World Tennis Tournament,15/02/05,International Gold,Indoor,Hard,1st Round,3,Rochus O.,Lopez F.,40,20,,,6,4,7,6,,,,,,,2,0,Completed,2.37,1.53,,,2.45,1.5,2.2,1.45,2.45,1.606
15,Rotterdam,ABN AMRO World Tennis Tournament,15/02/05,International Gold,Indoor,Hard,1st Round,3,Henman T.,Kiefer N.,7,24,,,7,5,6,4,,,,,,,2,0,Completed,1.39,2.75,1.5,2.55,1.55,2.35,1.4,2.3,1.5,2.77
15,Rotterdam,ABN AMRO World Tennis Tournament,15/02/05,International Gold,Indoor,Hard,1st Round,3,Ancic M.,Dent T.,31,32,,,7,6,7,5,,,,,,,2,0,Completed,2,1.72,2,1.77,1.95,1.8,1.85,1.65,2.2,1.714
15,Rotterdam,ABN AMRO World Tennis Tournament,16/02/05,International Gold,Indoor,Hard,1st Round,3,Johansson J.,Wang Y.T.,9,182,,,6,2,6,7,6,3,,,,,2,1,Completed,1.05,8,1.06,8.5,1.06,7.79,1.05,5,1.038,18.75
