ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,EXW,EXL,PSW,PSL,UBW,UBL
15,Rotterdam,ABN AMRO World Tennis Tournament,19/02/07,International Gold,Indoor,Hard,1st Round,3,Pavel A.,Bracciali D.,120,71,374,530,6,1,6,1,,,,,,,2,0,Completed,1.53,2.37,1.65,2.2,1.53,2.4,1.637,2.47,1.6,2.27
15,Rotterdam,ABN AMRO World Tennis Tournament,19/02/07,International Gold,Indoor,Hard,1st Round,3,Djokovic N.,Serra F.,14,67,1625,540,7,6,6,4,,,,,,,2,0,Completed,1.16,4.5,1.18,4.65,1.2,4.25,1.232,4.91,1.2,4.3
15,Rotterdam,ABN AMRO World Tennis Tournament,19/02/07,International Gold,Indoor,Hard,1st Round,3,Rochus O.,Tipsarevic J.,34,91,895,449,4,6,6,2,6,4,,,,,2,1,Completed,1.25,3.5,1.3,3.4,1.32,3.22,1.35,3.66,1.38,2.95
15,Rotterdam,ABN AMRO World Tennis Tournament,19/02/07,International Gold,Indoor,Hard,1st Round,3,Haase R.,Karanusic R.,164,158,263,271,6,3,7,6,,,,,,,2,0,Completed,2.25,1.57,2.2,1.65,2.1,1.7,2.28,1.725,2.12,1.68
15,Rotterdam,ABN AMRO World Tennis Tournament,19/02/07,International Gold,Indoor,Hard,1st Round,3,Davydenko N.,Berrer M.,3,123,2825,365,6,3,6,4,,,,,,,2,0,Completed,1.1,6,1.12,6,1.1,6.75,1.111,8.75,1.1,6.6
15,Rotterdam,ABN AMRO World Tennis Tournament,20/02/07,International Gold,Indoor,Hard,1st Round,3,Vliegen K.,Nieminen J.,43,18,805,1335,6,1,6,4,,,,,,,2,0,Completed,2,1.72,2.1,1.7,2.05,1.75,2.07,1.855,1.97,1.8
15,Rotterdam,ABN AMRO World Tennis Tournament,20/02/07,International Gold,Indoor,Hard,1st Round,3,Youzhny M.,Berdych T.,22,12,1215,1785,6,4,6,7,6,1,,,,,2,1,Completed,2.2,1.61,2.3,1.6,2.1,1.7,2.27,1.73,2.06,1.72
15,Rotterdam,ABN AMRO World Tennis Tournament,20/02/07,International Gold,Indoor,Hard,1st Round,3,Ferrer D.,Rochus C.,15,76,1610,514,6,3,6,0,,,,,,,2,0,Completed,1.16,4.5,1.18,4.65,1.17,4.67,1.239,4.78,1.18,4.6
15,Rotterdam,ABN AMRO World Tennis Tournament,20/02/07,International Gold,Indoor,Hard,1st Round,3,Mayer F.,Hrbaty D.,49,23,720,1108,7,6,2,6,7,5,,,,,2,1,Completed,2,1.72,2.15,1.67,2.03,1.73,2.19,1.775,2.1,1.7
15,Rotterdam,ABN AMRO World Tennis Tournament,20/02/07,International Gold,Indoor,Hard,1st Round,3,Ljubicic I.,De Bakker T.,8,433,2260,70,7,5,6,3,,,,,,,2,0,Completed,1.04,9,1.04,10,1.05,7.75,1.068,12.75,1.06,9
15,Rotterdam,ABN AMRO World Tennis Tournament,20/02/07,International Gold,Indoor,Hard,1st Round,3,Robredo T.,Bolelli S.,7,114,2555,388,6,2,6,2,,,,,,,2,0,Completed,1.12,5.5,1.14,5.4,1.17,4.67,1.172,6.31,1.14,5.3
15,Rotterdam,ABN AMRO World Tennis Tournament,21/02/07,International Gold,Indoor,Hard,1st Round,3,Gicquel M.,Clement A.,44,55,784,690,6,4,6,3,,,,,,,2,0,Completed,2.1,1.66,2,1.77,2,1.75,2.16,1.794,2.1,1.7
15,Rotterdam,ABN AMRO World Tennis Tournament,21/02/07,International Gold,Indoor,Hard,1st Round,3,Stepanek R.,Hernych J.,19,83,1315,481,6,2,7,5,,,,,,,2,0,Completed,1.39,2.75,1.48,2.6,1.45,2.6,1.488,2.85,1.45,2.65
15,Rotterdam,ABN AMRO World Tennis Tournament,21/02/07,International Gold,Indoor,Hard,1st Round,3,Kohlschreiber P.,Simon G.,58,42,615,810,6,3,3,1,,,,,,,1,0,Retired,2.25,1.57,2.1,1.7,2,1.75,2.17,1.787,1.98,1.78
15,Rotterdam,ABN AMRO World Tennis Tournament,21/02/07,International Gold,Indoor,Hard,1st Round,3,van Scheppingen D.,Monfils G.,278,51,137,715,6,7,6,4,6,3,,,,,2,1,Completed,,,,,,,3.9,1.313,,
15,Rotterdam,ABN AMRO World Tennis Tournament,21/02/07,International Gold,Indoor,Hard,1st Round,3,de Voest R.,Verkerk M.,135,1533,342,2,6,3,7,6,,,,,,,2,0,Completed,1.57,2.25,,,1.67,2.12,1.69,2.35,1.55,2.4
15,Rotterdam,ABN AMRO World Tennis Tournament,21/02/07,International Gold,Indoor,Hard,2nd Round,3,Ferrer D.,Vliegen K.,15,43,1610,805,6,4,6,2,,,,,,,2,0,Completed,1.61,2.2,1.67,2.15,1.55,2.35,1.746,2.24,1.74,2.04
15,Rotterdam,ABN AMRO World Tennis Tournament,21/02/07,International Gold,Indoor,Hard,2nd Round,3,Djokovic N.,Pavel A.,14,120,1625,374,6,7,6,1,6,3,,,,,2,1,Completed,1.16,4.5,1.15,5.25,1.15,5.2,1.167,6.4,1.18,4.6
15,Rotterdam,ABN AMRO World Tennis Tournament,22/02/07,International Gold,Indoor,Hard,2nd Round,3,Davydenko N.,Gicquel M.,3,44,2825,784,6,3,6,3,,,,,,,2,0,Completed,1.25,3.75,1.25,3.85,1.25,3.9,1.314,3.88,1.23,4
15,Rotterdam,ABN AMRO World Tennis Tournament,22/02/07,International Gold,Indoor,Hard,2nd Round,3,Youzhny M.,Haase R.,22,164,1215,263,6,2,6,4,,,,,,,2,0,Completed,1.1,6.5,1.12,6,1.13,5.5,1.132,7.9,1.1,6.5
15,Rotterdam,ABN AMRO World Tennis Tournament,22/02/07,International Gold,Indoor,Hard,2nd Round,3,Kohlschreiber P.,Stepanek R.,58,19,615,1315,7,6,7,6,,,,,,,2,0,Completed,2.75,1.39,2.85,1.4,2.6,1.45,3.15,1.426,2.65,1.45
15,Rotterdam,ABN AMRO World Tennis Tournament,22/02/07,International Gold,Indoor,Hard,2nd Round,3,Robredo T.,de Voest R.,7,135,2555,342,6,0,6,4,,,,,,,2,0,Completed,1.08,7,1.09,7,1.07,7.19,1.089,10.25,1.08,7.5
15,Rotterdam,ABN AMRO World Tennis Tournament,22/02/07,International Gold,Indoor,Hard,2nd Round,3,Mayer F.,van Scheppingen D.,49,278,720,137,7,5,6,2,,,,,,,2,0,Completed,1.5,2.5,1.5,2.55,1.4,2.85,1.483,2.87,1.44,2.7
15,Rotterdam,ABN AMRO World Tennis Tournament,22/02/07,International Gold,Indoor,Hard,2nd Round,3,Ljubicic I.,Rochus O.,8,34,2260,895,6,3,7,6,,,,,,,2,0,Completed,1.36,3,1.4,2.85,1.42,2.75,1.476,2.9,1.45,2.65
15,Rotterdam,ABN AMRO World Tennis Tournament,23/02/07,International Gold,Indoor,Hard,Quarterfinals,3,Youzhny M.,Ferrer D.,22,15,1215,1610,6,2,7,5,,,,,,,2,0,Completed,1.61,2.2,1.62,2.25,1.61,2.23,1.662,2.41,1.62,2.22
15,Rotterdam,ABN AMRO World Tennis Tournament,23/02/07,International Gold,Indoor,Hard,Quarterfinals,3,Djokovic N.,Robredo T.,14,7,1625,2555,4,6,6,4,7,5,,,,,2,1,Completed,1.61,2.2,1.65,2.2,1.55,2.35,1.725,2.28,1.67,2.15
15,Rotterdam,ABN AMRO World Tennis Tournament,23/02/07,International Gold,Indoor,Hard,Quarterfinals,3,Ljubicic I.,Mayer F.,8,49,2260,720,6,4,6,2,,,,,,,2,0,Completed,1.14,5,1.17,4.85,1.15,4.92,1.22,5.15,1.2,4.35
15,Rotterdam,ABN AMRO World Tennis Tournament,23/02/07,International Gold,Indoor,Hard,Quarterfinals,3,Davydenko N.,Kohlschreiber P.,3,58,2825,615,6,7,6,4,6,4,,,,,2,1,Completed,1.12,5.5,1.18,4.65,1.2,4.25,1.164,6.5,1.15,5.1
15,Rotterdam,ABN AMRO World Tennis Tournament,24/02/07,International Gold,Indoor,Hard,Semifinals,3,Youzhny M.,Djokovic N.,22,14,1215,1625,3,6,7,6,7,5,,,,,2,1,Completed,2.1,1.66,2.1,1.73,2.28,1.58,2.22,1.758,1.9,1.86
15,Rotterdam,ABN AMRO World Tennis Tournament,24/02/07,International Gold,Indoor,Hard,Semifinals,3,Ljubicic I.,Davydenko N.,8,3,2260,2825,4,6,7,6,7,6,,,,,2,1,Completed,1.9,1.8,1.83,1.93,1.8,1.95,1.952,1.952,1.9,1.86
15,Rotterdam,ABN AMRO World Tennis Tournament,25/02/07,International Gold,Indoor,Hard,The Final,3,Youzhny M.,Ljubicic I.,22,8,1215,2260,6,2,6,4,,,,,,,2,0,Completed,2.5,1.5,2.5,1.53,2.35,1.55,2.5,1.625,2.33,1.57
