ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL
12,Rotterdam,ABN AMRO World Tennis Tournament,10/02/14,ATP500,Indoor,Hard,1st Round,3,Mathieu P.H.,Dodig I.,135,33,412,1145,4,6,7,6,6,4,,,,,2,1,Completed,3,1.36,3.1,1.35,3,1.36,2.94,1.45,3,1.36,3.2,1.45,3,1.37
12,Rotterdam,ABN AMRO World Tennis Tournament,10/02/14,ATP500,Indoor,Hard,1st Round,3,Berrer M.,Huta Galung J.,147,91,380,601,6,4,2,6,6,3,,,,,2,1,Completed,1.36,3,1.45,2.7,1.4,2.75,1.38,3.26,1.4,3,1.46,3.26,1.39,2.91
12,Rotterdam,ABN AMRO World Tennis Tournament,10/02/14,ATP500,Indoor,Hard,1st Round,3,Berdych T.,Seppi A.,7,31,4540,1210,6,3,6,3,,,,,,,2,0,Completed,1.06,8,1.09,7,1.1,6.5,1.12,7.14,1.08,7.5,1.12,9.1,1.08,7.34
12,Rotterdam,ABN AMRO World Tennis Tournament,10/02/14,ATP500,Indoor,Hard,1st Round,3,Tsonga J.W.,Mayer F.,10,30,2885,1245,4,6,6,3,6,1,,,,,2,1,Completed,1.16,5,1.2,4.3,1.2,4.33,1.17,5.81,1.17,5,1.21,5.81,1.18,4.67
12,Rotterdam,ABN AMRO World Tennis Tournament,10/02/14,ATP500,Indoor,Hard,1st Round,3,Kohlschreiber P.,Stakhovsky S.,27,90,1330,601,6,2,7,5,,,,,,,2,0,Completed,1.53,2.37,1.52,2.45,1.53,2.38,1.7,2.27,1.53,2.5,1.7,2.55,1.55,2.4
12,Rotterdam,ABN AMRO World Tennis Tournament,11/02/14,ATP500,Indoor,Hard,1st Round,3,Gulbis E.,Istomin D.,24,41,1443,1010,6,4,7,6,,,,,,,2,0,Completed,1.66,2.1,1.62,2.25,1.57,2.25,1.71,2.25,1.62,2.25,1.71,2.5,1.62,2.25
12,Rotterdam,ABN AMRO World Tennis Tournament,11/02/14,ATP500,Indoor,Hard,1st Round,3,Cilic M.,Rosol L.,37,50,1085,906,6,2,6,2,,,,,,,2,0,Completed,1.14,5.5,1.18,4.5,1.2,4.33,1.2,5.14,1.2,4.5,1.21,5.5,1.17,4.88
12,Rotterdam,ABN AMRO World Tennis Tournament,11/02/14,ATP500,Indoor,Hard,1st Round,3,Sijsling I.,Youzhny M.,64,15,740,2100,6,2,6,2,,,,,,,2,0,Completed,2.37,1.53,2.4,1.55,2.5,1.5,2.37,1.65,2.5,1.53,2.61,1.65,2.43,1.54
12,Rotterdam,ABN AMRO World Tennis Tournament,11/02/14,ATP500,Indoor,Hard,1st Round,3,Dimitrov G.,Tursunov D.,19,28,1810,1314,6,2,1,6,6,4,,,,,2,1,Completed,1.25,3.75,1.25,3.75,1.29,3.5,1.28,4.06,1.29,3.5,1.3,4.15,1.26,3.7
12,Rotterdam,ABN AMRO World Tennis Tournament,11/02/14,ATP500,Indoor,Hard,1st Round,3,Janowicz J.,Benneteau J.,20,39,1705,1020,3,6,6,4,6,4,,,,,2,1,Completed,1.44,2.62,1.45,2.7,1.44,2.62,1.51,2.73,1.5,2.63,1.53,2.75,1.47,2.6
12,Rotterdam,ABN AMRO World Tennis Tournament,12/02/14,ATP500,Indoor,Hard,1st Round,3,Mahut N.,Brands D.,44,69,968,719,7,5,6,3,,,,,,,2,0,Completed,2.1,1.66,2.1,1.7,2.1,1.67,2.11,1.8,2.1,1.73,2.2,1.8,2.08,1.72
12,Rotterdam,ABN AMRO World Tennis Tournament,12/02/14,ATP500,Indoor,Hard,1st Round,3,Haas T.,Verdasco F.,12,32,2495,1190,6,7,7,6,7,5,,,,,2,1,Completed,1.72,2,1.7,2.1,1.67,2.1,1.88,2.02,1.73,2.1,1.88,2.16,1.73,2.06
12,Rotterdam,ABN AMRO World Tennis Tournament,12/02/14,ATP500,Indoor,Hard,1st Round,3,Thiem D.,Nieminen J.,113,36,492,1090,6,4,4,6,6,4,,,,,2,1,Completed,2.25,1.57,2.3,1.6,2.2,1.62,2.34,1.66,2.25,1.62,2.4,1.74,2.25,1.61
12,Rotterdam,ABN AMRO World Tennis Tournament,12/02/14,ATP500,Indoor,Hard,1st Round,3,Gasquet R.,De Bakker T.,9,140,2950,401,6,7,7,6,6,3,,,,,2,1,Completed,1.11,6.5,1.1,6.5,1.11,6,1.11,7.56,1.13,6,1.15,7.8,1.11,6.41
12,Rotterdam,ABN AMRO World Tennis Tournament,12/02/14,ATP500,Indoor,Hard,1st Round,3,Del Potro J.M.,Monfils G.,4,23,5370,1475,7,6,6,3,,,,,,,2,0,Completed,1.53,2.37,1.5,2.5,1.5,2.5,1.59,2.5,1.57,2.38,1.65,2.7,1.55,2.42
12,Rotterdam,ABN AMRO World Tennis Tournament,12/02/14,ATP500,Indoor,Hard,1st Round,3,Murray A.,Roger-Vasselin E.,6,35,4795,1108,6,3,6,3,,,,,,,2,0,Completed,1.08,8,1.08,7.5,1.1,6.5,1.1,8.33,1.11,6.5,1.11,8.5,1.08,7.24
12,Rotterdam,ABN AMRO World Tennis Tournament,12/02/14,ATP500,Indoor,Hard,2nd Round,3,Cilic M.,Tsonga J.W.,37,10,1085,2885,6,4,6,4,,,,,,,2,0,Completed,2.5,1.5,2.5,1.5,2.62,1.44,2.42,1.64,2.5,1.53,2.63,1.64,2.45,1.53
12,Rotterdam,ABN AMRO World Tennis Tournament,13/02/14,ATP500,Indoor,Hard,2nd Round,3,Gulbis E.,Dimitrov G.,24,19,1443,1810,6,4,7,6,,,,,,,2,0,Completed,2.37,1.53,2.3,1.6,2.2,1.62,2.44,1.63,2.38,1.57,2.45,1.66,2.33,1.59
12,Rotterdam,ABN AMRO World Tennis Tournament,13/02/14,ATP500,Indoor,Hard,2nd Round,3,Janowicz J.,Haas T.,20,12,1705,2495,6,4,6,4,,,,,,,2,0,Completed,1.57,2.25,1.58,2.35,1.62,2.2,1.71,2.27,1.53,2.5,1.76,2.5,1.59,2.32
12,Rotterdam,ABN AMRO World Tennis Tournament,13/02/14,ATP500,Indoor,Hard,2nd Round,3,Berdych T.,Mahut N.,7,44,4540,968,6,4,6,3,,,,,,,2,0,Completed,1.08,8,1.1,6.5,1.11,6,1.1,8.6,1.1,7,1.13,8.6,1.1,6.73
12,Rotterdam,ABN AMRO World Tennis Tournament,13/02/14,ATP500,Indoor,Hard,2nd Round,3,Del Potro J.M.,Mathieu P.H.,4,135,5370,412,6,2,7,6,,,,,,,2,0,Completed,1.07,9,1.08,7.5,1.08,7,1.07,10.51,1.07,8,1.1,10.51,1.08,7.83
12,Rotterdam,ABN AMRO World Tennis Tournament,13/02/14,ATP500,Indoor,Hard,2nd Round,3,Kohlschreiber P.,Gasquet R.,27,9,1330,2950,7,5,7,5,,,,,,,2,0,Completed,2.1,1.66,2.05,1.75,2,1.73,2.11,1.81,2.1,1.73,2.15,1.83,2.04,1.74
