ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,MaxW,MaxL,AvgW,AvgL
12,Rotterdam,ABN AMRO World Tennis Tournament,13/02/17,ATP500,Indoor,Hard,1st Round,3,Herbert P.H.,Lopez F.,109,31,530,1330,7,6,7,6,,,,,,,2,0,Completed,2.25,1.57,2.25,1.55,2.38,1.57,2.44,1.61,2.51,1.63,2.34,1.58
12,Rotterdam,ABN AMRO World Tennis Tournament,13/02/17,ATP500,Indoor,Hard,1st Round,3,Haase R.,Mayer F.,57,46,808,913,7,5,7,6,,,,,,,2,0,Completed,1.53,2.37,1.52,2.35,1.57,2.38,1.57,2.55,1.59,2.55,1.54,2.42
12,Rotterdam,ABN AMRO World Tennis Tournament,13/02/17,ATP500,Indoor,Hard,1st Round,3,Donskoy E.,Granollers M.,132,40,446,1068,6,4,6,4,,,,,,,2,0,Completed,1.9,1.8,2.05,1.68,2.1,1.73,2.3,1.68,2.3,1.85,2.08,1.72
12,Rotterdam,ABN AMRO World Tennis Tournament,13/02/17,ATP500,Indoor,Hard,1st Round,3,Berdych T.,Copil M.,13,130,2790,447,7,6,6,4,,,,,,,2,0,Completed,1.11,6.5,1.12,5,1.12,6,1.11,8.04,1.14,8.75,1.1,6.64
12,Rotterdam,ABN AMRO World Tennis Tournament,13/02/17,ATP500,Indoor,Hard,1st Round,3,Istomin D.,Bedene A.,76,105,668,567,6,3,7,6,,,,,,,2,0,Completed,1.83,1.83,1.82,1.82,1.8,2,1.93,1.95,1.93,2.05,1.84,1.93
12,Rotterdam,ABN AMRO World Tennis Tournament,14/02/17,ATP500,Indoor,Hard,1st Round,3,Kohlschreiber P.,Pouille L.,33,17,1270,2131,7,5,6,2,,,,,,,2,0,Completed,1.83,1.83,1.85,1.82,2,1.8,1.94,1.94,2.1,2,1.92,1.85
12,Rotterdam,ABN AMRO World Tennis Tournament,14/02/17,ATP500,Indoor,Hard,1st Round,3,Simon G.,Mahut N.,24,52,1470,850,3,6,6,3,6,4,,,,,2,1,Completed,1.33,3.25,1.33,3,1.33,3.4,1.33,3.57,1.36,3.6,1.33,3.28
12,Rotterdam,ABN AMRO World Tennis Tournament,14/02/17,ATP500,Indoor,Hard,1st Round,3,Muller G.,Griekspoor T.,28,317,1370,156,6,3,6,2,,,,,,,2,0,Completed,1.07,8,1.06,7.5,1.06,9,1.08,9.94,1.08,10.05,1.07,8.32
12,Rotterdam,ABN AMRO World Tennis Tournament,14/02/17,ATP500,Indoor,Hard,1st Round,3,Klizan M.,Verdasco F.,73,39,685,1070,6,4,0,6,6,1,,,,,2,1,Completed,2.25,1.57,2.1,1.62,2.05,1.7,2.37,1.65,2.4,1.7,2.23,1.63
12,Rotterdam,ABN AMRO World Tennis Tournament,14/02/17,ATP500,Indoor,Hard,1st Round,3,Tsonga J.W.,Tsitsipas S.,14,205,2730,268,6,4,7,6,,,,,,,2,0,Completed,1.05,11,1.04,8,1.05,10,1.05,13.04,1.07,13.5,1.05,10.2
12,Rotterdam,ABN AMRO World Tennis Tournament,14/02/17,ATP500,Indoor,Hard,1st Round,3,Cilic M.,Paire B.,7,42,3470,1040,5,7,6,3,6,2,,,,,2,1,Completed,1.33,3.25,1.35,2.9,1.36,3.25,1.32,3.66,1.36,3.66,1.32,3.33
12,Rotterdam,ABN AMRO World Tennis Tournament,14/02/17,ATP500,Indoor,Hard,1st Round,3,Coric B.,Khachanov K.,61,48,750,904,7,6,7,6,,,,,,,2,0,Completed,2.25,1.57,2.25,1.55,2.25,1.62,2.52,1.58,2.52,1.71,2.29,1.6
12,Rotterdam,ABN AMRO World Tennis Tournament,15/02/17,ATP500,Indoor,Hard,1st Round,3,Goffin D.,Kuznetsov An.,11,54,3035,835,6,3,6,2,,,,,,,2,0,Completed,1.28,3.5,1.28,3.3,1.3,3.5,1.31,3.75,1.33,3.8,1.29,3.48
12,Rotterdam,ABN AMRO World Tennis Tournament,15/02/17,ATP500,Indoor,Hard,1st Round,3,Gasquet R.,Troicki V.,19,38,1875,1075,6,4,6,2,,,,,,,2,0,Completed,1.4,2.75,1.42,2.55,1.5,2.62,1.43,3.02,1.5,3.02,1.43,2.76
12,Rotterdam,ABN AMRO World Tennis Tournament,15/02/17,ATP500,Indoor,Hard,1st Round,3,Dimitrov G.,Zverev M.,12,34,2925,1238,6,7,6,2,6,4,,,,,2,1,Completed,1.25,3.75,1.25,3.3,1.29,3.75,1.26,4.21,1.3,4.21,1.26,3.71
12,Rotterdam,ABN AMRO World Tennis Tournament,15/02/17,ATP500,Indoor,Hard,1st Round,3,Thiem D.,Zverev A.,8,18,3405,1895,3,6,6,3,6,4,,,,,2,1,Completed,2.37,1.53,2.2,1.6,2.25,1.62,2.55,1.57,2.57,1.76,2.34,1.58
12,Rotterdam,ABN AMRO World Tennis Tournament,15/02/17,ATP500,Indoor,Hard,2nd Round,3,Herbert P.H.,Donskoy E.,109,132,530,446,6,2,7,6,,,,,,,2,0,Completed,1.5,2.5,1.5,2.4,1.53,2.5,1.59,2.53,1.59,2.56,1.53,2.45
12,Rotterdam,ABN AMRO World Tennis Tournament,15/02/17,ATP500,Indoor,Hard,2nd Round,3,Klizan M.,Kohlschreiber P.,73,33,685,1270,6,7,6,4,6,1,,,,,2,1,Completed,2.25,1.57,2.25,1.58,2.38,1.57,2.56,1.58,2.56,1.65,2.36,1.57
12,Rotterdam,ABN AMRO World Tennis Tournament,15/02/17,ATP500,Indoor,Hard,2nd Round,3,Tsonga J.W.,Muller G.,14,28,2730,1370,6,4,6,2,,,,,,,2,0,Completed,1.4,2.75,1.4,2.75,1.44,2.75,1.43,3.1,1.5,3.1,1.46,2.69
12,Rotterdam,ABN AMRO World Tennis Tournament,16/02/17,ATP500,Indoor,Hard,2nd Round,3,Berdych T.,Gasquet R.,13,19,2790,1875,7,6,6,1,,,,,,,2,0,Completed,1.66,2.1,1.62,2.15,1.67,2.2,1.83,2.09,1.83,2.25,1.69,2.14
12,Rotterdam,ABN AMRO World Tennis Tournament,16/02/17,ATP500,Indoor,Hard,2nd Round,3,Cilic M.,Coric B.,7,61,3470,750,6,1,2,6,6,4,,,,,2,1,Completed,1.22,4,1.2,4,1.22,4.33,1.24,4.65,1.27,4.7,1.22,4.17
12,Rotterdam,ABN AMRO World Tennis Tournament,16/02/17,ATP500,Indoor,Hard,2nd Round,3,Goffin D.,Haase R.,11,57,3035,808,5,7,6,4,6,4,,,,,2,1,Completed,1.18,4.5,1.2,4,1.2,4.5,1.21,5,1.24,5,1.2,4.48
12,Rotterdam,ABN AMRO World Tennis Tournament,16/02/17,ATP500,Indoor,Hard,2nd Round,3,Dimitrov G.,Istomin D.,12,76,2925,668,7,6,6,1,,,,,,,2,0,Completed,1.18,4.5,1.16,4.25,1.2,4.5,1.19,5.39,1.22,5.39,1.18,4.73
12,Rotterdam,ABN AMRO World Tennis Tournament,16/02/17,ATP500,Indoor,Hard,2nd Round,3,Thiem D.,Simon G.,8,24,3405,1470,6,4,7,6,,,,,,,2,0,Completed,1.53,2.37,1.5,2.35,1.57,2.38,1.71,2.27,1.71,2.4,1.6,2.3
12,Rotterdam,ABN AMRO World Tennis Tournament,17/02/17,ATP500,Indoor,Hard,Quarterfinals,3,Berdych T.,Klizan M.,13,73,2790,685,6,3,6,3,,,,,,,2,0,Completed,1.2,4.33,1.2,4,1.2,4.5,1.24,4.65,1.25,4.7,1.21,4.33
12,Rotterdam,ABN AMRO World Tennis Tournament,17/02/17,ATP500,Indoor,Hard,Quarterfinals,3,Tsonga J.W.,Cilic M.,14,7,2730,3470,7,6,7,6,,,,,,,2,0,Completed,1.57,2.25,1.65,2.05,1.73,2.1,1.71,2.3,1.75,2.3,1.67,2.18
12,Rotterdam,ABN AMRO World Tennis Tournament,17/02/17,ATP500,Indoor,Hard,Quarterfinals,3,Goffin D.,Dimitrov G.,11,12,3035,2925,6,4,1,6,6,3,,,,,2,1,Completed,2.75,1.4,2.8,1.38,3,1.4,2.82,1.5,3.25,1.51,2.85,1.42
12,Rotterdam,ABN AMRO World Tennis Tournament,17/02/17,ATP500,Indoor,Hard,Quarterfinals,3,Herbert P.H.,Thiem D.,109,8,530,3405,6,4,7,6,,,,,,,2,0,Completed,4.5,1.18,4.25,1.16,4.33,1.22,4.73,1.24,4.81,1.24,4.38,1.21
12,Rotterdam,ABN AMRO World Tennis Tournament,18/02/17,ATP500,Indoor,Hard,Semifinals,3,Tsonga J.W.,Berdych T.,14,13,2730,2790,6,3,6,4,,,,,,,2,0,Completed,2.1,1.72,2,1.7,2,1.8,2.16,1.79,2.18,1.8,2.07,1.74
12,Rotterdam,ABN AMRO World Tennis Tournament,18/02/17,ATP500,Indoor,Hard,Semifinals,3,Goffin D.,Herbert P.H.,11,109,3035,530,6,1,6,3,,,,,,,2,0,Completed,1.25,4,1.22,3.8,1.25,4,1.3,3.97,1.3,4.2,1.25,3.89
12,Rotterdam,ABN AMRO World Tennis Tournament,19/02/17,ATP500,Indoor,Hard,The Final,3,Tsonga J.W.,Goffin D.,14,11,2730,3035,4,6,6,4,6,1,,,,,2,1,Completed,1.66,2.2,1.65,2.1,1.67,2.2,1.75,2.23,1.75,2.26,1.69,2.15
