WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,EXW,EXL,PSW,PSL,UBW,UBL
39,San Diego,Acura Classic,30/07/07,1,Outdoor,Hard,1st Round,3,Bovina E.,Vandeweghe C.,897,835,8,10,6,3,7,5,,,2,0,Completed,1.57,2.25,1.6,2.25,,,1.602,2.56,1.55,2.38
39,San Diego,Acura Classic,30/07/07,1,Outdoor,Hard,1st Round,3,King V.,Muhamed A.,86,709,368.5,14.5,7,6,6,0,,,2,0,Completed,1.11,6,1.13,5.4,1.14,5.2,,,,
39,San Diego,Acura Classic,30/07/07,1,Outdoor,Hard,1st Round,3,Bondarenko A.,Peng S.,22,54,1059,505,3,6,6,3,6,4,2,1,Completed,1.4,2.75,1.45,2.65,1.38,2.9,1.459,2.98,,
39,San Diego,Acura Classic,30/07/07,1,Outdoor,Hard,1st Round,3,Dementieva E.,Castano C.,15,105,1699,310.5,6,4,3,6,6,1,2,1,Completed,1.1,6.5,1.08,7,1.08,6.91,1.123,8.3,1.11,6.2
39,San Diego,Acura Classic,30/07/07,1,Outdoor,Hard,1st Round,3,Kerber A.,Augustine B.,76,1042,397.25,5,6,0,6,1,,,2,0,Completed,1.07,7.5,1.1,6.3,,,,,1.07,8
39,San Diego,Acura Classic,30/07/07,1,Outdoor,Hard,1st Round,3,Krajicek M.,Fedak Y.,33,126,733,261,6,7,7,5,6,2,2,1,Completed,1.36,3,1.36,3,1.35,3.05,1.407,3.26,1.37,3
39,San Diego,Acura Classic,30/07/07,1,Outdoor,Hard,1st Round,3,Nakamura A.,Sequera M.,61,50,479.5,537,7,5,,,,,1,0,Retired,1.8,1.9,1.75,2,1.8,1.95,1.8,2.15,1.77,2
39,San Diego,Acura Classic,30/07/07,1,Outdoor,Hard,1st Round,3,Kremer A.,Morigami A.,125,51,268,525,5,7,6,4,6,2,2,1,Completed,4,1.22,4,1.22,4,1.22,4.75,1.241,4,1.23
39,San Diego,Acura Classic,30/07/07,1,Outdoor,Hard,1st Round,3,Pin C.,Poutchek T.,93,82,342.75,382.25,6,3,4,6,6,2,2,1,Completed,1.39,2.75,1.42,2.8,,,1.394,3.34,1.37,3
39,San Diego,Acura Classic,30/07/07,1,Outdoor,Hard,1st Round,3,Kirilenko M.,Sromova H.,42,124,592,270.5,6,1,6,2,,,2,0,Completed,1.33,3.25,1.36,3,1.27,3.55,1.328,3.75,1.35,3.1
39,San Diego,Acura Classic,30/07/07,1,Outdoor,Hard,1st Round,3,Tanasugarn T.,Granville L.,85,57,375,497,6,4,5,7,6,4,2,1,Completed,3,1.36,3.35,1.3,3.15,1.33,3.47,1.375,3.1,1.35
39,San Diego,Acura Classic,30/07/07,1,Outdoor,Hard,1st Round,3,Schnyder P.,Jackson J.,17,191,1584,164.5,6,2,6,1,,,2,0,Completed,1.1,6.5,1.1,6.3,1.1,6.25,1.15,7.07,1.1,6.5
39,San Diego,Acura Classic,31/07/07,1,Outdoor,Hard,1st Round,3,Daniilidou E.,Craybas J.,44,72,586.5,404.5,6,4,6,4,,,2,0,Completed,1.5,2.5,1.5,2.5,1.5,2.5,1.476,2.9,1.46,2.64
39,San Diego,Acura Classic,31/07/07,1,Outdoor,Hard,1st Round,3,Williams V.,Rodionova A.,16,81,1655,382.5,6,3,6,0,,,2,0,Completed,1.04,10,1.02,13,1.03,10,1.061,14,1.04,10
39,San Diego,Acura Classic,31/07/07,1,Outdoor,Hard,1st Round,3,Golovin T.,Dulko G.,19,52,1357,518.75,6,1,2,6,6,2,2,1,Completed,1.2,4.33,1.2,4.25,1.22,4,1.217,5.2,1.2,4.3
39,San Diego,Acura Classic,31/07/07,1,Outdoor,Hard,1st Round,3,Shaughnessy M.,Poutchkova O.,43,38,589,612.5,6,3,6,1,,,2,0,Completed,1.44,2.62,1.43,2.7,1.44,2.67,1.452,3.01,1.48,2.58
39,San Diego,Acura Classic,31/07/07,1,Outdoor,Hard,1st Round,3,Azarenka V.,Chan Y.J.,45,65,569.5,436,4,6,6,3,6,0,2,1,Completed,1.28,3.5,1.22,4,1.25,3.75,1.293,4.11,1.28,3.55
39,San Diego,Acura Classic,31/07/07,1,Outdoor,Hard,1st Round,3,Safarova L.,Tu M.,24,41,1011,595,6,4,6,3,,,2,0,Completed,1.22,4,1.22,4,1.22,4,1.24,4.77,1.25,3.8
39,San Diego,Acura Classic,31/07/07,1,Outdoor,Hard,1st Round,3,Bammer S.,Bondarenko K.,21,49,1156,537.75,6,4,7,6,,,2,0,Completed,1.28,3.5,1.25,3.7,1.25,3.75,1.307,3.96,1.26,3.7
39,San Diego,Acura Classic,31/07/07,1,Outdoor,Hard,1st Round,3,Mirza S.,Peer S.,31,18,822,1539,6,3,4,6,6,2,2,1,Completed,2.37,1.53,2.35,1.55,2.5,1.5,2.65,1.571,2.38,1.55
39,San Diego,Acura Classic,31/07/07,1,Outdoor,Hard,1st Round,3,Sugiyama A.,Amanmuradova A.,30,108,844,302.5,6,3,6,2,,,2,0,Completed,1.39,2.75,1.4,2.8,1.42,2.75,1.488,2.85,1.46,2.64
39,San Diego,Acura Classic,31/07/07,1,Outdoor,Hard,1st Round,3,Razzano V.,Shvedova Y.,59,74,482,404,7,6,6,4,,,2,0,Completed,2,1.72,2.2,1.63,2.15,1.65,2.35,1.69,2.24,1.62
39,San Diego,Acura Classic,31/07/07,1,Outdoor,Hard,1st Round,3,Srebotnik K.,Pratt N.,23,48,1041,540,6,1,6,4,,,2,0,Completed,1.2,4.33,1.2,4.25,1.17,4.65,1.19,5.75,1.17,4.5
39,San Diego,Acura Classic,01/08/07,1,Outdoor,Hard,1st Round,3,Kudryavtseva A.,Vakulenko J.,67,47,431,544,6,1,6,3,,,2,0,Completed,2.5,1.5,2.65,1.45,2.67,1.44,3.1,1.435,2.46,1.52
39,San Diego,Acura Classic,31/07/07,1,Outdoor,Hard,2nd Round,3,Petrova N.,Bovina E.,9,897,2002,8,6,3,7,5,,,2,0,Completed,1.06,8,1.06,8,1.06,7.91,1.065,13.4,1.05,9
39,San Diego,Acura Classic,01/08/07,1,Outdoor,Hard,2nd Round,3,Bartoli M.,Nakamura A.,12,61,1875,479.5,7,6,6,1,,,2,0,Completed,1.22,4,1.2,4.25,1.25,3.75,1.303,4,1.23,4
39,San Diego,Acura Classic,01/08/07,1,Outdoor,Hard,2nd Round,3,Hingis M.,Krajicek M.,13,33,1845,733,7,5,6,2,,,2,0,Completed,1.5,2.5,1.45,2.65,1.5,2.5,1.625,2.5,1.5,2.5
39,San Diego,Acura Classic,01/08/07,1,Outdoor,Hard,2nd Round,3,Jankovic J.,King V.,3,86,3241,368.5,6,3,6,0,,,2,0,Completed,1.06,8,1.08,7,1.06,7.91,1.067,13,1.07,8
39,San Diego,Acura Classic,01/08/07,1,Outdoor,Hard,2nd Round,3,Hantuchova D.,Azarenka V.,10,45,1957,569.5,6,3,1,6,6,1,2,1,Completed,1.28,3.5,1.3,3.35,1.33,3.15,1.333,3.7,1.36,3.05
39,San Diego,Acura Classic,01/08/07,1,Outdoor,Hard,2nd Round,3,Mirza S.,Daniilidou E.,31,44,822,586.5,7,6,6,3,,,2,0,Completed,1.28,3.5,1.35,3.05,1.33,3.15,1.329,3.74,1.36,3.05
39,San Diego,Acura Classic,01/08/07,1,Outdoor,Hard,2nd Round,3,Srebotnik K.,Bondarenko A.,23,22,1041,1059,6,3,6,1,,,2,0,Completed,2.2,1.61,2.05,1.73,1.91,1.83,2.13,1.813,2.1,1.7
39,San Diego,Acura Classic,01/08/07,1,Outdoor,Hard,2nd Round,3,Sugiyama A.,Bammer S.,30,21,844,1156,6,2,7,6,,,2,0,Completed,3.75,1.25,3.7,1.25,3.3,1.3,3.83,1.319,3.4,1.3
39,San Diego,Acura Classic,01/08/07,1,Outdoor,Hard,2nd Round,3,Safina D.,Pin C.,14,93,1742,342.75,6,1,6,4,,,2,0,Completed,1.2,4.33,1.25,3.7,1.22,4,1.27,4.4,1.25,3.8
39,San Diego,Acura Classic,01/08/07,1,Outdoor,Hard,2nd Round,3,Golovin T.,Kremer A.,19,125,1357,268,6,1,4,6,6,2,2,1,Completed,1.11,6,1.17,4.65,1.13,5.5,1.167,6.4,1.14,5.4
39,San Diego,Acura Classic,01/08/07,1,Outdoor,Hard,2nd Round,3,Chakvetadze A.,Shaughnessy M.,6,43,2541,589,6,4,6,4,,,2,0,Completed,1.11,6,1.13,5.4,1.13,5.5,1.196,5.6,1.14,5.4
39,San Diego,Acura Classic,01/08/07,1,Outdoor,Hard,2nd Round,3,Schnyder P.,Kudryavtseva A.,17,67,1584,431,6,2,6,0,,,2,0,Completed,1.16,4.5,1.2,4.25,1.2,4.2,,,1.18,4.6
