WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
44,San Diego,San Diego Open,11/09/2023,WTA500,Outdoor,Hard,1st Round,3,Potapova A.,Parks A.,27,46,1615,1168,6,2,5,7,6,4,2,1,Completed,1.5,2.63,1.55,2.58,1.56,2.87,1.5,2.55
44,San Diego,San Diego Open,11/09/2023,WTA500,Outdoor,Hard,1st Round,3,Navarro E.,Paolini J.,61,33,943,1330,7,5,6,0,,,2,0,Completed,2,1.8,1.83,2.05,2,2.05,1.91,1.89
44,San Diego,San Diego Open,12/09/2023,WTA500,Outdoor,Hard,1st Round,3,Volynets K.,Ngounoue C.,117,477,604,109,2,6,6,4,6,2,2,1,Completed,1.57,2.38,1.62,2.41,1.62,2.41,1.59,2.35
44,San Diego,San Diego Open,12/09/2023,WTA500,Outdoor,Hard,1st Round,3,Osorio M.,Frech M.,75,67,832,888,6,3,1,6,6,4,2,1,Completed,1.57,2.38,1.63,2.39,1.63,2.45,1.58,2.35
44,San Diego,San Diego Open,12/09/2023,WTA500,Outdoor,Hard,1st Round,3,Sasnovich A.,Bencic B.,102,15,686,2715,6,3,3,6,6,2,2,1,Completed,4,1.25,3.51,1.33,4,1.33,3.51,1.29
44,San Diego,San Diego Open,12/09/2023,WTA500,Outdoor,Hard,1st Round,3,Kalinina A.,Pliskova Ka.,28,34,1537,1325,7,6,0,6,6,3,2,1,Completed,2.38,1.57,2.39,1.63,2.42,1.63,2.33,1.58
44,San Diego,San Diego Open,12/09/2023,WTA500,Outdoor,Hard,1st Round,3,Kostyuk M.,Linette M.,45,24,1170,1816,6,2,7,6,,,2,0,Completed,1.62,2.3,1.64,2.37,1.64,2.38,1.61,2.29
44,San Diego,San Diego Open,12/09/2023,WTA500,Outdoor,Hard,1st Round,3,Collins D.,Chirico L.,43,213,1192,342,7,5,6,0,,,2,0,Completed,1.1,7,1.12,7.16,1.16,7.25,1.11,6.45
44,San Diego,San Diego Open,12/09/2023,WTA500,Outdoor,Hard,1st Round,3,Kenin S.,Kudermetova V.,93,18,752,2250,6,4,6,4,,,2,0,Completed,2.2,1.67,2.32,1.66,2.32,1.72,2.23,1.64
44,San Diego,San Diego Open,12/09/2023,WTA500,Outdoor,Hard,1st Round,3,Ostapenko J.,Alexandrova E.,16,19,2580,2250,7,6,6,7,7,5,2,1,Completed,1.91,1.91,1.96,1.9,1.98,2,1.9,1.88
44,San Diego,San Diego Open,13/09/2023,WTA500,Outdoor,Hard,1st Round,3,Stephens S.,Mertens E.,36,29,1265,1509,6,1,6,3,,,2,0,Completed,2.2,1.67,2.28,1.68,2.33,1.76,2.18,1.67
44,San Diego,San Diego Open,13/09/2023,WTA500,Outdoor,Hard,1st Round,3,Haddad Maia B.,Fernandez L.A.,20,74,2220,835,6,3,5,7,6,2,2,1,Completed,1.8,2,1.83,2.05,1.83,2.14,1.79,2
44,San Diego,San Diego Open,13/09/2023,WTA500,Outdoor,Hard,2nd Round,3,Sakkari M.,Osorio M.,9,75,3525,832,6,3,2,2,,,1,0,Retired,1.4,3,1.38,3.29,1.42,3.3,1.38,3.01
44,San Diego,San Diego Open,13/09/2023,WTA500,Outdoor,Hard,2nd Round,3,Kenin S.,Volynets K.,93,117,752,604,1,6,6,4,6,2,2,1,Completed,1.3,3.5,1.3,3.88,1.33,4,1.29,3.49
44,San Diego,San Diego Open,13/09/2023,WTA500,Outdoor,Hard,2nd Round,3,Potapova A.,Jabeur O.,27,7,1615,3771,6,4,7,6,,,2,0,Completed,2.75,1.44,2.83,1.49,3.09,1.5,2.7,1.45
44,San Diego,San Diego Open,13/09/2023,WTA500,Outdoor,Hard,2nd Round,3,Navarro E.,Sasnovich A.,61,102,943,686,7,5,6,4,,,2,0,Completed,1.73,2.1,1.79,2.13,1.8,2.2,1.73,2.08
44,San Diego,San Diego Open,13/09/2023,WTA500,Outdoor,Hard,2nd Round,3,Krejcikova B.,Kalinina A.,13,28,2751,1537,6,3,6,2,,,2,0,Completed,1.62,2.3,1.68,2.3,1.68,2.56,1.63,2.24
44,San Diego,San Diego Open,13/09/2023,WTA500,Outdoor,Hard,2nd Round,3,Collins D.,Ostapenko J.,43,16,1192,2580,2,6,6,3,6,4,2,1,Completed,2,1.8,2,1.88,2.02,1.88,1.97,1.82
44,San Diego,San Diego Open,14/09/2023,WTA500,Outdoor,Hard,2nd Round,3,Garcia C.,Stephens S.,10,36,3050,1265,6,3,3,6,6,1,2,1,Completed,2.1,1.73,2.03,1.87,2.25,1.87,1.99,1.81
44,San Diego,San Diego Open,14/09/2023,WTA500,Outdoor,Hard,2nd Round,3,Haddad Maia B.,Kostyuk M.,20,45,2220,1170,7,5,6,7,6,2,2,1,Completed,1.53,2.5,1.55,2.61,1.62,2.88,1.55,2.43
44,San Diego,San Diego Open,14/09/2023,WTA500,Outdoor,Hard,Quarterfinals,3,Kenin S.,Potapova A.,93,27,752,1615,6,2,6,3,,,2,0,Completed,2.2,1.67,2.27,1.71,2.27,1.73,2.18,1.68
44,San Diego,San Diego Open,14/09/2023,WTA500,Outdoor,Hard,Quarterfinals,3,Collins D.,Garcia C.,43,10,1192,3050,6,2,6,3,,,2,0,Completed,1.53,2.5,1.63,2.43,1.64,2.6,1.57,2.39
44,San Diego,San Diego Open,15/09/2023,WTA500,Outdoor,Hard,Quarterfinals,3,Krejcikova B.,Haddad Maia B.,13,20,2751,2220,6,4,6,3,,,2,0,Completed,1.8,2,1.88,2.03,1.92,2.1,1.8,1.99
44,San Diego,San Diego Open,15/09/2023,WTA500,Outdoor,Hard,Quarterfinals,3,Navarro E.,Sakkari M.,61,9,943,3525,6,4,0,6,7,6,2,1,Completed,2.75,1.44,2.73,1.52,2.8,1.53,2.63,1.48
44,San Diego,San Diego Open,15/09/2023,WTA500,Outdoor,Hard,Semifinals,3,Krejcikova B.,Collins D.,13,43,2751,1192,3,6,7,5,6,2,2,1,Completed,2.3,1.62,2.32,1.69,2.4,1.69,2.26,1.63
44,San Diego,San Diego Open,16/09/2023,WTA500,Outdoor,Hard,Semifinals,3,Kenin S.,Navarro E.,93,61,752,943,6,2,5,7,6,4,2,1,Completed,1.73,2.1,1.88,2.04,1.88,2.12,1.8,2
44,San Diego,San Diego Open,17/09/2023,WTA500,Outdoor,Hard,The Final,3,Krejcikova B.,Kenin S.,13,93,2751,752,6,4,2,6,6,4,2,1,Completed,1.53,2.5,1.6,2.51,1.6,2.68,1.54,2.44
