ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,GBW,GBL,IWW,IWL,SBW,SBL
16,San Jose,Sybase Open,25/02/02,International,Indoor,Hard,1st Round,3,Agassi A.,Mamiit C.,5,110,6,7,6,3,6,2,,,,,2,1,Completed,,,,,1.15,4.25,,,1.167,4.5
16,San Jose,Sybase Open,25/02/02,International,Indoor,Hard,1st Round,3,Arthurs W.,Chang M.,91,96,6,3,6,4,,,,,,,2,0,Completed,,,1.85,1.85,1.7,1.95,1.7,1.8,2,1.727
16,San Jose,Sybase Open,25/02/02,International,Indoor,Hard,1st Round,3,Blake J.,Fish M.,52,138,4,6,6,3,7,5,,,,,2,1,Completed,,,,,1.35,2.75,1.4,2.3,1.4,2.75
16,San Jose,Sybase Open,25/02/02,International,Indoor,Hard,1st Round,3,Carlsen K.,Dent T.,142,100,7,6,7,6,,,,,,,2,0,Completed,,,2.35,1.53,2.2,1.53,2.1,1.5,,
16,San Jose,Sybase Open,25/02/02,International,Indoor,Hard,1st Round,3,Ferreira W.,Balcells J.,48,113,6,3,5,7,6,3,,,,,2,1,Completed,,,1.48,2.45,1.4,2.55,1.45,2.2,1.4,2.75
16,San Jose,Sybase Open,25/02/02,International,Indoor,Hard,1st Round,3,Gambill J.M.,Vacek J.,22,78,6,2,6,3,,,,,,,2,0,Completed,,,1.35,2.9,1.38,2.65,1.35,2.5,1.286,3.25
16,San Jose,Sybase Open,25/02/02,International,Indoor,Hard,1st Round,3,Hewitt L.,Llodra M.,1,116,6,2,3,6,6,2,,,,,2,1,Completed,,,,,1.15,4.3,1.2,3.3,1.154,5
16,San Jose,Sybase Open,25/02/02,International,Indoor,Hard,1st Round,3,Malisse X.,Davydenko N.,27,86,6,4,6,2,,,,,,,2,0,Completed,,,,,1.32,2.9,1.3,2.7,1.333,3
16,San Jose,Sybase Open,25/02/02,International,Indoor,Hard,1st Round,3,Martin T.,Rochus C.,70,77,6,3,6,2,,,,,,,2,0,Completed,,,1.28,3.3,1.27,3.05,1.25,3,1.364,3
16,San Jose,Sybase Open,25/02/02,International,Indoor,Hard,1st Round,3,Pless K.,Lee H.T.,74,95,6,2,6,2,,,,,,,2,0,Completed,,,2.1,1.65,,,1.85,1.65,,
16,San Jose,Sybase Open,25/02/02,International,Indoor,Hard,1st Round,3,Roddick A.,Ginepri R.,13,151,6,4,6,4,,,,,,,2,0,Completed,,,,,1.12,4.7,1.15,3.8,1.125,5.5
16,San Jose,Sybase Open,25/02/02,International,Indoor,Hard,1st Round,3,Rusedski G.,Burgsmuller L.,31,65,6,4,7,5,,,,,,,2,0,Completed,,,1.28,3.25,1.32,2.9,1.3,2.7,1.25,3.5
16,San Jose,Sybase Open,25/02/02,International,Indoor,Hard,1st Round,3,Sa A.,Okun N.,90,114,6,4,6,0,,,,,,,2,0,Completed,,,,,,,,,,
16,San Jose,Sybase Open,25/02/02,International,Indoor,Hard,1st Round,3,Sanguinetti D.,Gimelstob J.,61,160,6,3,6,4,,,,,,,2,0,Completed,,,1.53,2.35,1.45,2.4,1.5,2.1,1.533,2.375
16,San Jose,Sybase Open,25/02/02,International,Indoor,Hard,1st Round,3,Sargsian S.,Kim A.,62,154,4,6,7,5,7,6,,,,,2,1,Completed,,,,,1.52,2.25,1.45,2.2,,
16,San Jose,Sybase Open,25/02/02,International,Indoor,Hard,1st Round,3,Srichaphan P.,Delgado R.,73,80,6,3,6,1,,,,,,,2,0,Completed,,,1.6,2.2,1.62,2.05,1.6,1.9,,
16,San Jose,Sybase Open,25/02/02,International,Indoor,Hard,2nd Round,3,Agassi A.,Sargsian S.,5,62,6,2,6,4,,,,,,,2,0,Completed,,,1.16,4.5,1.14,4.5,1.2,3.3,1.143,5
16,San Jose,Sybase Open,25/02/02,International,Indoor,Hard,2nd Round,3,Arthurs W.,Sa A.,91,90,4,6,6,1,6,4,,,,,2,1,Completed,,,2.05,1.68,2.05,1.63,1.9,1.6,2.2,1.615
16,San Jose,Sybase Open,25/02/02,International,Indoor,Hard,2nd Round,3,Blake J.,Malisse X.,52,27,6,3,6,1,,,,,,,2,0,Completed,,,2.15,1.62,2.12,1.58,2,1.55,2,1.727
16,San Jose,Sybase Open,25/02/02,International,Indoor,Hard,2nd Round,3,Ferreira W.,Pless K.,48,74,4,6,6,3,6,3,,,,,2,1,Completed,,,1.55,2.3,1.45,2.4,1.45,2.2,1.533,2.375
16,San Jose,Sybase Open,25/02/02,International,Indoor,Hard,2nd Round,3,Gambill J.M.,Carlsen K.,22,142,7,6,6,2,,,,,,,2,0,Completed,,,1.48,2.45,1.47,2.4,1.4,2.3,,
16,San Jose,Sybase Open,25/02/02,International,Indoor,Hard,2nd Round,3,Hewitt L.,Srichaphan P.,1,73,6,7,6,4,7,6,,,,,2,1,Completed,,,1.2,4,1.18,3.9,1.15,3.8,1.167,4.5
16,San Jose,Sybase Open,25/02/02,International,Indoor,Hard,2nd Round,3,Martin T.,Rusedski G.,70,31,6,3,7,6,,,,,,,2,0,Completed,,,1.85,1.85,1.85,1.78,1.65,1.85,1.909,1.8
16,San Jose,Sybase Open,25/02/02,International,Indoor,Hard,2nd Round,3,Roddick A.,Sanguinetti D.,13,61,7,6,6,7,6,3,,,,,2,1,Completed,,,1.2,4,1.25,3.3,1.3,2.7,1.286,3.25
16,San Jose,Sybase Open,25/02/02,International,Indoor,Hard,Quarterfinals,3,Agassi A.,Ferreira W.,5,48,6,4,6,4,,,,,,,2,0,Completed,,,1.25,3.55,1.23,3.45,1.2,3.3,1.2,4
16,San Jose,Sybase Open,25/02/02,International,Indoor,Hard,Quarterfinals,3,Gambill J.M.,Arthurs W.,22,91,7,5,6,7,7,6,,,,,2,1,Completed,,,1.38,2.8,1.3,2.95,1.3,2.7,1.364,3
