WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
39,San Jose,Mubadala Silicon Valley Classic,02/08/2021,WTA500,Outdoor,Hard,1st Round,3,Martic P.,Sevastova A.,33,63,2005,1169,6,3,6,3,,,2,0,Completed,2.3,1.61,2.52,1.58,2.55,1.63,2.37,1.57
39,San Jose,Mubadala Silicon Valley Classic,02/08/2021,WTA500,Outdoor,Hard,1st Round,3,Linette M.,Pattinama Kerkhove L.,45,157,1628,499,6,3,6,3,,,2,0,Completed,1.36,3.2,1.33,3.6,1.37,3.65,1.32,3.32
39,San Jose,Mubadala Silicon Valley Classic,02/08/2021,WTA500,Outdoor,Hard,1st Round,3,Konjuh A.,Bouzkova M.,116,52,723,1363,7,5,3,6,7,5,2,1,Completed,1.72,2.1,1.77,2.15,1.84,2.3,1.72,2.11
39,San Jose,Mubadala Silicon Valley Classic,03/08/2021,WTA500,Outdoor,Hard,1st Round,3,Riske A.,Vandeweghe C.,37,162,1815,485,6,3,6,4,,,2,0,Completed,1.72,2.1,1.85,2.05,1.91,2.1,1.79,2.01
39,San Jose,Mubadala Silicon Valley Classic,03/08/2021,WTA500,Outdoor,Hard,1st Round,3,Zhang S.,Raducànu E.,51,184,1433,404,6,3,6,2,,,2,0,Completed,1.8,2,1.89,2,1.91,2.1,1.8,1.99
39,San Jose,Mubadala Silicon Valley Classic,03/08/2021,WTA500,Outdoor,Hard,1st Round,3,Garcia C.,Bektas E.,68,352,1150,162,6,3,6,4,,,2,0,Completed,1.22,4.33,1.23,4.61,1.26,4.65,1.22,4.21
39,San Jose,Mubadala Silicon Valley Classic,03/08/2021,WTA500,Outdoor,Hard,1st Round,3,Mladenovic K.,Han N.L.,60,270,1235,252,6,4,6,4,,,2,0,Completed,1.36,3.2,1.44,3,1.44,3.45,1.37,3.03
39,San Jose,Mubadala Silicon Valley Classic,03/08/2021,WTA500,Outdoor,Hard,1st Round,3,Putintseva Y.,Vekic D.,35,53,1865,1346,7,5,6,3,,,2,0,Completed,2.37,1.57,2.47,1.6,2.5,1.63,2.37,1.57
39,San Jose,Mubadala Silicon Valley Classic,03/08/2021,WTA500,Outdoor,Hard,1st Round,3,Liu C.,Yastremska D.,108,46,784,1575,6,3,4,6,6,4,2,1,Completed,2.5,1.53,2.8,1.49,2.85,1.67,2.61,1.48
39,San Jose,Mubadala Silicon Valley Classic,04/08/2021,WTA500,Outdoor,Hard,1st Round,3,Tomljanovic A.,Anisimova A.,50,84,1470,940,1,6,7,5,7,5,2,1,Completed,2.1,1.72,2.03,1.86,2.1,1.91,2,1.79
39,San Jose,Mubadala Silicon Valley Classic,04/08/2021,WTA500,Outdoor,Hard,1st Round,3,Stephens S.,Mcnally C.,67,134,1156,630,6,4,6,2,,,2,0,Completed,1.53,2.5,1.56,2.59,1.65,2.7,1.53,2.48
39,San Jose,Mubadala Silicon Valley Classic,04/08/2021,WTA500,Outdoor,Hard,1st Round,3,Collins D.,Rogers S.,36,43,1855,1698,6,4,6,3,,,2,0,Completed,1.66,2.2,1.75,2.18,1.77,2.3,1.7,2.14
