ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,MaxW,MaxL,AvgW,AvgL
18,Sao Paulo,Brasil Open,22/02/16,ATP250,Indoor,Clay,1st Round,3,Carballes Baena R.,Daniel T.,122,87,485,619,6,2,7,6,,,,,,,2,0,Completed,2,1.72,2.05,1.72,,,2.24,1.71,2.2,1.8,2.09,1.72
18,Sao Paulo,Brasil Open,22/02/16,ATP250,Indoor,Clay,1st Round,3,Munoz-De La Nava D.,Gonzalez M.,72,148,720,399,6,3,4,6,6,2,,,,,2,1,Completed,1.57,2.25,1.6,2.3,1.62,2.25,1.81,2.09,1.81,2.4,1.63,2.24
18,Sao Paulo,Brasil Open,22/02/16,ATP250,Indoor,Clay,1st Round,3,Gimeno-Traver D.,Clezar G.,99,173,582,317,3,6,6,4,6,1,,,,,2,1,Completed,1.83,1.83,1.88,1.88,1.91,1.91,1.88,2.01,1.97,2.01,1.88,1.89
18,Sao Paulo,Brasil Open,23/02/16,ATP250,Indoor,Clay,1st Round,3,Cervantes I.,Granollers M.,65,93,747,591,6,3,6,4,,,,,,,2,0,Completed,1.72,2,1.8,2,1.8,2,1.83,2.08,1.84,2.1,1.77,2.01
18,Sao Paulo,Brasil Open,23/02/16,ATP250,Indoor,Clay,1st Round,3,Rola B.,Lorenzi P.,160,52,368,855,7,6,3,6,7,6,,,,,2,1,Completed,3.25,1.33,3.2,1.33,3.4,1.33,3.3,1.38,3.4,1.38,3.2,1.34
18,Sao Paulo,Brasil Open,23/02/16,ATP250,Indoor,Clay,1st Round,3,Schwartzman D.,Zeballos H.,83,112,649,513,6,3,4,2,,,,,,,1,0,Retired,1.33,3.25,1.35,3,1.36,3.25,1.41,3.13,1.41,3.3,1.35,3.11
18,Sao Paulo,Brasil Open,23/02/16,ATP250,Indoor,Clay,1st Round,3,Bagnis F.,Mathieu P.H.,96,69,587,729,6,4,6,1,,,,,,,2,0,Completed,2,1.72,2.1,1.7,2.2,1.67,2.01,1.88,2.2,1.88,2.04,1.75
18,Sao Paulo,Brasil Open,23/02/16,ATP250,Indoor,Clay,1st Round,3,Elias G.,Andujar P.,140,70,430,725,1,6,6,4,,,,,,,1,1,Retired,2.25,1.57,2.15,1.68,2.2,1.67,2.23,1.72,2.25,1.75,2.17,1.67
18,Sao Paulo,Brasil Open,23/02/16,ATP250,Indoor,Clay,1st Round,3,Carreno-Busta P.,Ramos-Vinolas A.,67,48,734,903,0,6,6,4,7,6,,,,,2,1,Completed,2.1,1.66,2.1,1.68,2.1,1.73,1.97,1.92,2.13,1.92,2.03,1.75
18,Sao Paulo,Brasil Open,23/02/16,ATP250,Indoor,Clay,1st Round,3,Lajovic D.,Vanni L.,76,145,688,404,6,2,6,2,,,,,,,2,0,Completed,1.72,2,1.8,2,1.73,2.1,1.88,2.01,1.88,2.1,1.78,2
18,Sao Paulo,Brasil Open,23/02/16,ATP250,Indoor,Clay,1st Round,3,Giraldo S.,Cecchinato M.,77,91,682,608,6,2,6,2,,,,,,,2,0,Completed,1.4,2.75,1.5,2.5,1.53,2.5,1.49,2.78,1.53,2.78,1.48,2.59
18,Sao Paulo,Brasil Open,23/02/16,ATP250,Indoor,Clay,1st Round,3,Monteiro T.,Almagro N.,278,50,181,879,6,3,7,5,,,,,,,2,0,Completed,6,1.12,6,1.11,6,1.12,6.16,1.15,6.5,1.16,5.73,1.13
18,Sao Paulo,Brasil Open,25/02/16,ATP250,Indoor,Clay,2nd Round,3,Carreno-Busta P.,Gimeno-Traver D.,67,99,734,582,6,2,3,6,6,3,,,,,2,1,Completed,1.5,2.5,1.52,2.45,1.53,2.5,1.42,3.14,1.6,3.14,1.46,2.67
