ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,GBW,GBL,IWW,IWL,SBW,SBL
18,Scottsdale,Franklin Templeton Tennis Classic,04/03/02,International,Outdoor,Hard,1st Round,3,Agassi A.,Clavet F.,5,54,6,3,6,2,,,,,,,2,0,Completed,,,1.22,3.85,1.15,4.25,1.15,3.8,1.25,3.75
18,Scottsdale,Franklin Templeton Tennis Classic,04/03/02,International,Outdoor,Hard,1st Round,3,Balcells J.,Blanco G.,123,77,7,6,6,3,,,,,,,2,0,Completed,,,1.48,2.45,1.53,2.2,1.4,2.3,1.533,2.375
18,Scottsdale,Franklin Templeton Tennis Classic,04/03/02,International,Outdoor,Hard,1st Round,3,Chela J.I.,Ginepri R.,41,151,5,7,7,6,6,4,,,,,2,1,Completed,,,1.52,2.4,1.55,2.2,1.55,2,1.533,2.375
18,Scottsdale,Franklin Templeton Tennis Classic,04/03/02,International,Outdoor,Hard,1st Round,3,Corretja A.,Kohlmann M.,18,114,6,3,7,5,,,,,,,2,0,Completed,,,1.45,2.55,1.46,2.4,1.5,2.1,,
18,Scottsdale,Franklin Templeton Tennis Classic,04/03/02,International,Outdoor,Hard,1st Round,3,Ferreira W.,Mamiit C.,48,108,2,6,6,3,6,2,,,,,2,1,Completed,,,1.4,2.8,1.41,2.54,1.35,2.5,1.5,2.5
18,Scottsdale,Franklin Templeton Tennis Classic,04/03/02,International,Outdoor,Hard,1st Round,3,Gaudenzi A.,Blake J.,52,49,7,6,6,3,,,,,,,2,0,Completed,,,4.25,1.18,3.45,1.23,3,1.25,3.5,1.286
18,Scottsdale,Franklin Templeton Tennis Classic,04/03/02,International,Outdoor,Hard,1st Round,3,Kratochvil M.,Canas G.,44,17,6,3,3,6,6,3,,,,,2,1,Completed,,,2.3,1.57,2.3,1.5,2.1,1.5,2.25,1.571
18,Scottsdale,Franklin Templeton Tennis Classic,04/03/02,International,Outdoor,Hard,1st Round,3,Malisse X.,Joyce M.,32,215,6,1,6,2,,,,,,,2,0,Completed,,,1.22,3.75,1.17,4,1.2,3.3,,
18,Scottsdale,Franklin Templeton Tennis Classic,04/03/02,International,Outdoor,Hard,1st Round,3,Mantilla F.,Lee M.,33,96,6,2,6,7,7,5,,,,,2,1,Completed,,,1.4,2.7,1.32,2.9,1.3,2.7,1.333,3
18,Scottsdale,Franklin Templeton Tennis Classic,04/03/02,International,Outdoor,Hard,1st Round,3,Moya C.,Haas T.,25,6,6,2,6,7,6,3,,,,,2,1,Completed,,,2.4,1.53,2.35,1.47,2.2,1.45,2.375,1.533
18,Scottsdale,Franklin Templeton Tennis Classic,04/03/02,International,Outdoor,Hard,1st Round,3,Okun N.,Meligeni F.,112,59,7,6,6,4,,,,,,,2,0,Completed,,,2.15,1.62,2.1,1.6,1.9,1.6,2.2,1.615
18,Scottsdale,Franklin Templeton Tennis Classic,04/03/02,International,Outdoor,Hard,1st Round,3,Portas A.,Saretta F.,26,99,6,3,7,5,,,,,,,2,0,Completed,,,1.8,1.9,1.66,2,1.6,1.9,1.833,1.833
18,Scottsdale,Franklin Templeton Tennis Classic,04/03/02,International,Outdoor,Hard,1st Round,3,Rusedski G.,Squillari F.,37,55,4,6,6,1,7,5,,,,,2,1,Completed,,,1.2,4,1.18,3.9,1.15,3.8,1.25,3.5
18,Scottsdale,Franklin Templeton Tennis Classic,04/03/02,International,Outdoor,Hard,1st Round,3,Sampras P.,Black B.,12,175,6,1,6,2,,,,,,,2,0,Completed,,,1.14,5,1.12,4.8,1.1,4.5,1.167,4.5
18,Scottsdale,Franklin Templeton Tennis Classic,04/03/02,International,Outdoor,Hard,1st Round,3,Schuettler R.,Schalken S.,40,28,6,4,2,6,6,2,,,,,2,1,Completed,,,1.67,2.1,1.7,1.95,1.65,1.85,1.727,2
18,Scottsdale,Franklin Templeton Tennis Classic,04/03/02,International,Outdoor,Hard,1st Round,3,Vicente F.,Zabaleta M.,69,62,5,7,6,3,6,4,,,,,2,1,Completed,,,2.15,1.62,2.2,1.55,2,1.55,2.25,1.571
18,Scottsdale,Franklin Templeton Tennis Classic,04/03/02,International,Outdoor,Hard,2nd Round,3,Agassi A.,Rusedski G.,5,37,6,4,6,4,,,,,,,2,0,Completed,,,1.33,3.1,1.35,2.75,1.25,3,1.333,3.25
18,Scottsdale,Franklin Templeton Tennis Classic,04/03/02,International,Outdoor,Hard,2nd Round,3,Balcells J.,Kratochvil M.,123,44,6,3,6,4,,,,,,,2,0,Completed,,,2.5,1.48,2.25,1.52,2.1,1.5,2.625,1.444
18,Scottsdale,Franklin Templeton Tennis Classic,04/03/02,International,Outdoor,Hard,2nd Round,3,Chela J.I.,Corretja A.,41,18,6,4,7,5,,,,,,,2,0,Completed,,,2.05,1.67,2.12,1.58,2,1.55,2.25,1.571
18,Scottsdale,Franklin Templeton Tennis Classic,04/03/02,International,Outdoor,Hard,2nd Round,3,Ferreira W.,Sampras P.,48,12,7,5,7,5,,,,,,,2,0,Completed,,,3.1,1.33,3.55,1.22,3.3,1.2,3,1.333
18,Scottsdale,Franklin Templeton Tennis Classic,04/03/02,International,Outdoor,Hard,2nd Round,3,Malisse X.,Gaudenzi A.,32,52,7,5,7,6,,,,,,,2,0,Completed,,,1.25,3.5,1.2,3.7,1.25,3,1.222,3.75
18,Scottsdale,Franklin Templeton Tennis Classic,04/03/02,International,Outdoor,Hard,2nd Round,3,Moya C.,Vicente F.,25,69,2,6,6,2,6,2,,,,,2,1,Completed,,,1.38,2.8,1.3,3,1.3,2.7,1.364,3
18,Scottsdale,Franklin Templeton Tennis Classic,04/03/02,International,Outdoor,Hard,2nd Round,3,Okun N.,Portas A.,112,26,7,6,6,4,,,,,,,2,0,Completed,,,2.05,1.67,2.12,1.58,2.1,1.5,2.2,1.615
18,Scottsdale,Franklin Templeton Tennis Classic,04/03/02,International,Outdoor,Hard,2nd Round,3,Schuettler R.,Mantilla F.,40,33,6,0,2,6,6,1,,,,,2,1,Completed,,,1.45,2.55,1.42,2.5,1.45,2.2,1.533,2.375
18,Scottsdale,Franklin Templeton Tennis Classic,04/03/02,International,Outdoor,Hard,Quarterfinals,3,Agassi A.,Chela J.I.,5,41,7,5,6,7,6,1,,,,,2,1,Completed,,,1.2,4,1.2,3.7,1.1,4.5,1.143,5
18,Scottsdale,Franklin Templeton Tennis Classic,04/03/02,International,Outdoor,Hard,Quarterfinals,3,Balcells J.,Okun N.,123,112,6,4,4,6,6,3,,,,,2,1,Completed,,,1.6,2.2,1.57,2.15,1.55,2,1.667,2.1
18,Scottsdale,Franklin Templeton Tennis Classic,04/03/02,International,Outdoor,Hard,Quarterfinals,3,Malisse X.,Ferreira W.,32,48,7,5,6,2,,,,,,,2,0,Completed,,,1.72,2,1.7,1.95,1.7,1.8,1.8,1.909
18,Scottsdale,Franklin Templeton Tennis Classic,04/03/02,International,Outdoor,Hard,Quarterfinals,3,Schuettler R.,Moya C.,40,25,6,3,3,6,6,2,,,,,2,1,Completed,,,1.9,1.8,1.95,1.7,1.9,1.6,1.909,1.8
18,Scottsdale,Franklin Templeton Tennis Classic,04/03/02,International,Outdoor,Hard,Semifinals,3,Agassi A.,Malisse X.,5,32,6,4,6,4,,,,,,,2,0,Completed,,,1.28,3.3,1.25,3.3,1.25,3,1.25,3.5
18,Scottsdale,Franklin Templeton Tennis Classic,04/03/02,International,Outdoor,Hard,Semifinals,3,Balcells J.,Schuettler R.,123,40,6,3,6,1,,,,,,,2,0,Completed,,,3,1.35,3,1.3,2.5,1.35,,
18,Scottsdale,Franklin Templeton Tennis Classic,04/03/02,International,Outdoor,Hard,The Final,3,Agassi A.,Balcells J.,5,123,6,2,7,6,,,,,,,2,0,Completed,,,1.12,5.5,1.15,4.25,1.1,4.5,1.111,6
