WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL
48,Seoul,KDB Korea Open,18/09/12,International,Outdoor,Hard,1st Round,3,Soler Espinosa S.,Goerges J.,78,20,836,1815,1,6,7,6,6,2,2,1,Completed,3,1.36,3.3,1.3,3,1.36,3.58,1.33,3,1.33,4.1,1.39,3.19,1.34
48,Seoul,KDB Korea Open,18/09/12,International,Outdoor,Hard,1st Round,3,Makarova E.,Hercog P.,28,76,1637,855,6,4,6,1,,,2,0,Completed,1.2,4.33,1.25,3.75,1.25,3.75,1.21,4.89,1.22,3.75,1.27,4.9,1.23,3.99
48,Seoul,KDB Korea Open,18/09/12,International,Outdoor,Hard,1st Round,3,Zakopalova K.,Muguruza G.,27,106,1670,651,6,4,4,6,7,6,2,1,Completed,1.57,2.25,1.6,2.25,1.57,2.25,1.54,2.64,1.53,2.38,1.65,2.9,1.56,2.37
48,Seoul,KDB Korea Open,18/09/12,International,Outdoor,Hard,1st Round,3,Bertens K.,King V.,63,57,986,1070,6,3,6,1,,,2,0,Completed,2.75,1.4,2.65,1.45,2.62,1.44,2.9,1.46,2.63,1.44,3.1,1.62,2.7,1.44
48,Seoul,KDB Korea Open,18/09/12,International,Outdoor,Hard,1st Round,3,Hampton J.,Oprandi R.,99,65,678,969,5,7,6,3,6,2,2,1,Completed,1.72,2,1.75,2,1.73,2,1.61,2.46,1.83,1.83,1.83,2.46,1.71,2.1
48,Seoul,KDB Korea Open,18/09/12,International,Outdoor,Hard,1st Round,3,Voskoboeva G.,Hong H.H.,68,662,946,33,6,1,6,2,,,2,0,Completed,1.03,15,1.04,9,1.05,8.5,1.03,17.57,1.04,9,1.05,19,1.03,12.58
48,Seoul,KDB Korea Open,18/09/12,International,Outdoor,Hard,1st Round,3,Kanepi K.,Han S-H.,16,264,2344,207,6,1,6,0,,,2,0,Completed,1.07,9,1.1,6.5,1.06,8,1.08,9.68,1.1,6,1.12,10.5,1.07,8.23
48,Seoul,KDB Korea Open,18/09/12,International,Outdoor,Hard,1st Round,3,Lepchenko V.,Giorgi C.,21,91,1745,732,6,2,7,6,,,2,0,Completed,1.25,3.75,1.35,3,1.33,3.25,1.34,3.55,1.36,2.88,1.37,4.1,1.31,3.34
48,Seoul,KDB Korea Open,18/09/12,International,Outdoor,Hard,1st Round,3,Wozniacki C.,Rus A.,11,71,3440,909,6,1,6,2,,,2,0,Completed,1.12,6,1.13,5.25,1.14,5,1.13,7.2,1.14,5,1.17,7.2,1.13,5.61
48,Seoul,KDB Korea Open,18/09/12,International,Outdoor,Hard,1st Round,3,Garcia C.,Cadantu A.,180,84,346,812,6,2,6,3,,,2,0,Completed,1.66,2.1,1.7,2.08,1.67,2.1,1.91,1.98,1.73,2,1.91,2.22,1.75,2.04
