WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,MaxW,MaxL,AvgW,AvgL
48,Seoul,Korea Open,18/09/17,International,Outdoor,Hard,1st Round,3,Alexandrova E.,Arruabarrena L.,75,61,796,964,6,3,7,5,,,2,0,Completed,1.83,1.83,1.9,1.8,,,2.09,1.81,2.09,1.9,1.96,1.83
48,Seoul,Korea Open,18/09/17,International,Outdoor,Hard,1st Round,3,Kumkhum L.,Duque-Marino M.,155,104,363,597,3,6,6,4,6,1,2,1,Completed,1.8,1.9,1.75,1.95,,,1.81,2.09,1.86,2.1,1.81,1.99
48,Seoul,Korea Open,18/09/17,International,Outdoor,Hard,1st Round,3,Sorribes Tormo S.,Watson H.,93,78,677,791,6,3,0,6,6,1,2,1,Completed,3.5,1.28,3.2,1.3,,,3.5,1.34,3.6,1.36,3.33,1.32
48,Seoul,Korea Open,18/09/17,International,Outdoor,Hard,1st Round,3,Cirstea S.,Eguchi M.,52,490,1107,60,6,1,6,3,,,2,0,Completed,1.08,8,1.09,6.25,,,1.19,5.34,1.19,8,1.1,6.87
48,Seoul,Korea Open,18/09/17,International,Outdoor,Hard,1st Round,3,Hon P.,Muchova K.,308,262,149,202,6,1,4,6,6,4,2,1,Completed,1.72,2,1.75,1.95,,,1.86,2.03,1.87,2.1,1.79,2.01
48,Seoul,Korea Open,18/09/17,International,Outdoor,Hard,1st Round,3,Begu I.,Wongteanchai V.,55,279,1078,177,2,6,6,3,6,3,2,1,Completed,1.12,6,1.13,5.2,1.12,6,1.15,6.16,1.18,6.4,1.14,5.69
48,Seoul,Korea Open,18/09/17,International,Outdoor,Hard,1st Round,3,Haddad Maia B.,Zavatska K.,71,251,824,209,4,6,6,3,6,1,2,1,Completed,1.28,3.5,1.28,3.35,1.3,3.5,1.33,3.58,1.33,3.7,1.3,3.46
48,Seoul,Korea Open,19/09/17,International,Outdoor,Hard,1st Round,3,Cepede Royg V.,Plipuech P.,77,789,793,19,6,3,6,2,,,2,0,Completed,1.16,5,1.16,4.6,1.17,5,1.18,5.49,1.18,5.65,1.17,5.04
48,Seoul,Korea Open,19/09/17,International,Outdoor,Hard,1st Round,3,Han N.L.,Pliskova Kr.,274,42,182,1253,6,4,6,4,,,2,0,Completed,8,1.08,7,1.07,7.5,1.08,8.41,1.1,9.5,1.1,7.67,1.08
48,Seoul,Korea Open,19/09/17,International,Outdoor,Hard,1st Round,3,Allertova D.,Petkovic A.,95,105,661,595,6,2,7,5,,,2,0,Completed,2.2,1.61,2.15,1.62,2.2,1.67,2.4,1.63,2.45,1.67,2.29,1.62
48,Seoul,Korea Open,19/09/17,International,Outdoor,Hard,1st Round,3,Hibino N.,Chang K.C.,72,120,822,521,6,2,6,4,,,2,0,Completed,1.53,2.37,1.53,2.35,1.57,2.37,1.62,2.43,1.63,2.55,1.57,2.4
48,Seoul,Korea Open,19/09/17,International,Outdoor,Hard,1st Round,3,Gibbs N.,Jang S.J.,121,145,519,391,6,3,7,5,,,2,0,Completed,1.4,2.75,1.42,2.65,1.4,3,1.5,2.76,1.5,3,1.43,2.79
48,Seoul,Korea Open,19/09/17,International,Outdoor,Hard,1st Round,3,Hogenkamp R.,Bertens K.,119,29,524,1670,5,7,6,4,6,3,2,1,Completed,4.33,1.2,4.1,1.2,4.33,1.22,4.27,1.26,4.5,1.26,4.2,1.22
48,Seoul,Korea Open,19/09/17,International,Outdoor,Hard,1st Round,3,Ostapenko J.,Larsson J.,10,85,3502,761,7,6,6,1,,,2,0,Completed,1.3,3.4,1.3,3.2,1.4,3,1.36,3.41,1.4,3.5,1.33,3.26
48,Seoul,Korea Open,19/09/17,International,Outdoor,Hard,1st Round,3,Rus A.,Mchale C.,143,81,396,770,6,3,6,4,,,2,0,Completed,4.5,1.18,4.3,1.18,4.5,1.2,4.45,1.24,5,1.24,4.56,1.19
48,Seoul,Korea Open,20/09/17,International,Outdoor,Hard,1st Round,3,Ahn K.,Maria T.,124,54,493,1094,7,5,7,5,,,2,0,Completed,2.5,1.5,2.4,1.5,2.5,1.53,2.48,1.6,2.58,1.61,2.46,1.54
48,Seoul,Korea Open,20/09/17,International,Outdoor,Hard,2nd Round,3,Hogenkamp R.,Allertova D.,119,95,524,661,6,4,6,4,,,2,0,Completed,2.25,1.57,2.25,1.57,2.25,1.61,2.44,1.63,2.44,1.67,2.31,1.61
48,Seoul,Korea Open,20/09/17,International,Outdoor,Hard,2nd Round,3,Kumkhum L.,Alexandrova E.,155,75,363,796,6,3,6,3,,,2,0,Completed,2.2,1.61,2.15,1.62,2.2,1.67,2.16,1.78,2.4,1.78,2.18,1.68
48,Seoul,Korea Open,20/09/17,International,Outdoor,Hard,2nd Round,3,Sorribes Tormo S.,Han N.L.,93,274,677,182,6,1,6,2,,,2,0,Completed,1.44,2.62,1.47,2.5,1.5,2.5,1.58,2.56,1.58,2.75,1.52,2.53
48,Seoul,Korea Open,20/09/17,International,Outdoor,Hard,2nd Round,3,Haddad Maia B.,Begu I.,71,55,824,1078,6,3,4,6,6,2,2,1,Completed,2.1,1.66,2,1.72,2.1,1.73,1.99,1.92,2.15,1.92,2.03,1.79
48,Seoul,Korea Open,21/09/17,International,Outdoor,Hard,2nd Round,3,Cepede Royg V.,Ahn K.,77,124,793,493,4,6,6,4,6,3,2,1,Completed,1.57,2.25,1.57,2.25,1.57,2.37,1.72,2.25,1.91,2.38,1.66,2.22
48,Seoul,Korea Open,21/09/17,International,Outdoor,Hard,2nd Round,3,Hon P.,Rus A.,308,143,149,396,7,5,6,4,,,2,0,Completed,2.1,1.66,2.1,1.65,2.2,1.67,2.24,1.73,2.3,1.73,2.18,1.67
48,Seoul,Korea Open,21/09/17,International,Outdoor,Hard,2nd Round,3,Cirstea S.,Gibbs N.,52,121,1107,519,6,3,6,3,,,2,0,Completed,1.5,2.5,1.53,2.35,1.53,2.5,1.57,2.59,1.61,2.59,1.55,2.44
48,Seoul,Korea Open,21/09/17,International,Outdoor,Hard,2nd Round,3,Ostapenko J.,Hibino N.,10,72,3502,822,6,2,6,2,,,2,0,Completed,1.25,3.75,1.25,3.6,1.28,3.75,1.28,4.14,1.3,4.25,1.26,3.8
48,Seoul,Korea Open,22/09/17,International,Outdoor,Hard,Quarterfinals,3,Kumkhum L.,Cirstea S.,155,52,363,1107,6,3,6,1,,,2,0,Completed,3,1.4,2.65,1.42,2.75,1.44,2.52,1.61,3,1.61,2.6,1.5
48,Seoul,Korea Open,22/09/17,International,Outdoor,Hard,Quarterfinals,3,Ostapenko J.,Cepede Royg V.,10,77,3502,793,6,3,6,1,,,2,0,Completed,1.3,3.5,1.27,3.45,1.3,3.5,1.28,4.2,1.32,4.3,1.27,3.72
48,Seoul,Korea Open,22/09/17,International,Outdoor,Hard,Quarterfinals,3,Hogenkamp R.,Hon P.,119,308,524,149,6,3,6,4,,,2,0,Completed,1.57,2.37,1.53,2.35,1.57,2.37,1.6,2.54,1.63,2.55,1.58,2.37
48,Seoul,Korea Open,22/09/17,International,Outdoor,Hard,Quarterfinals,3,Haddad Maia B.,Sorribes Tormo S.,71,93,824,677,6,4,6,4,,,2,0,Completed,1.4,3,1.4,2.75,,,1.43,3.1,1.5,3.1,1.43,2.81
48,Seoul,Korea Open,23/09/17,International,Outdoor,Hard,Semifinals,3,Ostapenko J.,Kumkhum L.,10,155,3502,363,3,6,6,1,6,3,2,1,Completed,1.3,3.5,1.28,3.35,1.33,3.4,1.33,3.76,1.35,3.8,1.31,3.46
48,Seoul,Korea Open,23/09/17,International,Outdoor,Hard,Semifinals,3,Haddad Maia B.,Hogenkamp R.,71,119,824,524,6,1,7,6,,,2,0,Completed,1.53,2.5,1.5,2.4,1.53,2.5,1.58,2.58,1.63,2.6,1.56,2.43
48,Seoul,Korea Open,24/09/17,International,Outdoor,Hard,The Final,3,Ostapenko J.,Haddad Maia B.,10,71,3502,824,6,7,6,1,6,4,2,1,Completed,1.36,3.25,1.35,2.95,1.4,3,1.38,3.38,1.4,3.45,1.36,3.15
