ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
55,Seoul,Korea Open,26/09/2022,ATP250,Outdoor,Hard,1st Round,3,Munar J.,Watanuki Y.,59,227,814,224,2,1,,,,,,,,,0,0,Retired,1.44,2.75,1.58,2.51,1.58,2.77,1.5,2.57
55,Seoul,Korea Open,26/09/2022,ATP250,Outdoor,Hard,1st Round,3,Kovacevic A.,Kecmanovic M.,222,32,228,1270,6,4,6,4,,,,,,,2,0,Completed,6,1.12,6.06,1.16,6.55,1.16,5.54,1.14
55,Seoul,Korea Open,26/09/2022,ATP250,Outdoor,Hard,1st Round,3,Albot R.,Moriya H.,91,261,577,187,6,3,6,4,,,,,,,2,0,Completed,,,,,1.24,5.4,1.19,4.63
55,Seoul,Korea Open,26/09/2022,ATP250,Outdoor,Hard,1st Round,3,Uchida K.,Hong S.,163,471,328,77,6,4,6,2,,,,,,,2,0,Completed,1.61,2.3,1.65,2.37,1.67,2.4,1.61,2.28
55,Seoul,Korea Open,27/09/2022,ATP250,Outdoor,Hard,1st Round,3,Jarry N.,Peniston R.,111,140,479,391,6,3,7,6,,,,,,,2,0,Completed,1.5,2.62,1.51,2.74,1.51,2.75,1.48,2.61
55,Seoul,Korea Open,27/09/2022,ATP250,Outdoor,Hard,1st Round,3,Johnson S.,Nam J.S.,117,590,463,46,7,6,6,4,,,,,,,2,0,Completed,1.16,5,1.25,4.42,1.25,5.05,1.21,4.33
55,Seoul,Korea Open,27/09/2022,ATP250,Outdoor,Hard,1st Round,3,Mcdonald M.,Martinez P.,82,67,635,745,7,5,6,4,,,,,,,2,0,Completed,1.44,2.75,1.47,2.89,1.47,2.89,1.43,2.76
55,Seoul,Korea Open,27/09/2022,ATP250,Outdoor,Hard,1st Round,3,Brooksby J.,Wu T.L.,46,212,982,243,7,6,3,6,6,0,,,,,2,1,Completed,1.14,5.5,1.21,4.98,1.23,5.6,1.17,4.9
55,Seoul,Korea Open,27/09/2022,ATP250,Outdoor,Hard,1st Round,3,Tseng C. H.,O Connell C.,88,105,598,504,6,4,,,,,,,,,1,0,Retired,2.5,1.53,2.39,1.64,2.51,1.64,2.36,1.57
55,Seoul,Korea Open,27/09/2022,ATP250,Outdoor,Hard,1st Round,3,Nishioka Y.,Evans D.,56,25,827,1490,6,2,7,6,,,,,,,2,0,Completed,2,1.8,2.09,1.82,2.15,1.83,2.01,1.78
55,Seoul,Korea Open,27/09/2022,ATP250,Outdoor,Hard,1st Round,3,Kwon S.W.,Chung Y.,121,426,441,96,7,6,6,7,6,1,,,,,2,1,Completed,1.16,5,1.18,5.52,1.2,5.52,1.17,4.92
55,Seoul,Korea Open,28/09/2022,ATP250,Outdoor,Hard,1st Round,3,Daniel T.,Gomez E.,92,102,569,516,6,4,6,4,,,,,,,2,0,Completed,1.28,3.75,1.39,3.23,1.39,3.75,1.33,3.25
55,Seoul,Korea Open,28/09/2022,ATP250,Outdoor,Hard,2nd Round,3,Shapovalov D.,Munar J.,24,59,1640,814,7,5,6,4,,,,,,,2,0,Completed,1.3,3.5,1.43,3.09,1.43,3.5,1.35,3.14
55,Seoul,Korea Open,28/09/2022,ATP250,Outdoor,Hard,2nd Round,3,Albot R.,Johnson S.,91,117,577,463,7,6,7,6,,,,,,,2,0,Completed,1.66,2.2,1.76,2.19,1.76,2.25,1.69,2.15
55,Seoul,Korea Open,29/09/2022,ATP250,Outdoor,Hard,2nd Round,3,Norrie C.,Uchida K.,8,163,3550,328,6,2,6,2,,,,,,,2,0,Completed,1.08,8,1.1,8.84,1.13,9.33,1.08,7.57
55,Seoul,Korea Open,29/09/2022,ATP250,Outdoor,Hard,2nd Round,3,Brooksby J.,Kwon S.W.,46,121,982,441,6,3,6,4,,,,,,,2,0,Completed,1.5,2.62,1.59,2.53,1.59,2.63,1.52,2.51
