WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,MaxW,MaxL,AvgW,AvgL
3,Shenzhen,Shenzhen Open,04/01/16,International,Outdoor,Hard,1st Round,3,Hsieh S.W.,Duan Y.Y.,93,118,677,527,6,4,7,5,,,2,0,Completed,1.5,2.5,1.45,2.6,1.53,2.5,1.6,2.47,1.6,2.6,1.55,2.42
3,Shenzhen,Shenzhen Open,04/01/16,International,Outdoor,Hard,1st Round,3,Riske A.,Beck A.,97,58,652,976,6,7,6,3,6,2,2,1,Completed,2.1,1.66,2.2,1.65,2.2,1.67,2.17,1.76,2.25,1.76,2.11,1.7
3,Shenzhen,Shenzhen Open,04/01/16,International,Outdoor,Hard,1st Round,3,Babos T.,Rodina E.,70,87,863,716,6,3,6,2,,,2,0,Completed,1.44,2.62,1.5,2.45,1.44,2.75,1.46,2.89,1.5,2.89,1.44,2.73
3,Shenzhen,Shenzhen Open,04/01/16,International,Outdoor,Hard,1st Round,3,Friedsam A.L.,Jovanovski B.,95,79,668,785,6,0,6,3,,,2,0,Completed,1.66,2.1,1.7,2.05,1.73,2.1,1.75,2.19,1.76,2.19,1.71,2.1
3,Shenzhen,Shenzhen Open,04/01/16,International,Outdoor,Hard,1st Round,3,Begu I.,Arruabarrena L.,31,86,1630,718,6,3,6,2,,,2,0,Completed,1.36,3,1.35,3.1,1.4,3,1.39,3.23,1.4,3.25,1.36,3.06
3,Shenzhen,Shenzhen Open,04/01/16,International,Outdoor,Hard,1st Round,3,Niculescu M.,Sevastova A.,39,113,1245,551,1,6,6,4,6,3,2,1,Completed,1.36,3,1.35,3,1.4,3,1.39,3.22,1.42,3.22,1.38,2.98
3,Shenzhen,Shenzhen Open,04/01/16,International,Outdoor,Hard,1st Round,3,Diyas Z.,Zhang K.L.,52,140,1025,400,6,4,7,6,,,2,0,Completed,1.53,2.37,1.55,2.35,1.57,2.38,1.63,2.4,1.65,2.4,1.59,2.31
3,Shenzhen,Shenzhen Open,04/01/16,International,Outdoor,Hard,1st Round,3,Siniakova K.,Mitu A.,102,96,621,655,6,3,6,3,,,2,0,Completed,1.53,2.37,1.55,2.35,1.57,2.38,1.57,2.54,1.61,2.54,1.56,2.39
3,Shenzhen,Shenzhen Open,05/01/16,International,Outdoor,Hard,1st Round,3,Wang Q.,Konta J.,110,48,576,1107,6,3,3,6,6,3,2,1,Completed,4,1.22,4,1.22,4,1.25,4.25,1.26,4.5,1.26,4.05,1.23
3,Shenzhen,Shenzhen Open,05/01/16,International,Outdoor,Hard,1st Round,3,Gibbs N.,Smitkova T.,109,125,579,468,6,0,6,2,,,2,0,Completed,1.4,2.75,1.4,2.9,1.4,3,1.37,3.33,1.4,3.33,1.37,3.01
3,Shenzhen,Shenzhen Open,05/01/16,International,Outdoor,Hard,1st Round,3,Zhang S.,Khromacheva I.,139,180,403,287,6,3,6,3,,,2,0,Completed,1.36,3,1.4,2.9,1.4,3,1.43,3.04,1.43,3.2,1.39,2.93
3,Shenzhen,Shenzhen Open,05/01/16,International,Outdoor,Hard,1st Round,3,Kontaveit A.,Shvedova Y.,91,67,691,899,6,4,7,6,,,2,0,Completed,3,1.36,3.1,1.33,3.25,1.36,3.37,1.36,3.25,1.36,3.18,1.33
3,Shenzhen,Shenzhen Open,05/01/16,International,Outdoor,Hard,1st Round,3,Radwanska A.,Krunic A.,5,108,4500,592,6,4,6,3,,,2,0,Completed,1.04,11,1.06,8.5,1.06,9,1.05,12.64,1.07,13,1.05,9.67
3,Shenzhen,Shenzhen Open,05/01/16,International,Outdoor,Hard,1st Round,3,Bouchard E.,Vekic D.,49,103,1064,620,6,4,1,6,7,5,2,1,Completed,1.4,2.75,1.42,2.8,1.53,2.5,1.47,2.88,1.51,2.9,1.46,2.66
3,Shenzhen,Shenzhen Open,05/01/16,International,Outdoor,Hard,1st Round,3,King V.,Voegele S.,412,119,79,523,7,5,6,4,,,2,0,Completed,2.25,1.57,,,,,,,2.25,1.6,2.25,1.59
3,Shenzhen,Shenzhen Open,05/01/16,International,Outdoor,Hard,1st Round,3,Zheng S.,Kvitova P.,72,6,840,4220,6,2,,,,,1,0,Retired,10,1.05,8,1.06,7,1.1,8.94,1.09,10.6,1.1,7.87,1.07
3,Shenzhen,Shenzhen Open,06/01/16,International,Outdoor,Hard,2nd Round,3,Friedsam A.L.,Begu I.,95,31,668,1630,7,5,3,2,,,1,0,Retired,2.75,1.4,2.7,1.45,2.75,1.44,2.71,1.53,2.88,1.53,2.68,1.45
3,Shenzhen,Shenzhen Open,06/01/16,International,Outdoor,Hard,2nd Round,3,Babos T.,Niculescu M.,70,39,863,1245,6,1,6,4,,,2,0,Completed,2.25,1.57,2.3,1.6,2.25,1.62,2.28,1.71,2.38,1.71,2.26,1.62
3,Shenzhen,Shenzhen Open,06/01/16,International,Outdoor,Hard,2nd Round,3,Riske A.,Hsieh S.W.,97,93,652,677,3,6,7,5,6,1,2,1,Completed,1.66,2.1,1.72,2.05,1.73,2.1,1.79,2.14,1.79,2.2,1.72,2.09
3,Shenzhen,Shenzhen Open,06/01/16,International,Outdoor,Hard,2nd Round,3,Bouchard E.,Gibbs N.,49,109,1064,579,6,4,6,2,,,2,0,Completed,1.72,2,1.82,1.9,1.8,2,1.98,1.93,1.98,2.03,1.84,1.93
3,Shenzhen,Shenzhen Open,06/01/16,International,Outdoor,Hard,2nd Round,3,Wang Q.,King V.,110,412,576,79,7,6,6,3,,,2,0,Completed,1.5,2.5,1.5,2.5,1.53,2.5,1.58,2.55,1.59,2.55,1.53,2.44
3,Shenzhen,Shenzhen Open,06/01/16,International,Outdoor,Hard,2nd Round,3,Siniakova K.,Diyas Z.,102,52,621,1025,6,0,6,4,,,2,0,Completed,2,1.72,1.9,1.82,2,1.8,2.06,1.85,2.06,1.85,1.96,1.8
