WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
58,Shenzhen,WTA Finals,27/10/2019,Tour Championships,Indoor,Hard,Round Robin,3,Osaka N.,Kvitova P.,3,6,5246,4401,7,6,4,6,6,4,2,1,Completed,1.57,2.25,1.7,2.26,1.71,2.35,1.67,2.21
58,Shenzhen,WTA Finals,27/10/2019,Tour Championships,Indoor,Hard,Round Robin,3,Barty A.,Bencic B.,1,7,6476,4120,5,7,6,1,6,2,2,1,Completed,1.53,2.37,1.47,2.85,1.6,2.9,1.53,2.53
58,Shenzhen,WTA Finals,28/10/2019,Tour Championships,Indoor,Hard,Round Robin,3,Svitolina E.,Pliskova Ka.,8,2,3995,5315,7,6,6,4,,,2,0,Completed,1.9,1.8,2.06,1.84,2.1,1.91,2,1.81
58,Shenzhen,WTA Finals,28/10/2019,Tour Championships,Indoor,Hard,Round Robin,3,Halep S.,Andreescu B.,5,4,4962,5041,3,6,7,6,6,3,2,1,Completed,2.5,1.5,2.4,1.63,2.63,1.65,2.49,1.54
58,Shenzhen,WTA Finals,29/10/2019,Tour Championships,Indoor,Hard,Round Robin,3,Bertens K.,Barty A.,10,1,3870,6476,3,6,6,3,6,4,2,1,Completed,3.5,1.28,4.15,1.26,4.3,1.31,3.84,1.26
58,Shenzhen,WTA Finals,29/10/2019,Tour Championships,Indoor,Hard,Round Robin,3,Bencic B.,Kvitova P.,7,6,4120,4401,6,3,1,6,6,4,2,1,Completed,2.75,1.4,3.25,1.39,3.29,1.45,2.94,1.4
58,Shenzhen,WTA Finals,30/10/2019,Tour Championships,Indoor,Hard,Round Robin,3,Svitolina E.,Halep S.,8,5,3995,4962,7,5,6,3,,,2,0,Completed,2,1.72,2.09,1.82,2.11,1.85,2.05,1.77
58,Shenzhen,WTA Finals,30/10/2019,Tour Championships,Indoor,Hard,Round Robin,3,Pliskova Ka.,Andreescu B.,2,4,5315,5041,6,3,,,,,1,0,Retired,2.37,1.53,2.36,1.65,2.47,1.65,2.37,1.59
58,Shenzhen,WTA Finals,31/10/2019,Tour Championships,Indoor,Hard,Round Robin,3,Barty A.,Kvitova P.,1,6,6476,4401,6,4,6,2,,,2,0,Completed,1.66,2.1,1.69,2.29,1.76,2.32,1.68,2.2
58,Shenzhen,WTA Finals,31/10/2019,Tour Championships,Indoor,Hard,Round Robin,3,Bencic B.,Bertens K.,7,10,4120,3870,7,5,1,0,,,1,0,Retired,1.8,1.9,1.89,2,1.92,2.01,1.86,1.94
58,Shenzhen,WTA Finals,01/11/2019,Tour Championships,Indoor,Hard,Round Robin,3,Svitolina E.,Kenin S.,8,12,3995,2615,7,5,7,6,,,2,0,Completed,1.53,2.37,1.69,2.29,1.71,2.47,1.6,2.34
58,Shenzhen,WTA Finals,01/11/2019,Tour Championships,Indoor,Hard,Round Robin,3,Pliskova Ka.,Halep S.,2,5,5315,4962,6,0,2,6,6,4,2,1,Completed,2.1,1.66,2.28,1.69,2.35,1.74,2.18,1.68
58,Shenzhen,WTA Finals,02/11/2019,Tour Championships,Indoor,Hard,Semifinals,3,Svitolina E.,Bencic B.,8,7,3995,4120,5,7,6,3,4,1,1,1,Retired,1.57,2.37,1.55,2.64,1.61,2.66,1.54,2.49
58,Shenzhen,WTA Finals,02/11/2019,Tour Championships,Indoor,Hard,Semifinals,3,Barty A.,Pliskova Ka.,1,2,6476,5315,4,6,6,2,6,3,2,1,Completed,1.57,2.37,1.59,2.53,1.63,2.6,1.56,2.45
58,Shenzhen,WTA Finals,03/11/2019,Tour Championships,Indoor,Hard,The Final,3,Barty A.,Svitolina E.,1,8,6476,3995,6,4,6,3,,,2,0,Completed,1.72,2.1,1.87,2.06,1.87,2.12,1.79,2.03
