ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,MaxW,MaxL,AvgW,AvgL
9,Sofia,Garanti Koza Sofia Open,06/02/17,ATP250,Indoor,Hard,1st Round,3,Albot R.,Lazarov A.,92,599,615,51,7,6,6,2,,,,,,,2,0,Completed,1.16,5,1.14,4.75,1.17,5,1.18,5.58,1.19,6,1.15,5.19
9,Sofia,Garanti Koza Sofia Open,07/02/17,ATP250,Indoor,Hard,1st Round,3,Muller G.,Bourgue M.,29,173,1370,325,6,3,6,2,,,,,,,2,0,Completed,1.14,5.5,1.14,4.75,1.13,5.25,1.16,5.95,1.2,6.2,1.15,5.37
9,Sofia,Garanti Koza Sofia Open,07/02/17,ATP250,Indoor,Hard,1st Round,3,Stebe C.M.,Gabashvili T.,406,160,105,358,2,6,6,0,6,1,,,,,2,1,Completed,2,1.72,1.9,1.75,2,1.73,2.08,1.83,2.15,1.84,2.01,1.78
9,Sofia,Garanti Koza Sofia Open,07/02/17,ATP250,Indoor,Hard,1st Round,3,Youzhny M.,Tepavac M.,89,201,627,270,7,6,6,4,,,,,,,2,0,Completed,1.22,4,1.25,3.5,1.29,3.75,1.3,3.86,1.3,4.2,1.26,3.81
9,Sofia,Garanti Koza Sofia Open,07/02/17,ATP250,Indoor,Hard,1st Round,3,Haase R.,Kuzmanov D.,57,450,808,88,6,4,6,3,,,,,,,2,0,Completed,1.12,6,1.14,4.8,1.12,6,1.13,6.94,1.15,7,1.13,5.92
9,Sofia,Garanti Koza Sofia Open,07/02/17,ATP250,Indoor,Hard,1st Round,3,Klizan M.,Kuznetsov An.,36,55,1140,845,6,0,7,6,,,,,,,2,0,Completed,2.5,1.5,2.3,1.52,2.38,1.57,2.51,1.58,2.6,1.6,2.45,1.53
9,Sofia,Garanti Koza Sofia Open,07/02/17,ATP250,Indoor,Hard,1st Round,3,Darcis S.,Marterer M.,59,172,787,327,6,3,7,6,,,,,,,2,0,Completed,1.53,2.37,1.48,2.45,1.62,2.25,1.56,2.56,1.62,2.63,1.52,2.48
9,Sofia,Garanti Koza Sofia Open,08/02/17,ATP250,Indoor,Hard,1st Round,3,Basilashvili N.,Mannarino A.,87,56,630,816,7,6,7,6,,,,,,,2,0,Completed,3.25,1.33,3,1.33,3.4,1.33,3.5,1.34,3.6,1.36,3.27,1.32
9,Sofia,Garanti Koza Sofia Open,08/02/17,ATP250,Indoor,Hard,1st Round,3,Troicki V.,Ilkel C.,37,328,1120,147,6,3,6,2,,,,,,,2,0,Completed,1.05,11,1.04,8,1.03,10,1.06,11.82,1.06,12.03,1.05,10.02
9,Sofia,Garanti Koza Sofia Open,08/02/17,ATP250,Indoor,Hard,1st Round,3,Brands D.,Chiudinelli M.,225,141,233,414,6,7,7,6,6,2,,,,,2,1,Completed,1.4,2.75,1.42,2.55,1.44,2.6,1.55,2.6,1.55,2.76,1.47,2.62
9,Sofia,Garanti Koza Sofia Open,08/02/17,ATP250,Indoor,Hard,1st Round,3,Janowicz J.,Sela D.,267,72,192,686,6,4,6,4,,,,,,,2,0,Completed,1.53,2.37,1.52,2.3,1.57,2.38,1.54,2.62,1.62,2.62,1.56,2.39
9,Sofia,Garanti Koza Sofia Open,08/02/17,ATP250,Indoor,Hard,1st Round,3,Seppi A.,Dzumhur D.,75,81,680,649,7,6,3,6,6,3,,,,,2,1,Completed,1.72,2,1.8,1.88,1.73,2.1,1.71,2.24,1.81,2.24,1.73,2.08
9,Sofia,Garanti Koza Sofia Open,08/02/17,ATP250,Indoor,Hard,2nd Round,3,Goffin D.,Albot R.,11,92,2930,615,6,2,6,7,6,3,,,,,2,1,Completed,1.04,10,1.07,6.5,1.06,9,1.09,9.58,1.1,10,1.07,8.28
9,Sofia,Garanti Koza Sofia Open,08/02/17,ATP250,Indoor,Hard,2nd Round,3,Bautista Agut R.,Stebe C.M.,16,406,2190,105,7,6,6,3,,,,,,,2,0,Completed,1.1,7,1.09,6,1.07,7.5,1.1,8.68,1.12,8.68,1.09,7.15
9,Sofia,Garanti Koza Sofia Open,09/02/17,ATP250,Indoor,Hard,2nd Round,3,Klizan M.,Brands D.,36,225,1140,233,7,6,6,2,,,,,,,2,0,Completed,1.36,3,1.35,2.8,1.36,3.25,1.43,3.06,1.53,3.25,1.39,2.95
9,Sofia,Garanti Koza Sofia Open,09/02/17,ATP250,Indoor,Hard,2nd Round,3,Muller G.,Youzhny M.,29,89,1370,627,6,3,7,5,,,,,,,2,0,Completed,1.28,3.5,1.33,2.9,1.33,3.4,1.34,3.56,1.34,3.6,1.31,3.36
9,Sofia,Garanti Koza Sofia Open,09/02/17,ATP250,Indoor,Hard,2nd Round,3,Troicki V.,Haase R.,37,57,1120,808,2,6,6,4,7,6,,,,,2,1,Completed,1.33,3.25,1.35,2.9,1.36,3.25,1.39,3.29,1.4,3.29,1.36,3.09
9,Sofia,Garanti Koza Sofia Open,09/02/17,ATP250,Indoor,Hard,2nd Round,3,Basilashvili N.,Thiem D.,87,8,630,3505,6,4,6,4,,,,,,,2,0,Completed,5,1.16,4.25,1.16,5.5,1.14,6.34,1.15,6.34,1.17,5.26,1.15
9,Sofia,Garanti Koza Sofia Open,09/02/17,ATP250,Indoor,Hard,2nd Round,3,Darcis S.,Seppi A.,59,75,787,680,6,3,7,5,,,,,,,2,0,Completed,1.83,1.83,1.82,1.82,1.91,1.91,1.96,1.94,2,1.94,1.91,1.87
9,Sofia,Garanti Koza Sofia Open,09/02/17,ATP250,Indoor,Hard,2nd Round,3,Dimitrov G.,Janowicz J.,13,267,2765,192,4,6,6,3,7,5,,,,,2,1,Completed,1.18,4.5,1.17,4.25,1.2,4.5,1.19,5.39,1.24,5.39,1.19,4.62
9,Sofia,Garanti Koza Sofia Open,10/02/17,ATP250,Indoor,Hard,Quarterfinals,3,Bautista Agut R.,Muller G.,16,29,2190,1370,7,5,7,6,,,,,,,2,0,Completed,1.44,2.62,1.5,2.35,1.5,2.5,1.56,2.63,1.57,2.7,1.5,2.55
9,Sofia,Garanti Koza Sofia Open,10/02/17,ATP250,Indoor,Hard,Quarterfinals,3,Goffin D.,Darcis S.,11,59,2930,787,6,1,6,3,,,,,,,2,0,Completed,1.28,3.5,1.3,3.2,1.3,3.4,1.34,3.65,1.36,3.75,1.3,3.44
9,Sofia,Garanti Koza Sofia Open,10/02/17,ATP250,Indoor,Hard,Quarterfinals,3,Dimitrov G.,Troicki V.,13,37,2765,1120,6,3,6,3,,,,,,,2,0,Completed,1.28,3.5,1.25,3.5,1.33,3.4,1.32,3.8,1.33,3.85,1.29,3.58
9,Sofia,Garanti Koza Sofia Open,10/02/17,ATP250,Indoor,Hard,Quarterfinals,3,Basilashvili N.,Klizan M.,87,36,630,1140,0,6,6,3,6,3,,,,,2,1,Completed,2.5,1.5,2.3,1.52,2.38,1.57,2.7,1.54,2.8,1.6,2.48,1.53
9,Sofia,Garanti Koza Sofia Open,11/02/17,ATP250,Indoor,Hard,Semifinals,3,Goffin D.,Bautista Agut R.,11,16,2930,2190,5,7,6,4,7,6,,,,,2,1,Completed,1.8,2,1.8,1.9,1.91,1.91,1.91,2.02,1.91,2.02,1.83,1.96
9,Sofia,Garanti Koza Sofia Open,11/02/17,ATP250,Indoor,Hard,Semifinals,3,Dimitrov G.,Basilashvili N.,13,87,2765,630,6,1,6,3,,,,,,,2,0,Completed,1.1,7,1.1,6,1.07,7.5,1.08,10.36,1.11,10.36,1.09,7.63
9,Sofia,Garanti Koza Sofia Open,12/02/17,ATP250,Indoor,Hard,The Final,3,Dimitrov G.,Goffin D.,13,11,2765,2930,7,5,6,4,,,,,,,2,0,Completed,1.4,3,1.35,2.8,1.36,3.25,1.41,3.22,1.41,3.25,1.37,3.06
