ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,EXW,EXL,PSW,PSL,UBW,UBL
46,Sopot,Idea Prokom Open,31/07/06,International,Outdoor,Clay,1st Round,3,Davydenko N.,Rochus C.,6,68,2175,585,6,1,6,2,,,,,,,2,0,Completed,1.1,6,1.12,6,1.15,5.2,1.149,7.1,1.15,5
46,Sopot,Idea Prokom Open,31/07/06,International,Outdoor,Clay,1st Round,3,Przysiezny M.,Coria G.,364,33,92,935,5,6,,,,,,,,,0,0,Retired,,,5,1.16,4.67,1.17,6.4,1.167,5.05,1.15
46,Sopot,Idea Prokom Open,31/07/06,International,Outdoor,Clay,1st Round,3,Dlouhy L.,Ramirez-Hidalgo R.,85,56,484,682,6,4,6,2,,,,,,,2,0,Completed,1.83,1.83,2.3,1.6,2.45,1.5,2.3,1.714,1.67,2.12
46,Sopot,Idea Prokom Open,01/08/06,International,Outdoor,Clay,1st Round,3,Gaudio G.,Pashanski B.,20,77,1300,512,6,1,6,7,6,4,,,,,2,1,Completed,1.08,6.5,1.12,6,1.11,5.84,1.121,8.45,1.11,6
46,Sopot,Idea Prokom Open,01/08/06,International,Outdoor,Clay,1st Round,3,Monaco J.,Melzer J.,72,73,564,540,2,6,7,6,6,4,,,,,2,1,Completed,1.57,2.25,1.57,2.35,1.55,2.35,1.588,2.6,1.65,2.18
46,Sopot,Idea Prokom Open,01/08/06,International,Outdoor,Clay,1st Round,3,Vassallo-Arguello M.,Daniel M.,111,90,384,444,6,4,2,0,,,,,,,1,0,Retired,1.53,2.37,1.55,2.4,1.53,2.4,1.617,2.52,1.52,2.45
46,Sopot,Idea Prokom Open,01/08/06,International,Outdoor,Clay,1st Round,3,Vanek J.,di Mauro A.,100,97,414,429,7,6,6,0,,,,,,,2,0,Completed,1.36,2.87,1.45,2.7,1.5,2.45,1.45,3.02,1.47,2.6
46,Sopot,Idea Prokom Open,01/08/06,International,Outdoor,Clay,1st Round,3,Volandri F.,Gimeno-Traver D.,58,211,665,188,6,4,6,1,,,,,,,2,0,Completed,1.19,4,1.28,3.55,,,1.276,4.32,1.27,3.6
46,Sopot,Idea Prokom Open,01/08/06,International,Outdoor,Clay,1st Round,3,Berlocq C.,Kohlschreiber P.,112,61,383,634,6,0,6,2,,,,,,,2,0,Completed,3.5,1.25,3.2,1.33,3.35,1.3,3.9,1.313,3.15,1.33
46,Sopot,Idea Prokom Open,01/08/06,International,Outdoor,Clay,1st Round,3,Robredo T.,Minar I.,7,140,2050,311,7,6,3,6,6,4,,,,,2,1,Completed,1.08,6.5,1.08,7.25,1.1,6.75,1.078,11.26,1.1,6.5
46,Sopot,Idea Prokom Open,01/08/06,International,Outdoor,Clay,1st Round,3,Garcia-Lopez G.,Zabaleta M.,80,365,498,91,7,6,7,5,,,,,,,2,0,Completed,2.5,1.5,2.45,1.53,2.45,1.5,2.7,1.556,2.45,1.52
46,Sopot,Idea Prokom Open,01/08/06,International,Outdoor,Clay,1st Round,3,Sluiter R.,Panfil G.,94,911,437,12,6,1,6,3,,,,,,,2,0,Completed,1.28,3.25,,,1.35,3.1,1.375,3.47,1.35,3.1
46,Sopot,Idea Prokom Open,01/08/06,International,Outdoor,Clay,1st Round,3,Marach O.,Waske A.,87,102,474,410,6,4,7,6,,,,,,,2,0,Completed,1.57,2.25,1.6,2.3,1.55,2.35,1.725,2.28,1.63,2.2
46,Sopot,Idea Prokom Open,01/08/06,International,Outdoor,Clay,1st Round,3,Chela J.I.,Garcia A.,34,283,920,130,6,3,6,2,,,,,,,2,0,Completed,1.28,3.25,1.4,2.85,1.35,3,1.372,3.49,1.36,3
46,Sopot,Idea Prokom Open,01/08/06,International,Outdoor,Clay,1st Round,3,Calleri A.,Armando H.,39,206,893,192,6,4,2,6,7,6,,,,,2,1,Completed,1.19,4,1.25,3.85,1.28,3.46,1.285,4.21,1.25,3.8
46,Sopot,Idea Prokom Open,01/08/06,International,Outdoor,Clay,1st Round,3,Mayer F.,Kubot L.,60,138,644,315,6,1,6,2,,,,,,,2,0,Completed,1.19,4,1.28,3.55,1.26,3.59,1.293,4.11,1.27,3.6
46,Sopot,Idea Prokom Open,02/08/06,International,Outdoor,Clay,2nd Round,3,Marach O.,Gaudio G.,87,20,474,1300,5,7,6,4,7,6,,,,,2,1,Completed,4,1.22,3.85,1.25,3.59,1.26,4.13,1.292,3.6,1.27
46,Sopot,Idea Prokom Open,02/08/06,International,Outdoor,Clay,2nd Round,3,Berlocq C.,Dlouhy L.,112,85,383,484,5,7,7,5,6,0,,,,,2,1,Completed,2.5,1.5,2.6,1.48,2.45,1.5,2.76,1.538,2.28,1.6
46,Sopot,Idea Prokom Open,02/08/06,International,Outdoor,Clay,2nd Round,3,Volandri F.,Garcia-Lopez G.,58,80,665,498,6,3,3,6,6,4,,,,,2,1,Completed,1.44,2.62,1.45,2.7,1.45,2.6,1.4,3.3,1.46,2.62
46,Sopot,Idea Prokom Open,03/08/06,International,Outdoor,Clay,2nd Round,3,Calleri A.,Sluiter R.,39,94,893,437,6,4,6,4,,,,,,,2,0,Completed,1.19,4.33,1.2,4.4,1.2,4.25,1.218,5.18,1.24,3.85
46,Sopot,Idea Prokom Open,03/08/06,International,Outdoor,Clay,2nd Round,3,Chela J.I.,Vassallo-Arguello M.,34,111,920,384,6,2,6,1,,,,,,,2,0,Completed,1.39,2.75,1.48,2.6,1.48,2.53,1.543,2.74,1.42,2.77
46,Sopot,Idea Prokom Open,03/08/06,International,Outdoor,Clay,2nd Round,3,Davydenko N.,Monaco J.,6,72,2175,564,7,5,6,7,6,1,,,,,2,1,Completed,1.25,3.75,1.3,3.4,1.35,3,1.307,3.96,1.33,3.15
46,Sopot,Idea Prokom Open,03/08/06,International,Outdoor,Clay,2nd Round,3,Mayer F.,Robredo T.,60,7,644,2050,6,2,6,4,,,,,,,2,0,Completed,3.25,1.33,3.2,1.33,2.85,1.4,3.04,1.446,2.92,1.38
46,Sopot,Idea Prokom Open,03/08/06,International,Outdoor,Clay,2nd Round,3,Przysiezny M.,Vanek J.,364,100,92,414,6,3,6,1,,,,,,,2,0,Completed,3.75,1.25,3.55,1.28,3.35,1.3,3.72,1.331,3.55,1.27
46,Sopot,Idea Prokom Open,04/08/06,International,Outdoor,Clay,Quarterfinals,3,Davydenko N.,Berlocq C.,6,112,2175,383,6,0,6,4,,,,,,,2,0,Completed,1.08,7,1.11,6.25,1.13,5.5,1.125,8.2,1.13,5.6
46,Sopot,Idea Prokom Open,04/08/06,International,Outdoor,Clay,Quarterfinals,3,Volandri F.,Marach O.,58,87,665,474,6,2,6,3,,,,,,,2,0,Completed,1.39,2.75,1.45,2.7,1.4,2.85,1.42,3.18,1.39,2.9
46,Sopot,Idea Prokom Open,04/08/06,International,Outdoor,Clay,Quarterfinals,3,Calleri A.,Przysiezny M.,39,364,893,92,6,4,6,2,,,,,,,2,0,Completed,1.12,5.5,1.13,5.65,1.13,5.5,1.138,7.56,1.15,5.1
46,Sopot,Idea Prokom Open,04/08/06,International,Outdoor,Clay,Quarterfinals,3,Mayer F.,Chela J.I.,60,34,644,920,6,4,6,0,,,,,,,2,0,Completed,2,1.72,1.93,1.83,1.8,1.95,1.98,1.926,1.86,1.9
46,Sopot,Idea Prokom Open,05/08/06,International,Outdoor,Clay,Semifinals,3,Davydenko N.,Volandri F.,6,58,2175,665,6,2,6,4,,,,,,,2,0,Completed,1.33,3.25,1.33,3.2,1.35,3.1,1.355,3.62,1.34,3.15
46,Sopot,Idea Prokom Open,05/08/06,International,Outdoor,Clay,Semifinals,3,Mayer F.,Calleri A.,60,39,644,893,6,2,4,3,,,,,,,1,0,Retired,2.37,1.53,2.3,1.6,2.12,1.67,2.39,1.671,2.2,1.66
