WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL
38,Stanford,Bank of the West Classic,25/07/11,Premier,Outdoor,Hard,1st Round,3,Marino R.,Vandeweghe C.,41,99,1276,691,6,4,6,4,,,2,0,Completed,1.4,2.75,1.4,2.8,1.44,2.63,1.45,2.93,1.44,2.63,1.5,3.01,1.42,2.74
38,Stanford,Bank of the West Classic,25/07/11,Premier,Outdoor,Hard,1st Round,3,Radwanska A.,Zahlavova Strycova B.,14,72,2995,910,6,1,6,2,,,2,0,Completed,1.12,6,1.15,5,1.17,4.5,1.14,6.65,1.14,5,1.17,6.65,1.13,5.58
38,Stanford,Bank of the West Classic,25/07/11,Premier,Outdoor,Hard,1st Round,3,Mchale C.,Lucic M.,65,93,972,731,6,1,6,0,,,2,0,Completed,1.57,2.25,1.6,2.25,1.57,2.25,1.65,2.37,1.62,2.2,1.67,2.53,1.58,2.3
38,Stanford,Bank of the West Classic,26/07/11,Premier,Outdoor,Hard,1st Round,3,Cibulkova D.,Date Krumm K.,19,52,2455,1105,6,2,7,6,,,2,0,Completed,1.28,3.5,1.3,3.3,1.33,3.25,1.28,4.03,1.33,3,1.34,4.03,1.28,3.45
38,Stanford,Bank of the West Classic,26/07/11,Premier,Outdoor,Hard,1st Round,3,Chang K.C.,Barte H.,147,959,445,13,7,5,6,4,,,2,0,Completed,1.18,4.5,1.22,4,1.22,4,1.2,5.11,1.14,5,1.22,5.2,1.19,4.56
38,Stanford,Bank of the West Classic,26/07/11,Premier,Outdoor,Hard,1st Round,3,Erakovic M.,Arvidsson S.,121,59,564,1010,6,2,6,1,,,2,0,Completed,1.57,2.25,1.65,2.15,1.67,2.1,1.74,2.2,1.8,1.91,1.8,2.4,1.66,2.14
38,Stanford,Bank of the West Classic,26/07/11,Premier,Outdoor,Hard,1st Round,3,Lisicki S.,Halep S.,26,55,1886,1063,6,1,6,2,,,2,0,Completed,1.16,5,1.18,4.5,1.2,4.33,1.24,4.52,1.17,4.5,1.25,5.3,1.18,4.6
38,Stanford,Bank of the West Classic,26/07/11,Premier,Outdoor,Hard,1st Round,3,Morita A.,Ivanovic A.,50,17,1163,2555,6,3,7,5,,,2,0,Completed,4,1.22,4,1.22,4.5,1.17,5.11,1.2,4,1.2,5.11,1.27,4.23,1.2
38,Stanford,Bank of the West Classic,26/07/11,Premier,Outdoor,Hard,1st Round,3,Kirilenko M.,Goerges J.,25,20,1985,2335,6,2,6,3,,,2,0,Completed,2.1,1.66,2.08,1.7,2.1,1.67,2.19,1.75,2.25,1.57,2.25,1.85,2.05,1.71
38,Stanford,Bank of the West Classic,26/07/11,Premier,Outdoor,Hard,1st Round,3,Radwanska U.,Savchuk O.,131,132,497,496,6,4,6,2,,,2,0,Completed,1.44,2.62,1.45,2.65,1.53,2.38,1.46,2.91,1.4,2.75,1.53,2.91,1.44,2.67
