WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,MaxW,MaxL,AvgW,AvgL
39,Stanford,Bank of the West Classic,03/08/15,Premier,Outdoor,Hard,1st Round,3,Doi M.,Bellis C.,104,157,587,323,6,3,7,6,,,2,0,Completed,1.53,2.37,1.55,2.4,1.53,2.38,1.58,2.53,1.59,2.6,1.55,2.39
39,Stanford,Bank of the West Classic,03/08/15,Premier,Outdoor,Hard,1st Round,3,Riske A.,Maria T.,59,65,980,883,6,2,5,7,6,1,2,1,Completed,1.33,3.25,1.35,3.1,1.36,3,1.39,3.22,1.39,3.3,1.35,3.08
39,Stanford,Bank of the West Classic,03/08/15,Premier,Outdoor,Hard,1st Round,3,Gibbs N.,Garcia C.,126,36,450,1355,6,4,7,5,,,2,0,Completed,3,1.36,3,1.38,3,1.36,3.12,1.41,3.2,1.41,2.98,1.37
39,Stanford,Bank of the West Classic,03/08/15,Premier,Outdoor,Hard,1st Round,3,Petkovic A.,Witthoeft C.,17,54,2296,1005,5,7,6,1,6,3,2,1,Completed,1.28,3.5,1.3,3.4,1.3,3.4,1.3,3.86,1.35,3.86,1.31,3.35
39,Stanford,Bank of the West Classic,04/08/15,Premier,Outdoor,Hard,1st Round,3,Keys M.,Krunic A.,18,64,2280,889,6,3,6,0,,,2,0,Completed,1.25,3.75,1.25,3.75,1.25,3.75,1.25,4.36,1.29,4.36,1.24,3.88
39,Stanford,Bank of the West Classic,04/08/15,Premier,Outdoor,Hard,1st Round,3,Barthel M.,Zhao C.,63,371,905,90,6,3,6,0,,,2,0,Completed,1.1,7,1.13,5.5,1.17,4.5,1.13,7.05,1.18,7.05,1.12,6.15
39,Stanford,Bank of the West Classic,04/08/15,Premier,Outdoor,Hard,1st Round,3,Lepchenko V.,Lucic M.,60,49,975,1028,3,6,6,2,7,6,2,1,Completed,1.57,2.25,1.55,2.4,1.62,2.2,1.58,2.53,1.65,2.55,1.58,2.33
39,Stanford,Bank of the West Classic,04/08/15,Premier,Outdoor,Hard,1st Round,3,Konjuh A.,Zheng S.,86,68,681,827,6,3,6,4,,,2,0,Completed,1.4,2.75,1.4,2.9,1.4,2.75,1.4,3.18,1.46,3.25,1.39,2.9
39,Stanford,Bank of the West Classic,04/08/15,Premier,Outdoor,Hard,1st Round,3,Svitolina E.,Bondarenko K.,20,106,2245,571,4,6,6,4,7,5,2,1,Completed,1.44,2.62,1.5,2.5,1.53,2.38,1.54,2.63,1.54,2.7,1.48,2.56
39,Stanford,Bank of the West Classic,05/08/15,Premier,Outdoor,Hard,1st Round,3,Tomljanovic A.,Diatchenko V.,69,87,825,680,3,6,6,0,6,0,2,1,Completed,1.66,2.1,1.65,2.2,1.73,2,1.72,2.23,1.77,2.23,1.7,2.13
39,Stanford,Bank of the West Classic,05/08/15,Premier,Outdoor,Hard,1st Round,3,Kerber A.,Gavrilova D.,14,41,2790,1251,6,1,6,3,,,2,0,Completed,1.33,3.25,1.33,3.2,1.33,3.25,1.36,3.38,1.38,3.53,1.34,3.2
39,Stanford,Bank of the West Classic,05/08/15,Premier,Outdoor,Hard,1st Round,3,Date Krumm K.,Lisicki S.,173,24,295,2020,1,6,7,6,6,2,2,1,Completed,6,1.12,6,1.11,5.5,1.12,6.96,1.13,6.96,1.17,6.01,1.12
39,Stanford,Bank of the West Classic,05/08/15,Premier,Outdoor,Hard,2nd Round,3,Barthel M.,Petkovic A.,63,17,905,2296,5,7,6,2,7,6,2,1,Completed,2.5,1.5,2.9,1.4,2.38,1.53,3.02,1.44,3.02,1.53,2.71,1.45
39,Stanford,Bank of the West Classic,05/08/15,Premier,Outdoor,Hard,2nd Round,3,Riske A.,Suarez Navarro C.,59,10,980,3285,6,4,6,4,,,2,0,Completed,2.62,1.44,2.5,1.48,2.5,1.5,2.71,1.53,2.95,1.54,2.57,1.49
39,Stanford,Bank of the West Classic,06/08/15,Premier,Outdoor,Hard,2nd Round,3,Tomljanovic A.,Keys M.,69,18,825,2280,1,6,6,4,6,1,2,1,Completed,5,1.16,4.75,1.17,4.5,1.17,5.26,1.2,5.26,1.25,4.76,1.17
39,Stanford,Bank of the West Classic,06/08/15,Premier,Outdoor,Hard,2nd Round,3,Svitolina E.,Gibbs N.,20,126,2245,450,6,3,7,6,,,2,0,Completed,1.22,4,1.22,3.75,1.25,3.75,1.27,4.24,1.29,4.4,1.24,3.9
39,Stanford,Bank of the West Classic,06/08/15,Premier,Outdoor,Hard,2nd Round,3,Kerber A.,Konjuh A.,14,86,2790,681,6,4,6,3,,,2,0,Completed,1.22,4,1.18,4.5,1.17,4.5,1.22,4.85,1.24,4.85,1.2,4.39
39,Stanford,Bank of the West Classic,06/08/15,Premier,Outdoor,Hard,2nd Round,3,Radwanska A.,Doi M.,7,104,3560,587,1,6,6,2,6,0,2,1,Completed,1.14,5.5,1.15,5.25,1.12,5.5,1.18,5.61,1.18,6,1.14,5.32
39,Stanford,Bank of the West Classic,06/08/15,Premier,Outdoor,Hard,2nd Round,3,Pliskova Ka.,Date Krumm K.,11,173,3210,295,7,5,6,2,,,2,0,Completed,1.16,5,1.17,4.75,1.14,5,1.12,7.4,1.18,7.4,1.14,5.48
39,Stanford,Bank of the West Classic,07/08/15,Premier,Outdoor,Hard,2nd Round,3,Lepchenko V.,Wozniacki C.,60,5,975,4910,6,4,6,2,,,2,0,Completed,4.5,1.18,4.3,1.2,4.33,1.2,5.72,1.18,5.72,1.23,4.75,1.18
