ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL
60,Stockholm,Stockholm Open,14/10/13,ATP250,Indoor,Hard,1st Round,3,Carreno-Busta P.,Zopp J.,66,293,735,148,5,5,,,,,,,,,0,0,Retired,2.1,1.66,2.05,1.7,2,1.73,2.06,1.84,2,1.73,2.2,1.85,2.04,1.74
60,Stockholm,Stockholm Open,14/10/13,ATP250,Indoor,Hard,1st Round,3,Sijsling I.,Kamke T.,67,85,713,627,6,4,6,2,,,,,,,2,0,Completed,1.57,2.25,1.65,2.1,1.57,2.25,1.69,2.29,1.67,2.2,1.71,2.42,1.63,2.22
60,Stockholm,Stockholm Open,14/10/13,ATP250,Indoor,Hard,1st Round,3,Paire B.,Giraldo S.,25,80,1380,648,6,4,6,4,,,,,,,2,0,Completed,1.57,2.25,1.6,2.2,1.57,2.25,1.62,2.43,1.57,2.25,1.72,2.45,1.62,2.24
60,Stockholm,Stockholm Open,15/10/13,ATP250,Indoor,Hard,1st Round,3,Struff J.L.,Sekulic M.,117,68,496,707,6,3,6,0,,,,,,,2,0,Completed,1.2,4.5,1.18,4.25,1.2,4.33,1.18,5.57,1.2,4.5,1.22,5.57,1.19,4.55
60,Stockholm,Stockholm Open,15/10/13,ATP250,Indoor,Hard,1st Round,3,Sock J.,Tomic B.,97,52,571,890,6,4,6,2,,,,,,,2,0,Completed,2.62,1.44,2.45,1.48,2.5,1.5,2.67,1.53,2.63,1.5,2.78,1.54,2.57,1.48
60,Stockholm,Stockholm Open,15/10/13,ATP250,Indoor,Hard,1st Round,3,Gulbis E.,Chardy J.,26,36,1361,1120,6,3,3,6,7,6,,,,,2,1,Completed,1.25,3.75,1.28,3.3,1.3,3.4,1.3,3.82,1.29,3.5,1.33,4.1,1.29,3.51
60,Stockholm,Stockholm Open,15/10/13,ATP250,Indoor,Hard,1st Round,3,Garcia-Lopez G.,Langer N.,64,340,783,122,7,6,6,3,,,,,,,2,0,Completed,1.18,4.5,1.16,4.5,1.22,4,1.19,5.39,1.22,4,1.25,5.39,1.19,4.55
60,Stockholm,Stockholm Open,15/10/13,ATP250,Indoor,Hard,1st Round,3,Johansson J.,Falla A.,131,112,467,532,6,1,6,3,,,,,,,2,0,Completed,1.72,2,1.7,2.05,1.67,2.1,1.92,1.97,1.73,2.1,1.92,2.12,1.76,2.01
60,Stockholm,Stockholm Open,15/10/13,ATP250,Indoor,Hard,1st Round,3,Dimitrov G.,Copil M.,28,137,1340,401,6,3,6,4,,,,,,,2,0,Completed,1.33,3.25,1.28,3.3,1.29,3.5,1.42,3.09,1.29,3.5,1.42,3.55,1.32,3.3
60,Stockholm,Stockholm Open,16/10/13,ATP250,Indoor,Hard,1st Round,3,Nieminen J.,Becker B.,41,71,1050,675,6,3,3,6,7,6,,,,,2,1,Completed,1.33,3.25,1.35,3.1,1.4,2.75,1.39,3.23,1.36,3,1.48,3.25,1.39,2.93
60,Stockholm,Stockholm Open,16/10/13,ATP250,Indoor,Hard,1st Round,3,Verdasco F.,Dodig I.,32,29,1200,1295,6,7,6,1,6,4,,,,,2,1,Completed,2.25,1.57,2.2,1.65,2.1,1.67,2.42,1.63,2.2,1.67,2.42,1.7,2.2,1.64
60,Stockholm,Stockholm Open,16/10/13,ATP250,Indoor,Hard,1st Round,3,De Schepper K.,Eriksson M.,96,406,574,94,6,4,5,7,7,5,,,,,2,1,Completed,1.22,4,1.22,4,1.22,4,1.26,4.22,1.25,3.75,1.27,4.6,1.23,4
60,Stockholm,Stockholm Open,16/10/13,ATP250,Indoor,Hard,2nd Round,3,Paire B.,Carreno-Busta P.,25,66,1380,735,6,4,6,4,,,,,,,2,0,Completed,1.36,3,1.35,3.1,1.36,3,1.38,3.33,1.36,3,1.42,3.33,1.37,3.02
60,Stockholm,Stockholm Open,16/10/13,ATP250,Indoor,Hard,2nd Round,3,Janowicz J.,Garcia-Lopez G.,15,64,2060,783,6,2,6,1,,,,,,,2,0,Completed,1.66,2.1,1.62,2.25,1.57,2.25,1.64,2.41,1.67,2.2,1.75,2.41,1.64,2.22
60,Stockholm,Stockholm Open,17/10/13,ATP250,Indoor,Hard,2nd Round,3,Gulbis E.,Sijsling I.,26,67,1361,713,6,3,7,6,,,,,,,2,0,Completed,1.4,2.75,1.45,2.7,1.4,2.75,1.48,2.86,1.5,2.63,1.5,3,1.42,2.78
60,Stockholm,Stockholm Open,17/10/13,ATP250,Indoor,Hard,2nd Round,3,De Schepper K.,Anderson K.,96,20,574,1775,7,6,4,6,6,3,,,,,2,1,Completed,4.33,1.2,4.3,1.2,3.75,1.25,4.54,1.24,3.75,1.25,4.54,1.26,4.03,1.23
60,Stockholm,Stockholm Open,17/10/13,ATP250,Indoor,Hard,2nd Round,3,Verdasco F.,Nieminen J.,32,41,1200,1050,6,2,3,6,6,3,,,,,2,1,Completed,1.53,2.37,1.52,2.45,1.53,2.38,1.65,2.39,1.53,2.5,1.65,2.52,1.56,2.38
60,Stockholm,Stockholm Open,17/10/13,ATP250,Indoor,Hard,2nd Round,3,Dimitrov G.,Struff J.L.,28,117,1340,496,6,1,6,3,,,,,,,2,0,Completed,1.16,5,1.18,4.5,1.22,4,1.21,5.06,1.2,4.5,1.23,5.1,1.19,4.52
60,Stockholm,Stockholm Open,17/10/13,ATP250,Indoor,Hard,2nd Round,3,Ferrer D.,Sock J.,3,97,6800,571,4,6,6,3,6,1,,,,,2,1,Completed,1.2,4.33,1.22,4,1.2,4.33,1.26,4.3,1.22,4,1.27,4.8,1.22,4.12
60,Stockholm,Stockholm Open,17/10/13,ATP250,Indoor,Hard,2nd Round,3,Raonic M.,Johansson J.,11,131,2860,467,6,2,7,6,,,,,,,2,0,Completed,1.25,3.75,1.22,4,1.25,3.75,1.22,4.85,1.22,4,1.29,5.1,1.23,4.02
60,Stockholm,Stockholm Open,18/10/13,ATP250,Indoor,Hard,Quarterfinals,3,Gulbis E.,Janowicz J.,26,15,1361,2060,7,5,4,6,6,3,,,,,2,1,Completed,1.61,2.2,1.7,2.1,1.73,2,1.67,2.38,1.73,2.1,1.76,2.38,1.68,2.14
60,Stockholm,Stockholm Open,18/10/13,ATP250,Indoor,Hard,Quarterfinals,3,Ferrer D.,Verdasco F.,3,32,6800,1200,,,,,,,,,,,,,Walkover,1.61,2.2,1.65,2.2,1.57,2.25,1.69,2.33,1.62,2.25,1.75,2.33,1.65,2.19
60,Stockholm,Stockholm Open,18/10/13,ATP250,Indoor,Hard,Quarterfinals,3,Paire B.,Raonic M.,25,11,1380,2860,7,6,6,3,,,,,,,2,0,Completed,4.5,1.2,4,1.22,4,1.22,5.05,1.22,4.5,1.2,5.05,1.25,4.27,1.21
