ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,MaxW,MaxL,AvgW,AvgL
63,Stockholm,Stockholm Open,15/10/18,ATP250,Indoor,Hard,1st Round,3,Kudla D.,Garcia-Lopez G.,63,94,827,599,6,2,7,5,,,,,,,2,0,Completed,1.44,2.62,1.53,2.65,1.56,2.49,1.57,2.55,1.57,2.73,1.52,2.56
63,Stockholm,Stockholm Open,15/10/18,ATP250,Indoor,Hard,1st Round,3,Ymer E.,Marterer M.,135,67,435,786,4,6,7,5,7,5,,,,,2,1,Completed,2,1.72,2.1,1.8,2.1,1.77,2.18,1.75,2.21,1.8,2.12,1.73
63,Stockholm,Stockholm Open,16/10/18,ATP250,Indoor,Hard,1st Round,3,Chung H.,Fritz T.,27,56,1630,913,6,2,6,2,,,,,,,2,0,Completed,1.72,2,1.8,2.1,1.82,2.03,1.85,2.05,1.91,2.12,1.81,2.02
63,Stockholm,Stockholm Open,16/10/18,ATP250,Indoor,Hard,1st Round,3,Millman J.,Popyrin A.,33,180,1233,308,4,6,6,3,6,2,,,,,2,1,Completed,1.36,3,1.42,3.1,1.42,2.96,1.47,2.86,1.5,3.1,1.42,2.87
63,Stockholm,Stockholm Open,16/10/18,ATP250,Indoor,Hard,1st Round,3,Verdasco F.,Ebden M.,29,40,1455,1134,6,4,6,2,,,,,,,2,0,Completed,1.53,2.37,1.57,2.55,1.56,2.49,1.56,2.58,1.6,2.6,1.54,2.48
63,Stockholm,Stockholm Open,16/10/18,ATP250,Indoor,Hard,1st Round,3,Sandgren T.,Pouille L.,62,22,838,1780,6,4,6,4,,,,,,,2,0,Completed,2.62,1.44,2.85,1.47,2.76,1.47,2.8,1.49,2.9,1.5,2.73,1.46
63,Stockholm,Stockholm Open,16/10/18,ATP250,Indoor,Hard,1st Round,3,Lacko L.,Daniel T.,81,69,697,773,6,1,6,4,,,,,,,2,0,Completed,2,1.72,2.1,1.8,2.13,1.75,2.11,1.8,2.25,1.83,2.06,1.77
63,Stockholm,Stockholm Open,16/10/18,ATP250,Indoor,Hard,1st Round,3,Gulbis E.,Ymer M.,145,289,404,171,6,4,6,3,,,,,,,2,0,Completed,1.44,2.62,1.53,2.65,1.45,2.84,1.41,3.13,1.53,3.13,1.44,2.79
63,Stockholm,Stockholm Open,16/10/18,ATP250,Indoor,Hard,1st Round,3,Klahn B.,Copil M.,102,90,575,608,6,2,3,6,6,4,,,,,2,1,Completed,2.1,1.66,2.35,1.65,2.4,1.6,2.33,1.67,2.48,1.76,2.32,1.62
63,Stockholm,Stockholm Open,16/10/18,ATP250,Indoor,Hard,1st Round,3,Kohlschreiber P.,De Minaur A.,35,31,1215,1308,7,6,6,7,6,1,,,,,2,1,Completed,2.25,1.57,2.45,1.6,2.46,1.58,2.5,1.59,2.62,1.61,2.46,1.55
63,Stockholm,Stockholm Open,17/10/18,ATP250,Indoor,Hard,1st Round,3,Otte O.,Zopp J.,193,133,281,437,6,3,7,5,,,,,,,2,0,Completed,1.83,1.83,1.95,1.95,1.92,1.92,1.95,1.93,2.05,2.02,1.88,1.94
63,Stockholm,Stockholm Open,17/10/18,ATP250,Indoor,Hard,1st Round,3,Shapovalov D.,Polansky P.,30,130,1440,455,6,3,5,7,7,5,,,,,2,1,Completed,1.2,4.33,1.25,4.3,1.21,4.65,1.21,4.93,1.25,4.95,1.2,4.52
63,Stockholm,Stockholm Open,17/10/18,ATP250,Indoor,Hard,2nd Round,3,Tsitsipas S.,Millman J.,16,33,2007,1233,6,4,3,6,6,3,,,,,2,1,Completed,1.53,2.37,1.54,2.6,1.51,2.63,1.54,2.67,1.55,2.87,1.52,2.56
63,Stockholm,Stockholm Open,17/10/18,ATP250,Indoor,Hard,2nd Round,3,Sock J.,Ymer E.,18,135,1850,435,7,5,3,6,6,3,,,,,2,1,Completed,1.4,2.75,1.47,2.85,1.51,2.64,1.52,2.73,1.54,2.93,1.46,2.71
63,Stockholm,Stockholm Open,17/10/18,ATP250,Indoor,Hard,2nd Round,3,Chung H.,Kudla D.,27,63,1630,827,6,3,6,3,,,,,,,2,0,Completed,1.4,2.75,1.45,2.95,1.41,3,1.46,2.94,1.46,3.1,1.41,2.92
63,Stockholm,Stockholm Open,18/10/18,ATP250,Indoor,Hard,2nd Round,3,Sandgren T.,Otte O.,62,193,838,281,7,6,3,6,6,3,,,,,2,1,Completed,1.4,2.75,1.41,3.1,1.41,3,1.42,3.11,1.44,3.11,1.41,2.93
63,Stockholm,Stockholm Open,18/10/18,ATP250,Indoor,Hard,2nd Round,3,Fognini F.,Lacko L.,14,81,2315,697,6,4,6,4,,,,,,,2,0,Completed,1.33,3.25,1.35,3.4,1.38,3.15,1.41,3.16,1.41,3.4,1.36,3.15
63,Stockholm,Stockholm Open,18/10/18,ATP250,Indoor,Hard,2nd Round,3,Kohlschreiber P.,Verdasco F.,35,29,1215,1455,4,6,7,5,7,6,,,,,2,1,Completed,2.25,1.57,2.3,1.67,2.24,1.68,2.2,1.75,2.3,1.82,2.21,1.67
63,Stockholm,Stockholm Open,18/10/18,ATP250,Indoor,Hard,2nd Round,3,Isner J.,Klahn B.,10,102,3290,575,7,6,6,7,7,6,,,,,2,1,Completed,1.25,3.75,1.3,3.85,1.29,3.8,1.27,4.18,1.3,4.18,1.27,3.84
63,Stockholm,Stockholm Open,18/10/18,ATP250,Indoor,Hard,2nd Round,3,Gulbis E.,Shapovalov D.,145,30,404,1440,6,2,6,4,,,,,,,2,0,Completed,2.5,1.5,2.75,1.5,2.8,1.46,2.92,1.47,3.1,1.5,2.85,1.43
63,Stockholm,Stockholm Open,19/10/18,ATP250,Indoor,Hard,Quarterfinals,3,Fognini F.,Chung H.,14,27,2315,1630,7,5,2,1,,,,,,,1,0,Retired,2.3,1.61,2.15,1.77,2.33,1.66,2.37,1.67,2.37,1.77,2.23,1.67
63,Stockholm,Stockholm Open,19/10/18,ATP250,Indoor,Hard,Quarterfinals,3,Tsitsipas S.,Kohlschreiber P.,16,35,2007,1215,6,3,7,6,,,,,,,2,0,Completed,1.53,2.5,1.57,2.55,1.53,2.65,1.59,2.56,1.59,2.65,1.55,2.49
63,Stockholm,Stockholm Open,19/10/18,ATP250,Indoor,Hard,Quarterfinals,3,Gulbis E.,Sock J.,145,18,404,1850,4,6,6,3,6,4,,,,,2,1,Completed,1.66,2.2,1.77,2.15,1.76,2.16,1.89,2.04,1.89,2.2,1.75,2.1
63,Stockholm,Stockholm Open,19/10/18,ATP250,Indoor,Hard,Quarterfinals,3,Isner J.,Sandgren T.,10,62,3290,838,7,6,6,7,7,6,,,,,2,1,Completed,1.3,3.5,1.33,3.6,1.31,3.74,1.32,3.78,1.34,3.8,1.31,3.53
63,Stockholm,Stockholm Open,20/10/18,ATP250,Indoor,Hard,Semifinals,3,Tsitsipas S.,Fognini F.,16,14,2007,2315,6,3,6,2,,,,,,,2,0,Completed,1.66,2.2,1.73,2.2,1.68,2.29,1.69,2.33,1.74,2.38,1.66,2.23
63,Stockholm,Stockholm Open,20/10/18,ATP250,Indoor,Hard,Semifinals,3,Gulbis E.,Isner J.,145,10,404,3290,1,6,6,3,6,3,,,,,2,1,Completed,2.2,1.66,2.3,1.67,2.29,1.68,2.5,1.61,2.55,1.69,2.33,1.62
63,Stockholm,Stockholm Open,21/10/18,ATP250,Indoor,Hard,The Final,3,Tsitsipas S.,Gulbis E.,16,145,2007,404,6,4,6,4,,,,,,,2,0,Completed,1.4,3,1.45,2.95,1.45,2.93,1.45,3.01,1.46,3.05,1.43,2.88
