ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL
53,St. Petersburg,St. Petersburg Open,17/09/12,ATP250,Indoor,Hard,1st Round,3,Cipolla F.,Vasilevski A.,81,785,629,19,7,6,7,6,,,,,,,2,0,Completed,1.08,8,1.1,6.5,1.08,7,1.11,7.74,1.1,6,1.12,8.5,1.09,7.07
53,St. Petersburg,St. Petersburg Open,17/09/12,ATP250,Indoor,Hard,1st Round,3,Garcia-Lopez G.,Donskoy E.,68,121,681,462,2,6,6,4,6,3,,,,,2,1,Completed,2.1,1.66,2,1.75,2,1.73,2.19,1.75,1.91,1.8,2.9,1.97,2.07,1.73
53,St. Petersburg,St. Petersburg Open,17/09/12,ATP250,Indoor,Hard,1st Round,3,Ram R.,Bachinger M.,98,111,549,512,6,4,6,4,,,,,,,2,0,Completed,2.5,1.5,2.35,1.55,2.5,1.5,2.58,1.56,2.38,1.53,2.65,1.6,2.47,1.52
53,St. Petersburg,St. Petersburg Open,18/09/12,ATP250,Indoor,Hard,1st Round,3,Bautista R.,Lu Y.H.,87,64,580,699,6,4,6,2,,,,,,,2,0,Completed,2.1,1.66,2.15,1.65,2.1,1.67,2.2,1.74,2,1.73,2.4,1.8,2.1,1.69
53,St. Petersburg,St. Petersburg Open,18/09/12,ATP250,Indoor,Hard,1st Round,3,Gimeno-Traver D.,Serra F.,93,115,558,505,7,6,6,2,,,,,,,2,0,Completed,2.5,1.5,2.35,1.55,2.38,1.53,2.25,1.71,2.5,1.5,2.63,1.71,2.44,1.53
53,St. Petersburg,St. Petersburg Open,18/09/12,ATP250,Indoor,Hard,1st Round,3,Zemlja G.,Lacko L.,69,57,678,778,6,3,6,2,,,,,,,2,0,Completed,1.53,2.37,1.6,2.25,1.57,2.25,1.65,2.37,1.53,2.38,1.67,2.5,1.57,2.34
53,St. Petersburg,St. Petersburg Open,18/09/12,ATP250,Indoor,Hard,1st Round,3,Youzhny M.,Pospisil V.,29,120,1290,469,7,6,6,1,,,,,,,2,0,Completed,1.14,5.5,1.13,5.75,1.14,5,1.15,6.32,1.17,4.5,1.17,7,1.13,5.58
53,St. Petersburg,St. Petersburg Open,19/09/12,ATP250,Indoor,Hard,1st Round,3,Bolelli S.,Zeballos H.,79,119,634,471,7,6,7,5,,,,,,,2,0,Completed,1.57,2.25,1.6,2.25,1.62,2.2,1.7,2.26,1.57,2.25,1.71,2.38,1.64,2.21
53,St. Petersburg,St. Petersburg Open,19/09/12,ATP250,Indoor,Hard,1st Round,3,Kubot L.,Istomin D.,76,38,650,1007,4,6,6,3,6,4,,,,,2,1,Completed,1.9,1.8,1.95,1.8,2,1.73,2.09,1.81,1.91,1.8,2.15,1.88,1.98,1.79
53,St. Petersburg,St. Petersburg Open,19/09/12,ATP250,Indoor,Hard,1st Round,3,Zopp J.,Kumantsov A.,77,347,641,123,6,3,5,3,,,,,,,1,0,Retired,1.16,5,1.18,4.5,1.17,4.5,1.17,5.75,1.13,5.5,1.18,7,1.15,5.2
