WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,MaxW,MaxL,AvgW,AvgL
7,St. Petersburg,Ladies Trophy,30/01/17,International,Indoor,Hard,1st Round,3,Gavrilova D.,Kalinskaya A.,26,182,1665,305,6,4,7,5,,,2,0,Completed,1.22,4,1.22,3.6,1.25,4,1.22,4.81,1.29,4.81,1.23,4.08
7,St. Petersburg,Ladies Trophy,30/01/17,International,Indoor,Hard,1st Round,3,Beck A.,Bertens K.,67,24,890,1956,7,5,3,6,6,4,2,1,Completed,3.5,1.28,3.2,1.3,3,1.36,3.6,1.33,3.77,1.36,3.31,1.32
7,St. Petersburg,Ladies Trophy,30/01/17,International,Indoor,Hard,1st Round,3,Vikhlyantseva N.,Shvedova Y.,115,45,567,1224,6,3,6,4,,,2,0,Completed,1.72,2,1.72,1.95,1.8,2,1.8,2.11,1.84,2.2,1.77,2
7,St. Petersburg,Ladies Trophy,31/01/17,International,Indoor,Hard,1st Round,3,Vinci R.,Babos T.,21,30,2090,1485,6,3,3,6,6,4,2,1,Completed,1.57,2.25,1.65,2.05,1.67,2.2,1.71,2.25,1.75,2.35,1.65,2.19
7,St. Petersburg,Ladies Trophy,31/01/17,International,Indoor,Hard,1st Round,3,Putintseva Y.,Larsson J.,34,61,1390,1000,6,0,1,0,,,1,0,Retired,2,1.72,1.95,1.72,2,1.8,2.05,1.85,2.12,1.85,2.02,1.77
7,St. Petersburg,Ladies Trophy,31/01/17,International,Indoor,Hard,1st Round,3,Mladenovic K.,Mertens E.,51,85,1120,755,7,6,6,4,,,2,0,Completed,1.83,1.83,1.82,1.82,1.8,2,1.93,1.95,1.95,2,1.87,1.9
7,St. Petersburg,Ladies Trophy,31/01/17,International,Indoor,Hard,1st Round,3,Petkovic A.,Begu I.,52,28,1105,1562,6,1,7,5,,,2,0,Completed,1.44,2.62,1.48,2.4,1.5,2.62,1.5,2.76,1.53,2.76,1.47,2.62
7,St. Petersburg,Ladies Trophy,31/01/17,International,Indoor,Hard,1st Round,3,Konjuh A.,Niculescu M.,39,35,1351,1390,1,6,6,3,6,2,2,1,Completed,1.66,2.1,1.65,2.05,1.73,2.1,1.71,2.24,1.74,2.25,1.68,2.15
7,St. Petersburg,Ladies Trophy,31/01/17,International,Indoor,Hard,1st Round,3,Cornet A.,Flipkens K.,44,76,1242,815,6,4,6,2,,,2,0,Completed,1.57,2.25,1.6,2.2,1.62,2.2,1.64,2.39,1.65,2.4,1.6,2.27
7,St. Petersburg,Ladies Trophy,31/01/17,International,Indoor,Hard,1st Round,3,Vekic D.,Ostapenko J.,88,33,726,1425,6,0,6,4,,,2,0,Completed,3.5,1.28,3.5,1.25,,,,,3.5,1.3,3.48,1.27
7,St. Petersburg,Ladies Trophy,31/01/17,International,Indoor,Hard,1st Round,3,Kasatkina D.,Bencic B.,27,80,1580,771,6,2,7,5,,,2,0,Completed,1.44,2.62,1.5,2.35,1.57,2.38,1.47,2.88,1.58,2.9,1.51,2.53
7,St. Petersburg,Ladies Trophy,01/02/17,International,Indoor,Hard,1st Round,3,Vesnina E.,Makarova E.,16,37,2357,1377,6,3,6,1,,,2,0,Completed,2.62,1.44,2.5,1.45,2.5,1.53,2.74,1.51,2.75,1.56,2.56,1.49
7,St. Petersburg,Ladies Trophy,01/02/17,International,Indoor,Hard,2nd Round,3,Putintseva Y.,Beck A.,34,67,1390,890,6,4,6,0,,,2,0,Completed,1.83,1.83,1.9,1.8,2,1.8,1.92,1.99,2,1.99,1.91,1.86
7,St. Petersburg,Ladies Trophy,01/02/17,International,Indoor,Hard,2nd Round,3,Halep S.,Konjuh A.,4,39,5073,1351,6,4,7,6,,,2,0,Completed,1.4,2.75,1.38,2.8,1.36,3,1.43,3.09,1.49,3.09,1.42,2.81
7,St. Petersburg,Ladies Trophy,01/02/17,International,Indoor,Hard,2nd Round,3,Vikhlyantseva N.,Kasatkina D.,115,27,567,1580,7,6,6,2,,,2,0,Completed,3.5,1.28,3.2,1.3,3.25,1.36,3.78,1.32,3.29,1.38,3.31,1.32
7,St. Petersburg,Ladies Trophy,01/02/17,International,Indoor,Hard,2nd Round,3,Kuznetsova S.,Gavrilova D.,8,26,3915,1665,6,1,6,3,,,2,0,Completed,1.36,3,1.4,2.75,1.4,3,1.4,3.21,1.46,3.21,1.41,2.87
7,St. Petersburg,Ladies Trophy,02/02/17,International,Indoor,Hard,2nd Round,3,Vinci R.,Petkovic A.,21,52,2090,1105,6,4,6,4,,,2,0,Completed,2,1.72,1.92,1.75,2,1.8,2.3,1.69,2.3,1.8,2.12,1.7
7,St. Petersburg,Ladies Trophy,02/02/17,International,Indoor,Hard,2nd Round,3,Vesnina E.,Cornet A.,16,44,2357,1242,2,6,6,3,6,3,2,1,Completed,1.8,1.9,1.82,1.85,1.83,1.83,1.88,2.02,1.95,2.02,1.84,1.93
7,St. Petersburg,Ladies Trophy,02/02/17,International,Indoor,Hard,2nd Round,3,Mladenovic K.,Williams V.,51,11,1120,3530,6,3,6,1,,,2,0,Completed,2.5,1.5,2.25,1.55,2.25,1.57,2.52,1.59,2.58,1.61,2.4,1.54
7,St. Petersburg,Ladies Trophy,02/02/17,International,Indoor,Hard,2nd Round,3,Cibulkova D.,Vekic D.,5,88,4985,726,6,2,6,2,,,2,0,Completed,1.28,3.5,1.28,3.25,1.29,3.5,1.34,3.6,1.3,3.9,1.29,3.53
7,St. Petersburg,Ladies Trophy,03/02/17,International,Indoor,Hard,Quarterfinals,3,Vikhlyantseva N.,Halep S.,115,4,567,5073,,,,,,,,,Walkover,3.5,1.28,3.2,1.28,3.4,1.33,3.79,1.32,3.79,1.34,3.48,1.3
7,St. Petersburg,Ladies Trophy,03/02/17,International,Indoor,Hard,Quarterfinals,3,Cibulkova D.,Vesnina E.,5,16,4985,2357,6,3,6,3,,,2,0,Completed,1.36,3,1.38,2.75,1.4,2.75,1.5,2.82,1.5,3,1.43,2.8
7,St. Petersburg,Ladies Trophy,03/02/17,International,Indoor,Hard,Quarterfinals,3,Mladenovic K.,Vinci R.,51,21,1120,2090,6,1,6,4,,,2,0,Completed,2,1.72,1.95,1.72,2,1.8,2.04,1.88,2.04,1.9,1.98,1.81
7,St. Petersburg,Ladies Trophy,03/02/17,International,Indoor,Hard,Quarterfinals,3,Putintseva Y.,Kuznetsova S.,34,8,1390,3915,6,3,6,7,7,5,2,1,Completed,4.33,1.22,3.9,1.2,4.33,1.22,4.18,1.28,4.5,1.28,4.16,1.23
7,St. Petersburg,Ladies Trophy,04/02/17,International,Indoor,Hard,Semifinals,3,Mladenovic K.,Vikhlyantseva N.,51,115,1120,567,4,6,6,2,6,2,2,1,Completed,1.57,2.37,1.45,2.45,1.53,2.5,1.63,2.47,1.63,2.6,1.54,2.43
7,St. Petersburg,Ladies Trophy,04/02/17,International,Indoor,Hard,Semifinals,3,Putintseva Y.,Cibulkova D.,34,5,1390,4985,3,6,6,4,6,4,2,1,Completed,3.5,1.3,3.2,1.3,3.5,1.3,3.62,1.34,3.65,1.34,3.38,1.31
