ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
57,St. Petersburg,St. Petersburg Open,25/10/2021,ATP250,Indoor,Hard,1st Round,3,Struff J.L.,Duckworth J.,53,51,1134,1144,7,6,6,3,,,,,,,2,0,Completed,2,1.8,2,1.89,2.21,1.9,1.99,1.81
57,St. Petersburg,St. Petersburg Open,25/10/2021,ATP250,Indoor,Hard,1st Round,3,Korda S.,Serdarusic N.,38,248,1464,244,7,6,7,5,,,,,,,2,0,Completed,1.14,5.5,1.13,6.97,1.16,6.97,1.13,5.88
57,St. Petersburg,St. Petersburg Open,25/10/2021,ATP250,Indoor,Hard,1st Round,3,Bublik A.,Tiurnev E.,34,304,1516,167,6,3,6,4,,,,,,,2,0,Completed,1.16,5,1.2,5.05,1.26,5.36,1.19,4.53
57,St. Petersburg,St. Petersburg Open,26/10/2021,ATP250,Indoor,Hard,1st Round,3,Paul T.,Martinez P.,54,58,1128,1061,6,3,6,2,,,,,,,2,0,Completed,1.5,2.62,1.56,2.57,1.57,2.78,1.51,2.54
57,St. Petersburg,St. Petersburg Open,26/10/2021,ATP250,Indoor,Hard,1st Round,3,Ivashka I.,Djere L.,46,52,1253,1137,6,3,6,2,,,,,,,2,0,Completed,1.25,4,1.34,3.52,1.39,4.5,1.32,3.39
57,St. Petersburg,St. Petersburg Open,26/10/2021,ATP250,Indoor,Hard,1st Round,3,Andujar P.,Delbonis F.,92,41,793,1370,6,2,7,6,,,,,,,2,0,Completed,2.1,1.72,2.14,1.78,2.25,1.86,2.08,1.74
57,St. Petersburg,St. Petersburg Open,26/10/2021,ATP250,Indoor,Hard,1st Round,3,Van De Zandschulp B.,Nishioka Y.,69,82,931,850,6,2,6,2,,,,,,,2,0,Completed,1.57,2.37,1.63,2.42,1.63,2.63,1.58,2.36
57,St. Petersburg,St. Petersburg Open,26/10/2021,ATP250,Indoor,Hard,1st Round,3,Millman J.,Oliel Y.,57,373,1105,117,6,1,6,1,,,,,,,2,0,Completed,1.12,6,1.15,6.28,1.15,7.5,1.1,6.6
57,St. Petersburg,St. Petersburg Open,26/10/2021,ATP250,Indoor,Hard,1st Round,3,Mcdonald M.,Gerasimov E.,56,105,1114,744,7,5,6,4,,,,,,,2,0,Completed,1.57,2.37,1.7,2.26,1.74,2.38,1.66,2.21
57,St. Petersburg,St. Petersburg Open,26/10/2021,ATP250,Indoor,Hard,1st Round,3,Fritz T.,Ruusuvuori E.,28,72,1785,928,6,1,6,4,,,,,,,2,0,Completed,1.8,2,1.78,2.15,1.85,2.2,1.78,2.02
57,St. Petersburg,St. Petersburg Open,27/10/2021,ATP250,Indoor,Hard,1st Round,3,Cilic M.,Ramos-Vinolas A.,35,43,1515,1294,6,2,6,3,,,,,,,2,0,Completed,1.3,3.5,1.32,3.7,1.35,3.92,1.29,3.53
57,St. Petersburg,St. Petersburg Open,27/10/2021,ATP250,Indoor,Hard,1st Round,3,Khachanov K.,Mannarino A.,30,50,1696,1144,6,3,6,3,,,,,,,2,0,Completed,1.28,3.75,1.3,3.82,1.34,3.82,1.29,3.57
57,St. Petersburg,St. Petersburg Open,27/10/2021,ATP250,Indoor,Hard,2nd Round,3,Shapovalov D.,Andujar P.,13,92,2903,793,2,6,6,3,6,0,,,,,2,1,Completed,1.08,8,1.13,7.24,1.13,8.05,1.1,6.87
57,St. Petersburg,St. Petersburg Open,27/10/2021,ATP250,Indoor,Hard,2nd Round,3,Rublev A.,Ivashka I.,6,46,5560,1253,6,4,6,4,,,,,,,2,0,Completed,1.33,3.4,1.42,3.11,1.42,3.4,1.36,3.13
57,St. Petersburg,St. Petersburg Open,27/10/2021,ATP250,Indoor,Hard,2nd Round,3,Struff J.L.,Bublik A.,53,34,1134,1516,6,4,6,3,,,,,,,2,0,Completed,1.8,2,2.08,1.84,2.08,2.1,1.89,1.93
57,St. Petersburg,St. Petersburg Open,28/10/2021,ATP250,Indoor,Hard,2nd Round,3,Van De Zandschulp B.,Korda S.,69,38,931,1464,6,2,7,5,,,,,,,2,0,Completed,2,1.8,2.2,1.76,2.2,2.38,2.02,1.8
57,St. Petersburg,St. Petersburg Open,28/10/2021,ATP250,Indoor,Hard,2nd Round,3,Millman J.,Karatsev A.,57,19,1105,2392,6,3,6,2,,,,,,,2,0,Completed,4,1.25,4.26,1.27,4.4,1.3,3.95,1.24
