WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,SJW,SJL,UBW,UBL
24,Strasbourg,Internationaux de Strasbourg,18/05/09,International,Outdoor,Clay,1st Round,3,Peng S.,Glatch A.,32,117,1616,560,3,6,6,2,6,0,2,1,Completed,1.25,3.75,1.26,3.59,1.28,3.5,,,1.26,3.7
24,Strasbourg,Internationaux de Strasbourg,18/05/09,International,Outdoor,Clay,1st Round,3,Barrois K.,Pavlovic I.,76,254,795,204,6,3,6,3,,,2,0,Completed,1.3,3.4,1.32,3.22,1.36,3,,,1.33,3.2
24,Strasbourg,Internationaux de Strasbourg,18/05/09,International,Outdoor,Clay,1st Round,3,Morita A.,Laisne K.,73,312,840,146,6,1,6,3,,,2,0,Completed,1.16,4.5,1.2,4.25,1.22,4,,,1.19,4.4
24,Strasbourg,Internationaux de Strasbourg,18/05/09,International,Outdoor,Clay,1st Round,3,Dulko G.,Santangelo M.,42,108,1389,588,6,1,7,6,,,2,0,Completed,1.11,6,1.13,5.5,1.14,5,,,1.13,5.7
24,Strasbourg,Internationaux de Strasbourg,18/05/09,International,Outdoor,Clay,1st Round,3,Rezai A.,Bammer S.,79,29,775,1689,6,2,6,2,,,2,0,Completed,1.44,2.62,1.53,2.4,1.5,2.5,,,1.54,2.4
24,Strasbourg,Internationaux de Strasbourg,19/05/09,International,Outdoor,Clay,1st Round,3,Parmentier P.,Lepchenko V.,77,94,780,674,7,6,7,6,,,2,0,Completed,2.25,1.57,2.15,1.65,2.2,1.61,,,2.15,1.67
24,Strasbourg,Internationaux de Strasbourg,19/05/09,International,Outdoor,Clay,1st Round,3,Medina Garrigues A.,Wickmayer Y.,18,62,2440,972,1,6,6,3,6,3,2,1,Completed,1.4,2.75,1.45,2.65,1.4,2.75,,,1.42,2.78
24,Strasbourg,Internationaux de Strasbourg,19/05/09,International,Outdoor,Clay,1st Round,3,Yakimova A.,Ani M.,64,135,953,498,6,3,7,5,,,2,0,Completed,1.28,3.5,1.3,3.35,1.33,3.25,,,1.33,3.2
24,Strasbourg,Internationaux de Strasbourg,19/05/09,International,Outdoor,Clay,1st Round,3,Niculescu M.,Groenefeld A.L.,59,50,999,1255,4,6,6,2,6,3,2,1,Completed,5.5,1.12,4.92,1.15,4.5,1.16,,,5.8,1.12
24,Strasbourg,Internationaux de Strasbourg,19/05/09,International,Outdoor,Clay,1st Round,3,Beygelzimer Y.,Feuerstein C.,249,237,210,228,0,6,7,6,6,3,2,1,Completed,1.61,2.2,,,1.57,2.25,,,1.55,2.38
24,Strasbourg,Internationaux de Strasbourg,19/05/09,International,Outdoor,Clay,1st Round,3,Coin J.,Vesnina E.,67,49,896,1303,6,4,6,2,,,2,0,Completed,4,1.22,4.25,1.2,3.75,1.25,,,4,1.23
24,Strasbourg,Internationaux de Strasbourg,19/05/09,International,Outdoor,Clay,1st Round,3,Kudryavtseva A.,Dechy N.,74,63,832,962,6,0,6,7,6,3,2,1,Completed,2.37,1.53,2.3,1.6,2.37,1.53,,,2.35,1.57
24,Strasbourg,Internationaux de Strasbourg,19/05/09,International,Outdoor,Clay,1st Round,3,Hradecka L.,Woehr J.,84,N/A,730,N/A,3,6,6,1,6,2,2,1,Completed,1.33,3.25,1.35,3.1,1.36,3,,,1.33,3.2
24,Strasbourg,Internationaux de Strasbourg,19/05/09,International,Outdoor,Clay,1st Round,3,Kutuzova V.,Tanasugarn T.,115,51,566,1239,6,3,6,0,,,2,0,Completed,1.25,3.75,1.3,3.35,1.28,3.5,,,1.28,3.5
24,Strasbourg,Internationaux de Strasbourg,19/05/09,International,Outdoor,Clay,1st Round,3,Foretz S.,Flipkens K.,103,99,628,642,6,1,2,6,6,2,2,1,Completed,1.72,2,1.7,2.1,1.72,2,,,1.77,2
24,Strasbourg,Internationaux de Strasbourg,19/05/09,International,Outdoor,Clay,1st Round,3,Cohen Aloro S.,Johansson M.,127,66,520,904,4,6,6,4,6,1,2,1,Completed,2.2,1.61,,,2.2,1.61,,,2.18,1.65
24,Strasbourg,Internationaux de Strasbourg,20/05/09,International,Outdoor,Clay,2nd Round,3,Rezai A.,Yakimova A.,79,64,775,953,6,4,6,1,,,2,0,Completed,1.33,3.25,1.35,3.1,1.36,3,,,1.36,3.05
