WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL
27,Strasbourg,Internationaux de Strasbourg,21/05/12,International,Outdoor,Clay,1st Round,3,Hsieh S.W.,Begu I.,64,58,954,1100,6,7,6,3,6,1,2,1,Completed,2.75,1.4,2.42,1.51,2.5,1.5,2.85,1.47,2.63,1.44,2.88,1.51,2.63,1.46
27,Strasbourg,Internationaux de Strasbourg,21/05/12,International,Outdoor,Clay,1st Round,3,Foretz S.,Baltacha E.,86,67,739,931,6,4,6,0,,,2,0,Completed,1.66,2.1,1.75,2,1.67,2.1,1.74,2.2,1.83,1.83,1.85,2.28,1.75,2.02
27,Strasbourg,Internationaux de Strasbourg,21/05/12,International,Outdoor,Clay,1st Round,3,Parmentier P.,Lisicki S.,66,12,936,3012,6,4,6,4,,,2,0,Completed,3.4,1.3,3.35,1.3,3.4,1.3,3.39,1.36,3,1.33,3.4,1.39,3.19,1.33
27,Strasbourg,Internationaux de Strasbourg,21/05/12,International,Outdoor,Clay,1st Round,3,Paszek T.,Brianti A.,55,103,1148,650,6,4,0,6,6,4,2,1,Completed,2.25,1.57,2.05,1.7,2.1,1.67,2.12,1.79,2,1.73,2.25,1.83,2.09,1.7
27,Strasbourg,Internationaux de Strasbourg,22/05/12,International,Outdoor,Clay,1st Round,3,Hradecka L.,Minella M.,60,84,1049,743,7,6,6,2,,,2,0,Completed,1.16,5,1.15,5,1.17,4.5,1.22,4.78,1.17,4.5,1.22,5.5,1.18,4.53
27,Strasbourg,Internationaux de Strasbourg,22/05/12,International,Outdoor,Clay,1st Round,3,Larsson J.,Davis L.,81,169,776,366,3,6,7,6,7,6,2,1,Completed,1.72,2,1.8,1.95,1.73,2,1.78,2.15,1.73,2,1.8,2.3,1.74,2.03
27,Strasbourg,Internationaux de Strasbourg,22/05/12,International,Outdoor,Clay,1st Round,3,Panova A.,Barthel M.,77,32,802,1762,6,3,7,6,,,2,0,Completed,11,1.05,8,1.06,8.5,1.05,11.63,1.06,6,1.1,11.63,1.1,8.63,1.06
27,Strasbourg,Internationaux de Strasbourg,22/05/12,International,Outdoor,Clay,1st Round,3,Babos T.,Sevastova A.,65,230,940,254,3,0,,,,,0,0,Retired,2.75,1.4,2.5,1.5,2.62,1.44,2.61,1.55,2.5,1.5,2.8,1.57,2.56,1.48
27,Strasbourg,Internationaux de Strasbourg,22/05/12,International,Outdoor,Clay,1st Round,3,Medina Garrigues A.,Tatishvili A.,31,72,1775,873,7,5,4,6,6,1,2,1,Completed,1.14,5.5,1.19,4.3,1.14,5,1.17,5.64,1.13,5.5,1.2,5.75,1.16,4.9
27,Strasbourg,Internationaux de Strasbourg,22/05/12,International,Outdoor,Clay,1st Round,3,Morita A.,Erakovic M.,88,40,721,1392,6,1,6,3,,,2,0,Completed,3,1.36,2.65,1.45,2.75,1.4,2.64,1.54,2.63,1.44,3,1.54,2.77,1.42
