WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
22,Strasbourg,Internationaux de Strasbourg,15/05/2022,WTA250,Outdoor,Clay,1st Round,3,Tan H.,Stosur S.,112,490,590,95,6,2,6,1,,,2,0,Completed,1.2,4.5,1.2,5.2,1.22,5.2,1.19,4.63
22,Strasbourg,Internationaux de Strasbourg,15/05/2022,WTA250,Outdoor,Clay,1st Round,3,Linette M.,Gracheva V.,56,71,1081,914,6,3,6,0,,,2,0,Completed,1.8,2,1.83,2.07,1.89,2.1,1.79,2.01
22,Strasbourg,Internationaux de Strasbourg,16/05/2022,WTA250,Outdoor,Clay,1st Round,3,Dodin O.,Konjuh A.,94,66,708,953,6,2,1,6,7,5,2,1,Completed,2.75,1.44,2.53,1.58,2.75,1.58,2.52,1.51
22,Strasbourg,Internationaux de Strasbourg,16/05/2022,WTA250,Outdoor,Clay,1st Round,3,Zanevska M.,Zhang S.,65,41,964,1240,6,2,6,3,,,2,0,Completed,2.1,1.72,2.14,1.78,2.34,1.8,2.15,1.69
22,Strasbourg,Internationaux de Strasbourg,16/05/2022,WTA250,Outdoor,Clay,1st Round,3,Berberovic N.,Stephens S.,306,53,208,1109,2,6,6,4,6,1,2,1,Completed,8,1.08,9.48,1.08,9.48,1.09,8.18,1.07
22,Strasbourg,Internationaux de Strasbourg,16/05/2022,WTA250,Outdoor,Clay,1st Round,3,Watson H.,Hobgarski K.,105,292,621,229,6,4,6,1,,,2,0,Completed,1.2,4.5,1.22,4.61,1.22,4.7,1.2,4.4
22,Strasbourg,Internationaux de Strasbourg,16/05/2022,WTA250,Outdoor,Clay,1st Round,3,Pliskova Ka.,Kostyuk M.,8,59,3568,1050,6,4,6,2,,,2,0,Completed,1.9,1.9,1.92,1.97,1.95,2.13,1.85,1.93
22,Strasbourg,Internationaux de Strasbourg,16/05/2022,WTA250,Outdoor,Clay,1st Round,3,Juvan K.,Glushko L.,81,291,802,230,6,3,6,1,,,2,0,Completed,1.05,11,1.06,12.28,1.1,12.5,1.05,10.3
22,Strasbourg,Internationaux de Strasbourg,16/05/2022,WTA250,Outdoor,Clay,1st Round,3,Golubic V.,Morderger Y.,60,379,1047,144,6,0,6,4,,,2,0,Completed,1.07,9,1.08,9.81,1.08,10.5,1.06,8.81
22,Strasbourg,Internationaux de Strasbourg,16/05/2022,WTA250,Outdoor,Clay,1st Round,3,Mertens E.,Monnet C.,33,249,1446,276,7,5,6,4,,,2,0,Completed,1.07,9,1.07,11.09,1.1,11.09,1.06,9.24
