ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,MaxW,MaxL,AvgW,AvgL
35,Stuttgart,Mercedes Cup,12/06/17,ATP250,Outdoor,Grass,1st Round,3,Johnson S.,Marterer M.,25,123,1645,449,3,6,7,6,6,4,,,,,2,1,Completed,1.16,5,1.15,4.75,1.17,5,1.19,5.22,1.19,6.02,1.17,5.05
35,Stuttgart,Mercedes Cup,12/06/17,ATP250,Outdoor,Grass,1st Round,3,Struff J.L.,Lacko L.,53,109,883,499,6,4,7,6,,,,,,,2,0,Completed,1.72,2,1.72,2,1.8,2,1.78,2.14,1.8,2.14,1.75,2.05
35,Stuttgart,Mercedes Cup,12/06/17,ATP250,Outdoor,Grass,1st Round,3,Hanfmann Y.,Fucsovics M.,187,145,285,391,6,3,7,5,,,,,,,2,0,Completed,2,1.72,1.95,1.75,2,1.8,2.05,1.85,2.2,1.85,2.01,1.78
35,Stuttgart,Mercedes Cup,12/06/17,ATP250,Outdoor,Grass,1st Round,3,Zverev M.,Jaziri M.,31,73,1301,706,6,3,6,1,,,,,,,2,0,Completed,1.28,3.5,1.27,3.45,1.3,3.5,1.31,3.74,1.31,3.95,1.28,3.64
35,Stuttgart,Mercedes Cup,13/06/17,ATP250,Outdoor,Grass,1st Round,3,Gojowczyk P.,Basilashvili N.,146,55,388,866,2,6,6,3,6,1,,,,,2,1,Completed,1.61,2.2,1.62,2.15,1.73,2.1,1.68,2.3,1.73,2.31,1.66,2.2
35,Stuttgart,Mercedes Cup,13/06/17,ATP250,Outdoor,Grass,1st Round,3,Paire B.,Troicki V.,49,40,915,1000,6,4,6,4,,,,,,,2,0,Completed,2.5,1.5,2.4,1.5,2.5,1.53,2.62,1.54,2.62,1.57,2.47,1.53
35,Stuttgart,Mercedes Cup,13/06/17,ATP250,Outdoor,Grass,1st Round,3,Janowicz J.,Kuznetsov An.,155,79,355,670,6,4,3,6,6,3,,,,,2,1,Completed,2.1,1.66,2,1.72,2.2,1.67,2.02,1.87,2.2,1.87,2.11,1.72
35,Stuttgart,Mercedes Cup,13/06/17,ATP250,Outdoor,Grass,1st Round,3,Lopez F.,Simon G.,33,34,1115,1095,6,3,6,3,,,,,,,2,0,Completed,1.5,2.5,1.47,2.5,1.5,2.62,1.48,2.82,1.53,2.82,1.48,2.61
35,Stuttgart,Mercedes Cup,13/06/17,ATP250,Outdoor,Grass,1st Round,3,Kohlschreiber P.,Baghdatis M.,52,63,885,790,6,1,,,,,,,,,1,0,Retired,1.33,3.25,1.28,3.35,1.33,3.4,1.32,3.7,1.35,3.75,1.31,3.41
35,Stuttgart,Mercedes Cup,13/06/17,ATP250,Outdoor,Grass,1st Round,3,Haas T.,Herbert P.H.,302,75,160,697,6,3,4,6,7,5,,,,,2,1,Completed,1.83,1.83,1.85,1.85,1.91,1.91,1.93,1.96,1.93,2.05,1.85,1.93
