WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,MaxW,MaxL,AvgW,AvgL
21,Stuttgart,Porsche Tennis Grand Prix,25/04/17,Premier,Outdoor,Clay,1st Round,3,Strycova B.,Brady J.,17,76,2130,779,6,2,6,2,,,2,0,Completed,1.36,3,1.35,2.95,,,1.4,3.19,1.4,3.38,1.36,3.1
21,Stuttgart,Porsche Tennis Grand Prix,25/04/17,Premier,Outdoor,Clay,1st Round,3,Kontaveit A.,Konjuh A.,73,34,801,1507,7,6,6,4,,,2,0,Completed,1.57,2.25,1.57,2.25,,,1.56,2.56,1.62,2.56,1.56,2.39
21,Stuttgart,Porsche Tennis Grand Prix,25/04/17,Premier,Outdoor,Clay,1st Round,3,Sevastova A.,Stosur S.,26,18,1760,2120,6,1,4,6,6,3,2,1,Completed,2.2,1.61,2.2,1.6,,,2.39,1.64,2.4,1.67,2.26,1.62
21,Stuttgart,Porsche Tennis Grand Prix,25/04/17,Premier,Outdoor,Clay,1st Round,3,Kuznetsova S.,Bertens K.,9,20,4025,1988,6,3,5,7,6,3,2,1,Completed,1.53,2.37,1.5,2.4,,,1.59,2.49,1.62,2.6,1.55,2.42
21,Stuttgart,Porsche Tennis Grand Prix,25/04/17,Premier,Outdoor,Clay,1st Round,3,Siegemund L.,Zhang S.,49,32,1096,1510,6,2,7,6,,,2,0,Completed,1.28,3.5,1.3,3.2,,,1.39,3.22,1.4,3.63,1.33,3.27
21,Stuttgart,Porsche Tennis Grand Prix,25/04/17,Premier,Outdoor,Clay,1st Round,3,Makarova E.,Radwanska A.,43,8,1250,4205,6,2,6,4,,,2,0,Completed,3,1.36,2.85,1.37,,,3.22,1.39,3.25,1.44,2.97,1.38
21,Stuttgart,Porsche Tennis Grand Prix,26/04/17,Premier,Outdoor,Clay,1st Round,3,Suarez Navarro C.,Korpatsch T.,25,140,1775,397,6,2,6,4,,,2,0,Completed,1.16,5,1.16,4.6,,,1.2,5.11,1.2,5.15,1.18,4.78
21,Stuttgart,Porsche Tennis Grand Prix,26/04/17,Premier,Outdoor,Clay,1st Round,3,Vesnina E.,Kasatkina D.,14,29,2925,1630,7,6,6,2,,,2,0,Completed,2.62,1.44,2.55,1.45,,,2.8,1.49,2.9,1.53,2.68,1.45
21,Stuttgart,Porsche Tennis Grand Prix,26/04/17,Premier,Outdoor,Clay,1st Round,3,Konta J.,Osaka N.,7,46,4330,1113,7,6,3,6,6,1,2,1,Completed,1.44,2.62,1.4,2.75,,,1.45,2.94,1.48,3,1.43,2.74
21,Stuttgart,Porsche Tennis Grand Prix,26/04/17,Premier,Outdoor,Clay,1st Round,3,Mladenovic K.,Lucic-Baroni M.,19,21,2080,1924,6,4,6,2,,,2,0,Completed,1.83,1.83,1.85,1.85,,,1.88,2.01,2,2.01,1.89,1.89
