ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL
5,Sydney,Apia International,09/01/12,ATP250,Outdoor,Hard,1st Round,3,Sweeting R.,Muller G.,72,54,690,853,3,6,7,6,7,5,,,,,2,1,Completed,,,,,,,,,,,5.25,1.14,5.25,1.14
5,Sydney,Apia International,09/01/12,ATP250,Outdoor,Hard,1st Round,3,Kubot L.,Dodig I.,58,36,808,1065,7,6,7,5,,,,,,,2,0,Completed,2.2,1.61,2.15,1.65,2.1,1.67,2.3,1.68,2.25,1.57,2.33,1.71,2.19,1.63
5,Sydney,Apia International,09/01/12,ATP250,Outdoor,Hard,1st Round,3,Istomin D.,Andujar P.,67,44,710,920,6,3,2,6,6,3,,,,,2,1,Completed,1.25,3.75,1.3,3.3,1.3,3.4,1.27,4.12,1.29,3.25,1.35,4.14,1.28,3.57
5,Sydney,Apia International,09/01/12,ATP250,Outdoor,Hard,1st Round,3,Nieminen J.,Duckworth J.,77,251,666,191,6,2,6,2,,,,,,,2,0,Completed,1.18,4.5,1.16,4.75,1.2,4.33,1.2,5.11,1.2,4,1.22,5.37,1.19,4.54
5,Sydney,Apia International,09/01/12,ATP250,Outdoor,Hard,1st Round,3,Reynolds B.,Stakhovsky S.,126,61,459,780,7,5,6,3,,,,,,,2,0,Completed,3,1.36,2.8,1.4,2.62,1.44,3.04,1.43,2.63,1.44,3.05,1.5,2.85,1.42
5,Sydney,Apia International,09/01/12,ATP250,Outdoor,Hard,1st Round,3,Ebden M.,Granollers M.,97,28,578,1335,6,1,3,6,6,3,,,,,2,1,Completed,1.72,2,1.85,1.9,1.83,1.83,1.81,2.09,1.8,2,1.88,2.1,1.79,1.96
5,Sydney,Apia International,10/01/12,ATP250,Outdoor,Hard,1st Round,3,Benneteau J.,Seppi A.,49,39,900,1015,6,3,6,4,,,,,,,2,0,Completed,2.25,1.57,2.15,1.65,2.2,1.62,2.21,1.74,2.25,1.57,2.25,1.78,2.16,1.65
5,Sydney,Apia International,10/01/12,ATP250,Outdoor,Hard,1st Round,3,Fognini F.,Russell M.,46,98,915,578,2,6,6,2,6,0,,,,,2,1,Completed,3,1.36,2.8,1.4,3,1.36,2.91,1.46,2.75,1.4,3.25,1.46,2.88,1.39
5,Sydney,Apia International,10/01/12,ATP250,Outdoor,Hard,1st Round,3,Stepanek R.,Malisse X.,31,63,1230,760,6,7,6,4,6,4,,,,,2,1,Completed,1.38,2.87,1.4,2.8,1.44,2.62,1.47,2.89,1.5,2.5,1.5,3,1.42,2.76
5,Sydney,Apia International,10/01/12,ATP250,Outdoor,Hard,1st Round,3,Bogomolov A.,Haase R.,34,52,1135,881,6,4,1,6,6,4,,,,,2,1,Completed,2.62,1.44,2.5,1.5,2.5,1.5,2.46,1.61,2.38,1.53,2.74,1.61,2.53,1.49
5,Sydney,Apia International,10/01/12,ATP250,Outdoor,Hard,1st Round,3,Baghdatis M.,Tursunov D.,43,41,940,988,6,4,6,4,,,,,,,2,0,Completed,1.25,3.75,1.25,3.75,1.3,3.4,1.24,4.52,1.29,3.25,1.3,4.58,1.26,3.78
5,Sydney,Apia International,10/01/12,ATP250,Outdoor,Hard,1st Round,3,Troicki V.,Hewitt L.,21,182,1655,265,4,6,6,3,6,2,,,,,2,1,Completed,1.5,2.5,1.45,2.65,1.5,2.5,1.54,2.64,1.53,2.5,1.63,2.65,1.51,2.47
5,Sydney,Apia International,11/01/12,ATP250,Outdoor,Hard,2nd Round,3,Reynolds B.,Isner J.,126,17,459,1800,3,6,6,4,6,3,,,,,2,1,Completed,5,1.16,4.5,1.18,4.33,1.2,5.08,1.21,5,1.14,5.44,1.22,4.61,1.18
5,Sydney,Apia International,11/01/12,ATP250,Outdoor,Hard,2nd Round,3,Del Potro J.M.,Kubot L.,11,58,2315,808,6,4,6,2,,,,,,,2,0,Completed,1.08,8,1.1,6.5,1.07,7.5,1.1,8.52,1.07,7,1.15,8.55,1.09,6.96
5,Sydney,Apia International,11/01/12,ATP250,Outdoor,Hard,2nd Round,3,Istomin D.,Sweeting R.,67,72,710,690,6,2,6,1,,,,,,,2,0,Completed,1.53,2.37,1.6,2.25,1.57,2.25,1.63,2.45,1.57,2.25,1.68,2.45,1.59,2.27
5,Sydney,Apia International,11/01/12,ATP250,Outdoor,Hard,2nd Round,3,Nieminen J.,Stepanek R.,77,31,666,1230,7,6,5,7,6,1,,,,,2,1,Completed,2.1,1.66,2.15,1.65,2.25,1.57,2.19,1.77,2.25,1.57,2.25,1.77,2.16,1.65
5,Sydney,Apia International,11/01/12,ATP250,Outdoor,Hard,2nd Round,3,Gasquet R.,Fognini F.,18,46,1765,915,6,2,6,1,,,,,,,2,0,Completed,1.1,7,1.11,6,1.12,5.5,1.13,7.07,1.14,5,1.15,7.15,1.11,6.04
5,Sydney,Apia International,11/01/12,ATP250,Outdoor,Hard,2nd Round,3,Baghdatis M.,Ebden M.,43,97,940,578,3,6,7,5,7,6,,,,,2,1,Completed,1.33,3.25,1.33,3.15,1.3,3.4,1.38,3.32,1.29,3.25,1.38,3.41,1.33,3.2
5,Sydney,Apia International,11/01/12,ATP250,Outdoor,Hard,2nd Round,3,Benneteau J.,Lopez F.,49,19,900,1755,6,3,6,4,,,,,,,2,0,Completed,1.57,2.25,1.7,2.05,1.67,2.1,1.63,2.45,1.62,2.2,1.7,2.53,1.64,2.2
5,Sydney,Apia International,11/01/12,ATP250,Outdoor,Hard,2nd Round,3,Bogomolov A.,Troicki V.,34,21,1135,1655,7,6,6,4,,,,,,,2,0,Completed,2.75,1.4,2.65,1.45,2.62,1.44,2.8,1.5,2.75,1.4,2.85,1.51,2.7,1.43
5,Sydney,Apia International,12/01/12,ATP250,Outdoor,Hard,Quarterfinals,3,Istomin D.,Gasquet R.,67,18,710,1765,6,4,7,6,,,,,,,2,0,Completed,4.5,1.18,4,1.22,4.33,1.2,4.64,1.24,4,1.22,4.85,1.25,4.15,1.21
5,Sydney,Apia International,12/01/12,ATP250,Outdoor,Hard,Quarterfinals,3,Nieminen J.,Reynolds B.,77,126,666,459,6,3,6,3,,,,,,,2,0,Completed,1.4,2.75,1.45,2.65,1.44,2.62,1.46,2.97,1.44,2.75,1.5,3.05,1.44,2.7
5,Sydney,Apia International,12/01/12,ATP250,Outdoor,Hard,Quarterfinals,3,Baghdatis M.,Del Potro J.M.,43,11,940,2315,7,6,6,4,,,,,,,2,0,Completed,3.5,1.28,3.3,1.3,3.5,1.29,3.67,1.34,3.5,1.29,3.67,1.35,3.33,1.31
5,Sydney,Apia International,12/01/12,ATP250,Outdoor,Hard,Quarterfinals,3,Benneteau J.,Bogomolov A.,49,34,900,1135,6,2,6,4,,,,,,,2,0,Completed,1.5,2.5,1.55,2.35,1.62,2.2,1.64,2.45,1.29,3.5,1.65,3.5,1.54,2.4
5,Sydney,Apia International,13/01/12,ATP250,Outdoor,Hard,Semifinals,3,Nieminen J.,Istomin D.,77,67,666,710,7,6,6,3,,,,,,,2,0,Completed,1.57,2.25,1.65,2.15,1.62,2.2,1.71,2.3,1.62,2.25,1.95,2.3,1.67,2.14
5,Sydney,Apia International,13/01/12,ATP250,Outdoor,Hard,Semifinals,3,Benneteau J.,Baghdatis M.,49,43,900,940,6,4,6,4,,,,,,,2,0,Completed,2.62,1.44,2.35,1.55,2.38,1.53,2.53,1.6,2.5,1.53,2.62,1.61,2.44,1.53
5,Sydney,Apia International,15/01/12,ATP250,Outdoor,Hard,The Final,3,Nieminen J.,Benneteau J.,77,49,666,900,6,2,7,5,,,,,,,2,0,Completed,2.2,1.66,2.05,1.72,2.1,1.73,2.24,1.75,2,1.8,2.3,1.8,2.12,1.69
