WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,MaxW,MaxL,AvgW,AvgL
5,Sydney,Apai International,10/01/16,Premier,Outdoor,Hard,1st Round,3,Pironkova T.,Tsurenko L.,61,33,936,1422,7,6,6,2,,,2,0,Completed,2.1,1.66,2.1,1.68,2.1,1.73,2.07,1.83,2.25,1.83,2.08,1.73
5,Sydney,Apai International,10/01/16,Premier,Outdoor,Hard,1st Round,3,Schmiedlova A.,Bacsinszky T.,29,13,1875,2954,1,6,6,1,6,3,2,1,Completed,2.37,1.53,2.3,1.6,2.25,1.62,2.28,1.69,2.38,1.69,2.24,1.63
5,Sydney,Apai International,10/01/16,Premier,Outdoor,Hard,1st Round,3,Kuznetsova S.,Patterson T.,25,462,2035,64,6,2,6,0,,,2,0,Completed,1.01,17,1.02,11.5,1.02,17,1.03,18.69,1.03,20,1.02,14.04
5,Sydney,Apai International,10/01/16,Premier,Outdoor,Hard,1st Round,3,Jankovic J.,Vandeweghe C.,21,41,2445,1188,6,3,6,4,,,2,0,Completed,1.5,2.5,1.5,2.5,1.53,2.5,1.6,2.48,1.63,2.62,1.55,2.41
5,Sydney,Apai International,10/01/16,Premier,Outdoor,Hard,1st Round,3,Garcia C.,Mladenovic K.,34,30,1420,1725,7,6,6,4,,,2,0,Completed,1.5,2.5,1.52,2.45,1.57,2.38,1.63,2.41,1.63,2.5,1.56,2.37
5,Sydney,Apai International,10/01/16,Premier,Outdoor,Hard,1st Round,3,Pliskova Ka.,Ivanovic A.,11,22,3285,2341,6,4,6,2,,,2,0,Completed,1.83,1.83,1.88,1.88,1.91,1.91,2.05,1.85,2.05,1.95,1.91,1.86
5,Sydney,Apai International,11/01/16,Premier,Outdoor,Hard,1st Round,3,Kerber A.,Svitolina E.,7,20,3710,2465,4,6,6,0,6,3,2,1,Completed,1.4,2.75,1.4,2.8,1.44,2.75,1.46,2.9,1.47,3.05,1.42,2.8
5,Sydney,Apai International,11/01/16,Premier,Outdoor,Hard,1st Round,3,Makarova E.,Hradecka L.,23,57,2255,971,6,2,6,1,,,2,0,Completed,1.22,4,1.2,4,1.25,4,1.24,4.48,1.26,4.48,1.23,4.02
5,Sydney,Apai International,11/01/16,Premier,Outdoor,Hard,1st Round,3,Pavlyuchenkova A.,Arruabarrena L.,28,89,1880,718,6,1,7,6,,,2,0,Completed,1.2,4.33,1.22,3.75,1.25,4,1.26,4.21,1.27,4.33,1.24,3.99
5,Sydney,Apai International,11/01/16,Premier,Outdoor,Hard,1st Round,3,Errani S.,Suarez Navarro C.,19,12,2525,3175,6,3,6,3,,,2,0,Completed,2.37,1.53,2.3,1.6,2.25,1.62,2.44,1.61,2.44,1.67,2.33,1.58
5,Sydney,Apai International,11/01/16,Premier,Outdoor,Hard,1st Round,3,Lisicki S.,Hercog P.,32,73,1568,835,6,4,6,3,,,2,0,Completed,1.57,2.25,1.62,2.2,1.67,2.2,1.65,2.36,1.73,2.36,1.64,2.21
5,Sydney,Apai International,11/01/16,Premier,Outdoor,Hard,1st Round,3,Stosur S.,Vinci R.,27,15,1890,2855,4,6,7,5,7,5,2,1,Completed,2.37,1.53,2.2,1.62,2.38,1.57,2.43,1.62,2.43,1.65,2.31,1.6
5,Sydney,Apai International,11/01/16,Premier,Outdoor,Hard,1st Round,3,Puig M.,Rybarikova M.,94,77,690,794,6,2,3,6,6,4,2,1,Completed,1.72,2,,,,,1.83,2.07,1.91,2.07,1.82,1.99
5,Sydney,Apai International,11/01/16,Premier,Outdoor,Hard,1st Round,3,Bencic B.,Lucic M.,14,69,2900,860,7,6,1,6,6,4,2,1,Completed,1.3,3.4,1.28,3.4,1.29,3.75,1.31,3.74,1.33,3.8,1.29,3.58
5,Sydney,Apai International,12/01/16,Premier,Outdoor,Hard,2nd Round,3,Makarova E.,Kerber A.,23,7,2255,3710,,,,,,,,,Walkover,2.75,1.4,2.9,1.4,3,1.4,3.03,1.44,3.25,1.44,2.92,1.39
5,Sydney,Apai International,12/01/16,Premier,Outdoor,Hard,2nd Round,3,Errani S.,Jankovic J.,19,21,2525,2445,7,6,7,6,,,2,0,Completed,2.25,1.57,2.25,1.62,2.25,1.62,2.36,1.67,2.36,1.73,2.23,1.64
5,Sydney,Apai International,12/01/16,Premier,Outdoor,Hard,2nd Round,3,Puig M.,Schmiedlova A.,94,29,690,1875,6,1,6,0,,,2,0,Completed,2.25,1.57,2.3,1.58,2.25,1.62,2.21,1.75,2.3,1.75,2.2,1.65
5,Sydney,Apai International,12/01/16,Premier,Outdoor,Hard,2nd Round,3,Kuznetsova S.,Lisicki S.,25,32,2035,1568,6,3,3,6,6,2,2,1,Completed,1.72,2,1.75,2,1.8,2,1.81,2.12,1.86,2.14,1.77,2.03
5,Sydney,Apai International,12/01/16,Premier,Outdoor,Hard,2nd Round,3,Bencic B.,Pironkova T.,14,61,2900,936,6,3,6,3,,,2,0,Completed,1.36,3,1.4,2.9,1.4,3,1.43,3.05,1.47,3.05,1.4,2.89
5,Sydney,Apai International,12/01/16,Premier,Outdoor,Hard,2nd Round,3,Pliskova Ka.,Pavlyuchenkova A.,11,28,3285,1880,6,3,6,0,,,2,0,Completed,1.5,2.5,1.52,2.4,1.53,2.5,1.71,2.28,1.71,2.75,1.53,2.47
5,Sydney,Apai International,12/01/16,Premier,Outdoor,Hard,2nd Round,3,Stosur S.,Hantuchova D.,27,88,1890,724,6,4,6,2,,,2,0,Completed,1.36,3,1.33,3.1,1.4,3,1.42,3.12,1.45,3.12,1.38,2.96
5,Sydney,Apai International,12/01/16,Premier,Outdoor,Hard,2nd Round,3,Halep S.,Garcia C.,2,34,5880,1420,6,4,2,6,6,1,2,1,Completed,1.61,2.2,1.55,2.35,1.57,2.38,1.73,2.24,1.73,2.38,1.66,2.2
5,Sydney,Apai International,13/01/16,Premier,Outdoor,Hard,Quarterfinals,3,Kuznetsova S.,Errani S.,25,19,2035,2525,7,6,6,0,,,2,0,Completed,1.61,2.2,1.7,2.1,1.62,2.25,1.73,2.26,1.74,2.3,1.66,2.2
5,Sydney,Apai International,13/01/16,Premier,Outdoor,Hard,Quarterfinals,3,Halep S.,Pliskova Ka.,2,11,5880,3285,6,4,7,5,,,2,0,Completed,1.72,2,1.82,1.9,1.73,2.1,1.95,1.97,1.95,2.1,1.81,1.97
5,Sydney,Apai International,13/01/16,Premier,Outdoor,Hard,Quarterfinals,3,Puig M.,Stosur S.,94,27,690,1890,6,4,6,4,,,2,0,Completed,2.5,1.5,2.55,1.48,2.5,1.53,2.65,1.56,2.67,1.57,2.55,1.5
5,Sydney,Apai International,13/01/16,Premier,Outdoor,Hard,Quarterfinals,3,Bencic B.,Makarova E.,14,23,2900,2255,6,0,2,6,6,4,2,1,Completed,1.66,2.1,1.7,2.1,1.73,2.1,1.83,2.11,1.83,2.15,1.72,2.09
5,Sydney,Apai International,15/01/16,Premier,Outdoor,Hard,Semifinals,3,Puig M.,Bencic B.,94,14,690,2900,6,0,,,,,1,0,Retired,2.75,1.44,2.7,1.42,2.75,1.44,2.81,1.51,2.85,1.51,2.73,1.44
5,Sydney,Apai International,15/01/16,Premier,Outdoor,Hard,Semifinals,3,Kuznetsova S.,Halep S.,25,2,2035,5880,7,6,4,6,6,3,2,1,Completed,2.75,1.44,2.7,1.45,2.75,1.44,2.85,1.5,2.9,1.5,2.7,1.45
5,Sydney,Apai International,15/01/16,Premier,Outdoor,Hard,The Final,3,Kuznetsova S.,Puig M.,25,94,2035,690,6,0,6,2,,,2,0,Completed,1.57,2.37,1.65,2.15,1.6,2.25,1.65,2.42,1.73,2.42,1.61,2.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
