ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,MaxW,MaxL,AvgW,AvgL
5,Sydney,Apia International,08/01/17,ATP250,Outdoor,Hard,1st Round,3,Mahut N.,Bellucci T.,38,62,1122,771,6,2,7,6,,,,,,,2,0,Completed,1.61,2.2,1.62,2.05,1.67,2.2,1.68,2.31,1.71,2.31,1.65,2.19
5,Sydney,Apia International,09/01/17,ATP250,Outdoor,Hard,1st Round,3,Barton M.,Edmund K.,198,45,282,989,7,6,7,6,,,,,,,2,0,Completed,3.5,1.28,3.5,1.22,3.75,1.29,3.75,1.31,4,1.34,3.57,1.28
5,Sydney,Apia International,09/01/17,ATP250,Outdoor,Hard,1st Round,3,Evans D.,Monteiro T.,67,83,736,660,6,3,4,6,6,3,,,,,2,1,Completed,1.36,3,1.38,2.6,1.4,3,1.5,2.77,1.5,3,1.43,2.78
5,Sydney,Apia International,09/01/17,ATP250,Outdoor,Hard,1st Round,3,Elias G.,O'Connell C.,81,238,675,217,6,7,6,4,6,1,,,,,2,1,Completed,1.57,2.25,1.6,2.1,1.57,2.38,1.76,2.17,1.76,2.4,1.63,2.25
5,Sydney,Apia International,09/01/17,ATP250,Outdoor,Hard,1st Round,3,Lorenzi P.,Mayer F.,41,49,1090,903,7,6,4,6,7,6,,,,,2,1,Completed,2.1,1.66,1.95,1.7,2.1,1.73,2.09,1.81,2.15,1.85,2.05,1.75
5,Sydney,Apia International,09/01/17,ATP250,Outdoor,Hard,1st Round,3,Kohlschreiber P.,Fognini F.,32,47,1325,945,6,4,6,4,,,,,,,2,0,Completed,1.53,2.37,1.6,2.1,1.62,2.25,1.61,2.46,1.65,2.46,1.58,2.32
5,Sydney,Apia International,10/01/17,ATP250,Outdoor,Hard,1st Round,3,De Minaur A.,Paire B.,333,46,144,960,6,3,3,6,7,6,,,,,2,1,Completed,2.37,1.53,2.3,1.48,2.5,1.53,2.6,1.55,2.6,1.63,2.43,1.54
5,Sydney,Apia International,10/01/17,ATP250,Outdoor,Hard,1st Round,3,Kuznetsov An.,Klizan M.,48,35,935,1230,2,6,6,1,3,0,,,,,1,1,Retired,1.4,2.75,1.38,2.6,1.44,2.75,1.44,2.98,1.48,2.98,1.43,2.75
5,Sydney,Apia International,10/01/17,ATP250,Outdoor,Hard,1st Round,3,Zverev M.,Almagro N.,50,43,884,1040,6,4,6,2,,,,,,,2,0,Completed,1.72,2,1.75,1.85,1.91,1.91,1.84,2.06,1.91,2.06,1.83,1.94
5,Sydney,Apia International,10/01/17,ATP250,Outdoor,Hard,1st Round,3,Muller G.,Dolgopolov O.,34,63,1255,760,3,6,6,3,7,5,,,,,2,1,Completed,1.53,2.37,1.55,2.1,1.62,2.25,1.54,2.62,1.65,2.63,1.57,2.37
5,Sydney,Apia International,10/01/17,ATP250,Outdoor,Hard,1st Round,3,Granollers M.,Giraldo S.,37,90,1136,632,6,7,7,5,6,3,,,,,2,1,Completed,1.57,2.25,1.58,2.1,1.57,2.38,1.68,2.31,1.68,2.38,1.62,2.25
5,Sydney,Apia International,10/01/17,ATP250,Outdoor,Hard,1st Round,3,Thompson J.,Basilashvili N.,75,94,699,624,7,5,6,2,,,,,,,2,0,Completed,,,1.48,2.35,,,1.53,2.67,1.62,2.7,1.5,2.53
5,Sydney,Apia International,11/01/17,ATP250,Outdoor,Hard,2nd Round,3,Cuevas P.,Mahut N.,22,38,1780,1122,6,4,2,6,6,2,,,,,2,1,Completed,2.1,1.66,2.1,1.6,2.2,1.67,2.39,1.65,2.39,1.7,2.23,1.64
5,Sydney,Apia International,11/01/17,ATP250,Outdoor,Hard,2nd Round,3,Muller G.,Barton M.,34,198,1255,282,6,1,3,6,6,4,,,,,2,1,Completed,1.28,3.5,1.28,3.1,1.3,3.5,1.33,3.64,1.33,3.7,1.3,3.43
5,Sydney,Apia International,11/01/17,ATP250,Outdoor,Hard,2nd Round,3,Carreno Busta P.,Zverev M.,30,50,1370,884,3,6,7,6,6,3,,,,,2,1,Completed,1.8,1.9,1.82,1.82,1.85,1.85,2.07,1.85,2.1,1.91,1.94,1.83
5,Sydney,Apia International,11/01/17,ATP250,Outdoor,Hard,2nd Round,3,Kohlschreiber P.,Thompson J.,32,75,1325,699,7,5,6,4,,,,,,,2,0,Completed,1.44,2.62,1.45,2.4,1.5,2.62,1.6,2.52,1.6,2.62,1.52,2.5
5,Sydney,Apia International,11/01/17,ATP250,Outdoor,Hard,2nd Round,3,Evans D.,Granollers M.,67,37,736,1136,1,6,6,3,6,3,,,,,2,1,Completed,2,1.72,1.95,1.7,2,1.8,1.98,1.93,2.1,1.93,1.99,1.8
5,Sydney,Apia International,11/01/17,ATP250,Outdoor,Hard,2nd Round,3,Troicki V.,Lorenzi P.,29,41,1385,1090,6,3,6,4,,,,,,,2,0,Completed,1.33,3.25,1.28,3,1.36,3.25,1.34,3.61,1.38,3.61,1.33,3.27
5,Sydney,Apia International,11/01/17,ATP250,Outdoor,Hard,2nd Round,3,Kuznetsov An.,De Minaur A.,48,333,935,144,6,2,,,,,,,,,1,0,Retired,1.3,3.4,1.3,3,1.3,3.25,1.34,3.56,1.38,3.56,1.32,3.27
5,Sydney,Apia International,11/01/17,ATP250,Outdoor,Hard,2nd Round,3,Thiem D.,Elias G.,8,81,3415,675,6,7,6,3,7,5,,,,,2,1,Completed,1.12,6,1.12,4.8,1.14,5.5,1.16,6.27,1.17,6.27,1.14,5.53
5,Sydney,Apia International,12/01/17,ATP250,Outdoor,Hard,Quarterfinals,3,Muller G.,Cuevas P.,34,22,1255,1780,7,6,6,4,,,,,,,2,0,Completed,1.57,2.25,1.5,2.3,1.57,2.38,1.65,2.42,1.7,2.42,1.62,2.27
5,Sydney,Apia International,12/01/17,ATP250,Outdoor,Hard,Quarterfinals,3,Troicki V.,Kohlschreiber P.,29,32,1385,1325,,,,,,,,,,,,,Walkover,1.72,2,1.65,1.95,1.8,2,1.79,2.17,1.8,2.2,1.75,2.05
5,Sydney,Apia International,12/01/17,ATP250,Outdoor,Hard,Quarterfinals,3,Kuznetsov An.,Carreno Busta P.,48,30,935,1370,2,6,6,4,6,1,,,,,2,1,Completed,2,1.72,1.95,1.7,2.1,1.67,2.13,1.82,2.15,1.83,2.05,1.76
5,Sydney,Apia International,12/01/17,ATP250,Outdoor,Hard,Quarterfinals,3,Evans D.,Thiem D.,67,8,736,3415,3,6,6,4,6,1,,,,,2,1,Completed,3.75,1.25,3.75,1.18,4,1.22,3.8,1.32,4.33,1.32,3.87,1.25
5,Sydney,Apia International,13/01/17,ATP250,Outdoor,Hard,Semifinals,3,Muller G.,Troicki V.,34,29,1255,1385,6,3,7,6,,,,,,,2,0,Completed,2.3,1.61,2.2,1.52,2.25,1.62,2.27,1.72,2.39,1.72,2.26,1.63
5,Sydney,Apia International,13/01/17,ATP250,Outdoor,Hard,Semifinals,3,Evans D.,Kuznetsov An.,67,48,736,935,6,2,3,6,6,3,,,,,2,1,Completed,2.5,1.53,2.25,1.52,2.38,1.57,2.48,1.62,2.55,1.62,2.39,1.57
5,Sydney,Apia International,14/01/17,ATP250,Outdoor,Hard,The Final,3,Muller G.,Evans D.,34,67,1255,736,7,6,6,2,,,,,,,2,0,Completed,1.5,2.62,1.5,2.3,1.57,2.38,1.52,2.76,1.57,2.8,1.52,2.54
