WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,MaxW,MaxL,AvgW,AvgL
50,Tashkent,Tashkent Open,25/09/17,International,Outdoor,Hard,1st Round,3,Vondrousova M.,Eguchi M.,63,488,906,61,6,1,6,1,,,2,0,Completed,1.12,6,1.11,5.6,1.12,6,1.14,6.69,1.15,6.97,1.12,6.03
50,Tashkent,Tashkent Open,25/09/17,International,Outdoor,Hard,1st Round,3,Parmentier P.,Ozaki R.,100,91,631,688,6,2,6,4,,,2,0,Completed,1.57,2.25,1.57,2.25,1.61,2.25,1.64,2.39,1.68,2.39,1.61,2.28
50,Tashkent,Tashkent Open,25/09/17,International,Outdoor,Hard,1st Round,3,Voegele S.,Sharipova S.,196,173,282,336,6,1,6,3,,,2,0,Completed,2,1.72,1.95,1.75,2,1.8,2.08,1.83,2.12,1.83,2.02,1.77
50,Tashkent,Tashkent Open,25/09/17,International,Outdoor,Hard,1st Round,3,Kozlova K.,Amanmuradova A.,71,349,798,117,6,1,6,0,,,2,0,Completed,1.06,10,1.05,7.75,1.07,8,1.08,9.94,1.08,10.04,1.06,8.79
50,Tashkent,Tashkent Open,25/09/17,International,Outdoor,Hard,1st Round,3,Alexandrova E.,Cabrera L.,69,136,813,432,7,6,6,2,,,2,0,Completed,1.44,2.62,1.42,2.65,1.44,2.75,1.52,2.7,1.53,2.76,1.47,2.65
50,Tashkent,Tashkent Open,25/09/17,International,Outdoor,Hard,1st Round,3,Bondarenko K.,Blinkova A.,133,131,443,468,6,3,6,2,,,2,0,Completed,1.72,2,1.72,2,1.8,2,1.83,2.07,1.83,2.18,1.76,2.03
50,Tashkent,Tashkent Open,25/09/17,International,Outdoor,Hard,1st Round,3,Zvonareva V.,Begu I.,308,54,151,1078,2,6,6,2,6,4,2,1,Completed,2.1,1.66,2.1,1.65,2.2,1.67,2.16,1.77,2.2,1.77,2.11,1.71
50,Tashkent,Tashkent Open,25/09/17,International,Outdoor,Hard,1st Round,3,Allertova D.,Fett J.,90,101,690,623,6,2,3,6,6,3,2,1,Completed,2.1,1.66,2,1.72,2.1,1.73,2.14,1.78,2.15,1.79,2.07,1.74
50,Tashkent,Tashkent Open,26/09/17,International,Outdoor,Hard,1st Round,3,Nara K.,Abduraimova N.,109,282,585,180,6,1,6,1,,,2,0,Completed,1.36,3,1.35,2.95,1.4,3,1.38,3.26,1.4,3.35,1.36,3.08
50,Tashkent,Tashkent Open,26/09/17,International,Outdoor,Hard,1st Round,3,Maria T.,Diatchenko V.,53,201,1094,268,6,3,6,1,,,2,0,Completed,1.4,2.75,1.42,2.65,1.44,2.75,1.53,2.67,1.53,2.78,1.46,2.67
50,Tashkent,Tashkent Open,26/09/17,International,Outdoor,Hard,1st Round,3,Cepelova J.,Martincova T.,113,144,543,415,2,6,6,0,6,2,2,1,Completed,1.25,3.75,1.27,3.45,1.3,3.5,1.32,3.7,1.33,3.8,1.28,3.58
50,Tashkent,Tashkent Open,26/09/17,International,Outdoor,Hard,1st Round,3,Pliskova Kr.,Hsieh S.W.,41,95,1253,651,7,6,6,7,6,4,2,1,Completed,1.53,2.37,1.5,2.4,1.57,2.37,1.6,2.48,1.6,2.6,1.55,2.42
50,Tashkent,Tashkent Open,26/09/17,International,Outdoor,Hard,1st Round,3,Sabalenka A.,Rodina E.,119,84,505,752,6,2,6,2,,,2,0,Completed,2,1.72,1.95,1.75,2,1.8,1.96,1.93,2.2,1.95,2,1.79
50,Tashkent,Tashkent Open,26/09/17,International,Outdoor,Hard,1st Round,3,Hibino N.,Khromacheva I.,68,158,834,362,6,3,6,2,,,2,0,Completed,1.57,2.25,1.55,2.3,1.57,2.37,1.61,2.44,1.63,2.56,1.58,2.36
50,Tashkent,Tashkent Open,26/09/17,International,Outdoor,Hard,1st Round,3,Krunic A.,Hogenkamp R.,56,99,1049,632,7,6,6,0,,,2,0,Completed,1.33,3.25,1.3,3.2,1.36,3.25,1.36,3.43,1.36,3.5,1.32,3.32
50,Tashkent,Tashkent Open,26/09/17,International,Outdoor,Hard,1st Round,3,Babos T.,Larsson J.,52,89,1095,702,6,1,6,1,,,2,0,Completed,1.44,2.62,1.47,2.5,1.5,2.62,1.6,2.49,1.6,2.7,1.52,2.51
50,Tashkent,Tashkent Open,27/09/17,International,Outdoor,Hard,2nd Round,3,Zvonareva V.,Parmentier P.,308,100,151,631,6,2,6,0,,,2,0,Completed,1.66,2.1,1.65,2.1,1.73,2.1,1.72,2.25,1.77,2.25,1.69,2.14
