WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
54,Tianjin,Tianjin Open,07/10/2019,International,Outdoor,Hard,1st Round,3,Stosur S.,Yang Z.,91,649,655,41,7,5,2,6,6,2,2,1,Completed,1.16,5,1.24,4.55,1.25,7,1.18,4.78
54,Tianjin,Tianjin Open,07/10/2019,International,Outdoor,Hard,1st Round,3,Garcia C.,Potapova A.,31,88,1615,695,2,6,6,2,6,2,2,1,Completed,1.5,2.5,1.53,2.65,1.8,2.65,1.51,2.52
54,Tianjin,Tianjin Open,07/10/2019,International,Outdoor,Hard,1st Round,3,Putintseva Y.,Sharma A.,36,95,1455,634,6,1,1,6,7,5,2,1,Completed,1.28,3.5,1.32,3.68,1.33,3.74,1.3,3.45
54,Tianjin,Tianjin Open,07/10/2019,International,Outdoor,Hard,1st Round,3,Watson H.,Bondarenko K.,125,N/A,520,N/A,6,4,7,6,,,2,0,Completed,1.22,4,1.27,4.15,1.29,4.2,1.26,3.8
54,Tianjin,Tianjin Open,07/10/2019,International,Outdoor,Hard,1st Round,3,Peterson R.,Williams V.,59,51,1025,1078,6,3,4,6,6,3,2,1,Completed,1.83,1.83,1.91,1.98,1.94,1.98,1.88,1.9
54,Tianjin,Tianjin Open,07/10/2019,International,Outdoor,Hard,1st Round,3,Wang Yaf.,Davis L.,47,62,1185,990,6,0,6,4,,,2,0,Completed,1.61,2.2,1.7,2.27,1.71,2.29,1.67,2.18
54,Tianjin,Tianjin Open,08/10/2019,International,Outdoor,Hard,1st Round,3,Linette M.,Mchale C.,42,81,1290,741,6,3,6,1,,,2,0,Completed,1.53,2.37,1.66,2.35,1.68,2.55,1.57,2.37
54,Tianjin,Tianjin Open,08/10/2019,International,Outdoor,Hard,1st Round,3,Nara K.,Dart H.,159,133,376,493,3,6,6,1,6,3,2,1,Completed,1.53,2.37,1.61,2.46,1.63,2.55,1.57,2.39
54,Tianjin,Tianjin Open,08/10/2019,International,Outdoor,Hard,1st Round,3,Wang Xin.,Ma S.,155,224,388,263,6,3,6,1,,,2,0,Completed,,,,,1.4,2.98,1.4,2.98
54,Tianjin,Tianjin Open,08/10/2019,International,Outdoor,Hard,1st Round,3,Peng S.,You X.,96,225,620,263,6,2,7,6,,,2,0,Completed,1.16,5,1.21,4.91,1.22,5.05,1.19,4.65
