ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,EXW,EXL,PSW,PSL,UBW,UBL
58,Tokyo,Japan Open,02/10/06,International Gold,Outdoor,Hard,1st Round,3,Carlsen K.,Motomura G.,124,273,362,146,6,7,6,3,6,2,,,,,2,1,Completed,1.28,3.25,,,1.35,3.1,1.405,3.27,,
58,Tokyo,Japan Open,02/10/06,International Gold,Outdoor,Hard,1st Round,3,Massa E.,Economidis K.,240,122,163,365,6,1,6,3,,,,,,,2,0,Completed,,,1.6,2.3,,,1.658,2.42,,
58,Tokyo,Japan Open,02/10/06,International Gold,Outdoor,Hard,1st Round,3,Novak J.,Vik R.,130,85,341,472,4,6,6,4,6,4,,,,,2,1,Completed,1.39,2.75,1.48,2.6,,,1.457,2.99,,
58,Tokyo,Japan Open,02/10/06,International Gold,Outdoor,Hard,1st Round,3,Wang Y.T.,Kim K.,147,86,304,469,6,3,6,1,,,,,,,2,0,Completed,2.2,1.61,2.3,1.6,2.45,1.5,2.34,1.694,,
58,Tokyo,Japan Open,02/10/06,International Gold,Outdoor,Hard,1st Round,3,Dancevic F.,Daniel M.,88,113,460,390,6,4,6,4,,,,,,,2,0,Completed,1.36,3,1.4,2.85,1.45,2.6,1.448,3.03,,
58,Tokyo,Japan Open,02/10/06,International Gold,Outdoor,Hard,1st Round,3,Pless K.,de Voest R.,109,116,396,382,6,3,6,4,,,,,,,2,0,Completed,1.53,2.37,1.55,2.4,1.5,2.45,1.645,2.45,,
58,Tokyo,Japan Open,02/10/06,International Gold,Outdoor,Hard,1st Round,3,Suzuki T.,Greul S.,1078,83,6,493,6,2,6,2,,,,,,,2,0,Completed,4,1.19,4.1,1.22,,,,,,
58,Tokyo,Japan Open,02/10/06,International Gold,Outdoor,Hard,1st Round,3,Del Potro J.M.,Soeda G.,103,193,409,207,6,3,6,1,,,,,,,2,0,Completed,,,,,,,,,,
58,Tokyo,Japan Open,03/10/06,International Gold,Outdoor,Hard,1st Round,3,Iwabuchi S.,Chen T.,367,318,94,114,6,2,6,1,,,,,,,2,0,Completed,1.57,2.25,,,,,1.694,2.34,,
58,Tokyo,Japan Open,03/10/06,International Gold,Outdoor,Hard,1st Round,3,Koubek S.,Galvani S.,93,114,447,389,6,3,4,6,7,5,,,,,2,1,Completed,1.44,2.62,1.55,2.4,1.51,2.46,1.575,2.64,1.54,2.42
58,Tokyo,Japan Open,03/10/06,International Gold,Outdoor,Hard,1st Round,3,Lu Y.H.,Delgado R.,148,119,304,370,6,2,6,3,,,,,,,2,0,Completed,2.1,1.66,,,,,1.69,2.35,,
58,Tokyo,Japan Open,03/10/06,International Gold,Outdoor,Hard,1st Round,3,Udomchoke D.,Cilic M.,108,197,397,204,7,6,6,3,,,,,,,2,0,Completed,1.66,2.1,1.7,2.1,,,1.694,2.34,1.68,2.15
58,Tokyo,Japan Open,03/10/06,International Gold,Outdoor,Hard,1st Round,3,Troicki V.,Vicente F.,276,99,145,420,6,7,6,4,6,2,,,,,2,1,Completed,2.1,1.66,,,,,2.2,1.769,,
58,Tokyo,Japan Open,03/10/06,International Gold,Outdoor,Hard,1st Round,3,Schuettler R.,Berrer M.,92,150,449,299,6,2,6,1,,,,,,,2,0,Completed,2.1,1.66,2.1,1.7,,,2.23,1.752,2.1,1.7
58,Tokyo,Japan Open,03/10/06,International Gold,Outdoor,Hard,1st Round,3,Waske A.,Chaen T.,126,625,359,33,6,4,6,4,,,,,,,2,0,Completed,1.19,4,,,,,1.259,4.56,,
