WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,UBW,UBL
52,Tokyo,AIG Japan Open Tennis Championships,29/09/08,3,Outdoor,Hard,1st Round,3,Domachowska M.,Nakamura A.,56,165,554,188,6,4,7,5,,,2,0,Completed,1.4,2.75,1.4,2.85,1.44,2.62,1.461,2.97,1.45,2.67
52,Tokyo,AIG Japan Open Tennis Championships,29/09/08,3,Outdoor,Hard,1st Round,3,Morita A.,Erakovic M.,136,53,245,578,6,1,6,4,,,2,0,Completed,1.66,2.1,1.6,2.25,1.61,2.2,1.625,2.5,1.62,2.24
52,Tokyo,AIG Japan Open Tennis Championships,29/09/08,3,Outdoor,Hard,1st Round,3,Kanepi K.,Safarova L.,33,72,913,472,4,6,6,3,6,4,2,1,Completed,1.44,2.62,1.45,2.6,1.4,2.75,1.565,2.67,1.45,2.65
52,Tokyo,AIG Japan Open Tennis Championships,30/09/08,3,Outdoor,Hard,1st Round,3,Peer S.,Date Krumm K.,36,228,807,124,6,3,6,1,,,2,0,Completed,1.2,4.33,1.17,4.67,1.22,4,1.208,5.4,1.23,4
52,Tokyo,AIG Japan Open Tennis Championships,30/09/08,3,Outdoor,Hard,1st Round,3,Wickmayer Y.,Benesova I.,67,41,501,675,6,4,3,6,6,3,2,1,Completed,2,1.72,1.95,1.8,1.833,1.833,2.11,1.826,1.92,1.85
52,Tokyo,AIG Japan Open Tennis Championships,30/09/08,3,Outdoor,Hard,1st Round,3,Pin C.,Suarez Navarro C.,80,50,431,605,6,0,7,5,,,2,0,Completed,1.66,2.1,1.7,2.05,1.833,1.833,1.781,2.18,1.72,2.06
52,Tokyo,AIG Japan Open Tennis Championships,30/09/08,3,Outdoor,Hard,1st Round,3,Fujiwara R.,Cetkovska P.,150,85,213,406,7,6,6,4,,,2,0,Completed,1.9,1.8,1.95,1.7,,,2.11,1.826,2.02,1.75
52,Tokyo,AIG Japan Open Tennis Championships,30/09/08,3,Outdoor,Hard,1st Round,3,Wozniak A.,Craybas J.,38,66,757,507,7,5,6,7,6,3,2,1,Completed,1.53,2.37,1.6,2.3,1.533,2.375,1.645,2.45,1.6,2.28
52,Tokyo,AIG Japan Open Tennis Championships,30/09/08,3,Outdoor,Hard,1st Round,3,Wozniacki C.,Dulko G.,16,48,1483,621,4,6,6,0,6,3,2,1,Completed,1.12,5.5,1.15,5.2,1.143,5,1.171,6.35,1.14,5.4
52,Tokyo,AIG Japan Open Tennis Championships,30/09/08,3,Outdoor,Hard,1st Round,3,Fuda R.,Parmentier P.,N/A,45,N/A,635,7,5,6,2,,,2,0,Completed,5.5,1.12,4.67,1.17,,,,,4.6,1.18
52,Tokyo,AIG Japan Open Tennis Championships,30/09/08,3,Outdoor,Hard,1st Round,3,Gajdosova J.,Santangelo M.,178,179,169,168,6,4,7,6,,,2,0,Completed,2.1,1.66,2.08,1.7,,,2.06,1.862,2.04,1.74
52,Tokyo,AIG Japan Open Tennis Championships,30/09/08,3,Outdoor,Hard,1st Round,3,Tanasugarn T.,Dubois S.,37,113,777,315,6,1,6,3,,,2,0,Completed,1.44,2.62,1.4,2.85,,,1.478,2.89,1.47,2.6
52,Tokyo,AIG Japan Open Tennis Championships,30/09/08,3,Outdoor,Hard,1st Round,3,Pavlyuchenkova A.,Zheng J.,76,26,459,1040,6,1,6,2,,,2,0,Completed,5,1.14,4.25,1.2,4.333,1.2,4.95,1.23,4.3,1.2
52,Tokyo,AIG Japan Open Tennis Championships,30/09/08,3,Outdoor,Hard,1st Round,3,Zakopalova K.,Kirilenko M.,75,31,462,926,4,6,6,2,7,5,2,1,Completed,4.5,1.16,3.75,1.25,3.75,1.25,4.6,1.25,4,1.23
52,Tokyo,AIG Japan Open Tennis Championships,01/10/08,3,Outdoor,Hard,1st Round,3,Medina Garrigues A.,Chan Y.J.,28,58,1001,546,3,6,6,3,6,3,2,1,Completed,1.36,3,1.35,3.1,1.4,2.75,1.444,3.05,1.35,3.1
52,Tokyo,AIG Japan Open Tennis Championships,01/10/08,3,Outdoor,Hard,1st Round,3,Stosur S.,King V.,61,101,543,340,6,2,,,,,1,0,Retired,1.22,4,1.28,3.46,1.222,4,1.249,4.61,1.2,4.3
52,Tokyo,AIG Japan Open Tennis Championships,01/10/08,3,Outdoor,Hard,2nd Round,3,Tanasugarn T.,Pin C.,37,80,777,431,6,2,6,2,,,2,0,Completed,1.57,2.25,1.65,2.15,1.533,2.375,1.585,2.61,1.62,2.25
52,Tokyo,AIG Japan Open Tennis Championships,01/10/08,3,Outdoor,Hard,2nd Round,3,Kanepi K.,Wickmayer Y.,33,67,913,501,3,6,6,1,6,0,2,1,Completed,1.33,3.25,1.35,3.1,1.333,3.25,1.398,3.31,1.33,3.25
52,Tokyo,AIG Japan Open Tennis Championships,01/10/08,3,Outdoor,Hard,2nd Round,3,Gajdosova J.,Peer S.,178,36,169,807,5,7,6,1,7,6,2,1,Completed,3.5,1.28,3.4,1.3,3.75,1.25,3.83,1.319,3.55,1.28
52,Tokyo,AIG Japan Open Tennis Championships,02/10/08,3,Outdoor,Hard,2nd Round,3,Wozniacki C.,Morita A.,16,136,1483,245,6,2,6,1,,,2,0,Completed,1.16,4.5,1.17,4.67,1.167,4.5,1.19,5.75,1.16,5
52,Tokyo,AIG Japan Open Tennis Championships,02/10/08,3,Outdoor,Hard,2nd Round,3,Zakopalova K.,Domachowska M.,75,56,462,554,6,3,6,0,,,2,0,Completed,1.9,1.8,1.85,1.9,1.909,1.8,2.1,1.833,2,1.77
52,Tokyo,AIG Japan Open Tennis Championships,02/10/08,3,Outdoor,Hard,2nd Round,3,Pavlyuchenkova A.,Fujiwara R.,76,150,459,213,6,2,6,4,,,2,0,Completed,1.36,3,1.4,2.85,1.444,2.625,1.435,3.1,1.42,2.78
52,Tokyo,AIG Japan Open Tennis Championships,02/10/08,3,Outdoor,Hard,2nd Round,3,Stosur S.,Medina Garrigues A.,61,28,543,1001,6,1,7,5,,,2,0,Completed,1.72,2,1.7,2.1,1.833,1.833,1.794,2.16,1.75,2.02
52,Tokyo,AIG Japan Open Tennis Championships,02/10/08,3,Outdoor,Hard,2nd Round,3,Wozniak A.,Fuda R.,38,N/A,757,N/A,6,1,6,1,,,2,0,Completed,1.14,5,1.17,4.67,1.143,5,1.211,5.35,1.15,5.2
52,Tokyo,AIG Japan Open Tennis Championships,03/10/08,3,Outdoor,Hard,Quarterfinals,3,Wozniacki C.,Tanasugarn T.,16,37,1483,777,6,4,6,1,,,2,0,Completed,1.25,3.75,1.34,3.11,1.25,3.75,1.313,3.9,1.26,3.7
52,Tokyo,AIG Japan Open Tennis Championships,03/10/08,3,Outdoor,Hard,Quarterfinals,3,Gajdosova J.,Zakopalova K.,178,75,169,462,7,5,7,5,,,2,0,Completed,2.37,1.53,2.3,1.6,2.375,1.533,2.65,1.571,2.38,1.55
52,Tokyo,AIG Japan Open Tennis Championships,03/10/08,3,Outdoor,Hard,Quarterfinals,3,Kanepi K.,Pavlyuchenkova A.,33,76,913,459,7,6,7,6,,,2,0,Completed,1.4,2.75,1.4,2.85,1.444,2.625,1.476,2.9,1.4,2.85
52,Tokyo,AIG Japan Open Tennis Championships,03/10/08,3,Outdoor,Hard,Quarterfinals,3,Wozniak A.,Stosur S.,38,61,757,543,7,5,6,3,,,2,0,Completed,2,1.72,2.1,1.7,2,1.72,2.27,1.73,2.18,1.65
52,Tokyo,AIG Japan Open Tennis Championships,04/10/08,3,Outdoor,Hard,Semifinals,3,Kanepi K.,Wozniak A.,33,38,913,757,6,4,6,4,,,2,0,Completed,1.66,2.1,1.65,2.15,1.667,2.1,1.714,2.3,1.68,2.13
52,Tokyo,AIG Japan Open Tennis Championships,04/10/08,3,Outdoor,Hard,Semifinals,3,Wozniacki C.,Gajdosova J.,16,178,1483,169,6,4,6,3,,,2,0,Completed,1.1,6.5,1.15,5.2,1.143,5,1.141,7.4,1.1,6.75
52,Tokyo,AIG Japan Open Tennis Championships,05/10/08,3,Outdoor,Hard,The Final,3,Wozniacki C.,Kanepi K.,16,33,1483,913,6,2,3,6,6,1,2,1,Completed,1.25,3.75,1.3,3.35,1.3,3.4,1.313,3.9,1.32,3.25
