ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,SJW,SJL,UBW,UBL
55,Tokyo,Rakuten Japan Open Tennis Championships,05/10/09,ATP500,Outdoor,Hard,1st Round,3,Greul S.,Vassallo-Arguello M.,71,47,740,955,4,6,6,4,6,2,,,,,2,1,Completed,1.28,3.5,1.32,3.22,1.286,3.5,1.3,3.2,1.28,3.55
55,Tokyo,Rakuten Japan Open Tennis Championships,05/10/09,ATP500,Outdoor,Hard,1st Round,3,Wawrinka S.,Isner J.,23,43,1560,1013,6,4,6,4,,,,,,,2,0,Completed,1.57,2.25,1.55,2.35,1.667,2.1,1.67,2.1,1.6,2.28
55,Tokyo,Rakuten Japan Open Tennis Championships,05/10/09,ATP500,Outdoor,Hard,1st Round,3,Chiudinelli M.,Sela D.,100,44,558,1010,4,6,6,1,6,4,,,,,2,1,Completed,1.57,2.25,1.6,2.25,1.615,2.2,1.67,2.1,1.65,2.18
55,Tokyo,Rakuten Japan Open Tennis Championships,05/10/09,ATP500,Outdoor,Hard,1st Round,3,Monfils G.,Ilhan M.,13,160,2455,348,6,2,6,4,,,,,,,2,0,Completed,1.1,6.5,1.1,6.25,1.143,5,1.17,4.5,1.12,6
55,Tokyo,Rakuten Japan Open Tennis Championships,06/10/09,ATP500,Outdoor,Hard,1st Round,3,Hewitt L.,Ito T.,26,237,1375,213,6,1,7,5,,,,,,,2,0,Completed,1.03,11,1.04,9.25,1.04,9,1.04,9,1.05,9.5
55,Tokyo,Rakuten Japan Open Tennis Championships,06/10/09,ATP500,Outdoor,Hard,1st Round,3,Roger-Vasselin E.,Del Potro J.M.,189,5,283,6555,6,4,6,4,,,,,,,2,0,Completed,11,1.03,9.25,1.04,9,1.04,8,1.05,18,1.02
55,Tokyo,Rakuten Japan Open Tennis Championships,06/10/09,ATP500,Outdoor,Hard,1st Round,3,Melzer J.,Mayer L.,39,63,1060,808,7,6,6,3,,,,,,,2,0,Completed,1.36,3,1.4,2.85,1.364,3,1.4,2.75,1.36,3.05
55,Tokyo,Rakuten Japan Open Tennis Championships,06/10/09,ATP500,Outdoor,Hard,1st Round,3,Berdych T.,Soeda G.,21,176,1660,306,6,2,6,4,,,,,,,2,0,Completed,1.08,7,1.07,7.19,1.1,6.5,1.08,6.5,1.11,6.25
55,Tokyo,Rakuten Japan Open Tennis Championships,06/10/09,ATP500,Outdoor,Hard,1st Round,3,Simon G.,Suzuki T.,10,355,3250,116,6,3,6,4,,,,,,,2,0,Completed,1.07,7.5,1.1,6.25,1.083,7,1.1,6,1.1,6.5
55,Tokyo,Rakuten Japan Open Tennis Championships,06/10/09,ATP500,Outdoor,Hard,1st Round,3,Santoro F.,Golubev A.,42,69,1038,759,6,7,7,6,6,2,,,,,2,1,Completed,1.57,2.25,1.5,2.5,1.571,2.25,1.67,2.1,1.53,2.44
