WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL
50,Tokyo,Toray Pan Pacific Open,26/09/10,Premier,Outdoor,Hard,1st Round,3,Pavlyuchenkova A.,Cibulkova D.,20,33,2780,1765,7,5,7,5,,,2,0,Completed,1.53,2.37,1.6,2.25,1.53,2.38,1.6,2.53,1.62,2.2,1.72,2.6,1.58,2.32
50,Tokyo,Toray Pan Pacific Open,26/09/10,Premier,Outdoor,Hard,1st Round,3,Petkovic A.,Dulko G.,35,46,1725,1192,6,3,6,1,,,2,0,Completed,1.66,2.1,1.75,2,1.67,2.1,1.72,2.28,1.73,2,1.77,2.38,1.7,2.08
50,Tokyo,Toray Pan Pacific Open,26/09/10,Premier,Outdoor,Hard,1st Round,3,Govortsova O.,Benesova I.,53,52,1077,1080,6,4,7,5,,,2,0,Completed,2.2,1.61,2.15,1.65,2.2,1.62,2.28,1.72,2.1,1.67,2.4,1.73,2.14,1.66
50,Tokyo,Toray Pan Pacific Open,26/09/10,Premier,Outdoor,Hard,1st Round,3,Kanepi K.,Oudin M.,25,68,2220,941,6,4,6,4,,,2,0,Completed,1.28,3.5,1.3,3.3,1.33,3.25,1.33,3.77,1.29,3.25,1.35,3.77,1.3,3.38
50,Tokyo,Toray Pan Pacific Open,26/09/10,Premier,Outdoor,Hard,1st Round,3,Bondarenko A.,Kvitova P.,31,34,1783,1749,7,6,6,2,,,2,0,Completed,1.57,2.25,1.65,2.15,1.62,2.2,1.77,2.2,1.73,2,1.77,2.25,1.68,2.13
50,Tokyo,Toray Pan Pacific Open,26/09/10,Premier,Outdoor,Hard,1st Round,3,Hantuchova D.,Kerber A.,29,56,1915,1057,6,3,6,3,,,2,0,Completed,1.22,4,1.3,3.3,1.29,3.5,1.32,3.84,1.25,3.5,1.32,3.84,1.27,3.6
50,Tokyo,Toray Pan Pacific Open,26/09/10,Premier,Outdoor,Hard,1st Round,3,Safarova L.,Chang K.C.,30,93,1905,718,2,6,6,1,6,3,2,1,Completed,1.28,3.5,1.25,3.75,1.29,3.5,1.32,3.83,1.25,3.5,1.33,3.85,1.28,3.5
50,Tokyo,Toray Pan Pacific Open,26/09/10,Premier,Outdoor,Hard,1st Round,3,Bondarenko K.,Medina Garrigues A.,92,63,719,985,6,2,6,0,,,2,0,Completed,1.36,3,1.4,2.8,1.4,2.75,1.38,3.45,1.36,2.88,1.4,3.45,1.36,3.02
50,Tokyo,Toray Pan Pacific Open,26/09/10,Premier,Outdoor,Hard,1st Round,3,Kirilenko M.,Martinez-Sanchez M.J.,26,24,2205,2225,6,3,6,7,6,1,2,1,Completed,,,,,,,,,,,,,,
50,Tokyo,Toray Pan Pacific Open,26/09/10,Premier,Outdoor,Hard,1st Round,3,Arn G.,Robson L.,109,232,655,231,6,4,6,3,,,2,0,Completed,2.2,1.61,2.15,1.65,2.1,1.67,2.34,1.69,2.1,1.67,2.35,1.7,2.21,1.64
50,Tokyo,Toray Pan Pacific Open,26/09/10,Premier,Outdoor,Hard,1st Round,3,Pironkova T.,Morita A.,32,98,1775,707,6,3,7,5,,,2,0,Completed,1.5,2.5,1.5,2.5,1.5,2.5,1.54,2.7,1.53,2.38,1.57,2.7,1.52,2.47
