ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL
56,Tokyo,Rakuten Japan Open Tennis Championships,03/10/11,ATP500,Outdoor,Hard,1st Round,3,Stepanek R.,Devvarman S.,24,85,1455,628,6,4,6,3,,,,,,,2,0,Completed,1.28,3.5,1.3,3.3,1.33,3.25,1.29,3.9,1.29,3.25,1.35,3.9,1.29,3.44
56,Tokyo,Rakuten Japan Open Tennis Championships,03/10/11,ATP500,Outdoor,Hard,1st Round,3,Ebden M.,Andujar P.,137,45,408,930,6,7,6,4,6,4,,,,,2,1,Completed,1.57,2.25,1.65,2.15,1.57,2.25,1.64,2.37,1.57,2.25,1.68,2.55,1.59,2.28
56,Tokyo,Rakuten Japan Open Tennis Championships,03/10/11,ATP500,Outdoor,Hard,1st Round,3,Fish M.,Harrison R.,8,80,2820,645,6,4,3,6,7,5,,,,,2,1,Completed,1.12,6,1.13,5.4,1.14,5,1.13,7.13,1.14,5,1.17,7.45,1.12,5.9
56,Tokyo,Rakuten Japan Open Tennis Championships,03/10/11,ATP500,Outdoor,Hard,1st Round,3,Chiudinelli M.,Garcia-Lopez G.,237,44,207,935,6,1,4,6,6,4,,,,,2,1,Completed,2.1,1.66,1.95,1.8,2.25,1.57,2.25,1.71,2.25,1.57,2.25,1.86,2.09,1.7
56,Tokyo,Rakuten Japan Open Tennis Championships,04/10/11,ATP500,Outdoor,Hard,1st Round,3,Bogomolov A.,Nieminen J.,38,62,1060,746,6,4,6,4,,,,,,,2,0,Completed,2.1,1.66,2,1.75,2,1.73,2.11,1.8,1.91,1.8,2.2,1.83,1.98,1.77
56,Tokyo,Rakuten Japan Open Tennis Championships,04/10/11,ATP500,Outdoor,Hard,1st Round,3,Gulbis E.,Kubot L.,49,56,875,812,6,3,3,6,7,5,,,,,2,1,Completed,1.44,2.62,1.45,2.65,1.4,2.75,1.45,2.93,1.4,2.75,1.52,2.93,1.45,2.67
56,Tokyo,Rakuten Japan Open Tennis Championships,04/10/11,ATP500,Outdoor,Hard,1st Round,3,Raonic M.,Sugita Y.,30,175,1252,298,6,7,6,3,7,6,,,,,2,1,Completed,1.3,3.4,1.4,2.8,1.36,3,1.36,3.42,1.4,2.75,1.42,3.6,1.36,3.06
56,Tokyo,Rakuten Japan Open Tennis Championships,04/10/11,ATP500,Outdoor,Hard,1st Round,3,Dodig I.,Monaco J.,35,27,1147,1340,6,2,2,6,7,6,,,,,2,1,Completed,2.2,1.61,2,1.75,2.1,1.67,2.24,1.71,2.2,1.62,2.35,1.75,2.13,1.68
56,Tokyo,Rakuten Japan Open Tennis Championships,04/10/11,ATP500,Outdoor,Hard,1st Round,3,Nalbandian D.,Rosol L.,64,77,735,666,6,1,6,1,,,,,,,2,0,Completed,1.1,7,1.11,6,1.1,6.5,1.13,7.13,1.13,5.5,1.14,7.5,1.11,6.38
56,Tokyo,Rakuten Japan Open Tennis Championships,04/10/11,ATP500,Outdoor,Hard,1st Round,3,Ito T.,Sela D.,130,102,426,565,6,4,3,6,6,3,,,,,2,1,Completed,2.75,1.4,2.5,1.5,2.5,1.5,2.84,1.48,2.5,1.5,2.95,1.51,2.66,1.45
56,Tokyo,Rakuten Japan Open Tennis Championships,04/10/11,ATP500,Outdoor,Hard,1st Round,3,Ferrer D.,Nishikori K.,5,47,4200,885,6,4,6,3,,,,,,,2,0,Completed,1.28,3.5,1.3,3.3,1.25,3.75,1.33,3.62,1.29,3.25,1.37,3.9,1.29,3.48
56,Tokyo,Rakuten Japan Open Tennis Championships,04/10/11,ATP500,Outdoor,Hard,1st Round,3,Tomic B.,Troicki V.,58,16,785,1980,7,6,7,6,,,,,,,2,0,Completed,3.4,1.3,3.05,1.35,3,1.36,3.54,1.34,2.75,1.4,3.54,1.4,3.12,1.34
56,Tokyo,Rakuten Japan Open Tennis Championships,04/10/11,ATP500,Outdoor,Hard,1st Round,3,Nadal R.,Soeda G.,2,118,10575,487,6,3,6,2,,,,,,,2,0,Completed,1.01,26,1.01,15,1.01,17,1.02,31,1.01,17,1.03,51,1.01,17.18
56,Tokyo,Rakuten Japan Open Tennis Championships,04/10/11,ATP500,Outdoor,Hard,1st Round,3,Giraldo S.,Haase R.,53,41,835,1001,6,3,7,6,,,,,,,2,0,Completed,2.62,1.44,2.5,1.5,2.5,1.5,2.64,1.53,2.75,1.4,2.86,1.55,2.58,1.47
56,Tokyo,Rakuten Japan Open Tennis Championships,05/10/11,ATP500,Outdoor,Hard,1st Round,3,Tursunov D.,Tipsarevic J.,40,13,1028,2075,7,6,6,7,7,5,,,,,2,1,Completed,4,1.22,3.3,1.3,3.75,1.25,4.21,1.26,3.5,1.25,4.35,1.33,3.74,1.26
56,Tokyo,Rakuten Japan Open Tennis Championships,05/10/11,ATP500,Outdoor,Hard,1st Round,3,Murray A.,Baghdatis M.,4,54,7415,830,7,6,2,6,6,4,,,,,2,1,Completed,1.14,5.5,1.13,5.5,1.17,4.5,1.17,5.61,1.14,5,1.18,6,1.15,5.11
56,Tokyo,Rakuten Japan Open Tennis Championships,05/10/11,ATP500,Outdoor,Hard,2nd Round,3,Fish M.,Gulbis E.,8,49,2820,875,6,2,6,4,,,,,,,2,0,Completed,1.36,3,1.4,2.8,1.4,2.75,1.44,3.06,1.4,2.75,1.44,3.1,1.39,2.87
56,Tokyo,Rakuten Japan Open Tennis Championships,05/10/11,ATP500,Outdoor,Hard,2nd Round,3,Tomic B.,Ito T.,58,130,785,426,6,7,6,1,7,5,,,,,2,1,Completed,1.33,3.25,1.35,3,1.33,3.25,1.43,3.14,1.29,3.25,1.46,3.4,1.36,3.05
