ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
59,Tokyo,Rakuten Japan Open Tennis Championships,03/10/2022,ATP500,Outdoor,Hard,1st Round,3,Martinez P.,Popyrin A.,68,93,745,584,7,5,6,4,,,,,,,2,0,Completed,2.1,1.72,2.16,1.77,2.16,1.95,2.06,1.75
59,Tokyo,Rakuten Japan Open Tennis Championships,03/10/2022,ATP500,Outdoor,Hard,1st Round,3,Nakashima B.,Mochizuki S.,47,401,974,106,6,3,6,2,,,,,,,2,0,Completed,1.11,6.5,1.09,9.01,1.12,9.01,1.1,6.96
59,Tokyo,Rakuten Japan Open Tennis Championships,03/10/2022,ATP500,Outdoor,Hard,1st Round,3,Zapata Miralles B.,Daniel T.,80,95,654,578,7,5,7,5,,,,,,,2,0,Completed,2.5,1.53,2.54,1.57,2.88,1.57,2.47,1.53
59,Tokyo,Rakuten Japan Open Tennis Championships,03/10/2022,ATP500,Outdoor,Hard,1st Round,3,Tiafoe F.,Uchiyama Y.,19,314,1940,158,6,3,6,4,,,,,,,2,0,Completed,1.1,7,1.1,8.83,1.13,8.83,1.09,7.2
59,Tokyo,Rakuten Japan Open Tennis Championships,04/10/2022,ATP500,Outdoor,Hard,1st Round,3,Mcdonald M.,Uchida K.,78,155,660,348,7,6,6,7,6,3,,,,,2,1,Completed,1.16,5,1.2,5.04,1.2,5.2,1.17,4.87
59,Tokyo,Rakuten Japan Open Tennis Championships,04/10/2022,ATP500,Outdoor,Hard,1st Round,3,Kwon S.W.,De Minaur A.,120,23,451,1745,6,3,6,2,,,,,,,2,0,Completed,4.33,1.22,4.24,1.26,4.34,1.29,4.01,1.24
59,Tokyo,Rakuten Japan Open Tennis Championships,04/10/2022,ATP500,Outdoor,Hard,1st Round,3,Coric B.,Kokkinakis T.,28,91,1405,592,6,4,7,6,,,,,,,2,0,Completed,1.44,2.75,1.46,2.91,1.53,3.1,1.45,2.72
59,Tokyo,Rakuten Japan Open Tennis Championships,04/10/2022,ATP500,Outdoor,Hard,1st Round,3,Evans D.,Albot R.,25,86,1490,616,6,7,6,1,6,4,,,,,2,1,Completed,1.3,3.5,1.34,3.53,1.34,3.75,1.31,3.42
59,Tokyo,Rakuten Japan Open Tennis Championships,04/10/2022,ATP500,Outdoor,Hard,1st Round,3,Munar J.,Ruud C.,58,3,814,5645,6,3,6,3,,,,,,,2,0,Completed,4.5,1.2,5.77,1.17,5.77,1.2,4.83,1.17
59,Tokyo,Rakuten Japan Open Tennis Championships,04/10/2022,ATP500,Outdoor,Hard,1st Round,3,Noguchi R.,Ramanathan R.,291,297,167,164,6,4,3,6,7,6,,,,,2,1,Completed,1.9,1.9,1.94,1.94,1.95,1.95,1.88,1.9
59,Tokyo,Rakuten Japan Open Tennis Championships,04/10/2022,ATP500,Outdoor,Hard,1st Round,3,Kyrgios N.,Tseng C. H.,20,87,1780,611,6,3,6,1,,,,,,,2,0,Completed,1.08,8,1.1,8.64,1.1,8.67,1.08,7.61
59,Tokyo,Rakuten Japan Open Tennis Championships,04/10/2022,ATP500,Outdoor,Hard,1st Round,3,Majchrzak K.,Shimabukuro S.,121,353,451,129,7,6,6,2,,,,,,,2,0,Completed,1.44,2.75,1.44,2.97,1.44,3.28,1.39,2.94
59,Tokyo,Rakuten Japan Open Tennis Championships,04/10/2022,ATP500,Outdoor,Hard,1st Round,3,Moriya H.,Shimizu Y.,253,451,193,85,6,1,6,3,,,,,,,2,0,Completed,2.2,1.66,2.19,1.73,2.3,1.73,2.18,1.66
59,Tokyo,Rakuten Japan Open Tennis Championships,05/10/2022,ATP500,Outdoor,Hard,1st Round,3,Kecmanovic M.,Nishioka Y.,33,41,1256,1077,2,6,7,6,6,2,,,,,2,1,Completed,2.1,1.72,2.03,1.87,2.3,1.87,2.07,1.75
59,Tokyo,Rakuten Japan Open Tennis Championships,05/10/2022,ATP500,Outdoor,Hard,1st Round,3,Shapovalov D.,Johnson S.,22,112,1745,483,6,3,7,6,,,,,,,2,0,Completed,1.22,4.33,1.25,4.34,1.27,4.85,1.22,4.2
59,Tokyo,Rakuten Japan Open Tennis Championships,05/10/2022,ATP500,Outdoor,Hard,1st Round,3,Fritz T.,Duckworth J.,11,109,3055,487,6,2,6,7,6,1,,,,,2,1,Completed,1.25,4,1.29,3.94,1.33,4.8,1.24,3.94
59,Tokyo,Rakuten Japan Open Tennis Championships,05/10/2022,ATP500,Outdoor,Hard,2nd Round,3,Kwon S.W.,Mcdonald M.,120,78,451,660,6,3,6,7,6,2,,,,,2,1,Completed,1.61,2.3,1.72,2.26,1.73,2.36,1.65,2.22
59,Tokyo,Rakuten Japan Open Tennis Championships,05/10/2022,ATP500,Outdoor,Hard,2nd Round,3,Martinez P.,Munar J.,68,58,745,814,4,6,6,3,6,1,,,,,2,1,Completed,2.75,1.44,2.46,1.62,2.8,1.62,2.59,1.49
59,Tokyo,Rakuten Japan Open Tennis Championships,06/10/2022,ATP500,Outdoor,Hard,2nd Round,3,Tiafoe F.,Zapata Miralles B.,19,80,1940,654,6,1,7,6,,,,,,,2,0,Completed,1.25,4,1.26,4.29,1.29,4.4,1.24,3.94
59,Tokyo,Rakuten Japan Open Tennis Championships,06/10/2022,ATP500,Outdoor,Hard,2nd Round,3,Kecmanovic M.,Evans D.,33,25,1256,1490,6,3,3,6,7,6,,,,,2,1,Completed,2,1.8,2.11,1.81,2.11,1.89,2,1.8
59,Tokyo,Rakuten Japan Open Tennis Championships,06/10/2022,ATP500,Outdoor,Hard,2nd Round,3,Kyrgios N.,Majchrzak K.,20,121,1780,451,3,6,6,2,6,2,,,,,2,1,Completed,1.07,9,1.09,9.39,1.11,9.39,1.07,7.96
59,Tokyo,Rakuten Japan Open Tennis Championships,06/10/2022,ATP500,Outdoor,Hard,2nd Round,3,Coric B.,Nakashima B.,28,47,1405,974,7,5,6,2,,,,,,,2,0,Completed,1.9,1.9,1.93,1.97,1.93,2,1.88,1.9
59,Tokyo,Rakuten Japan Open Tennis Championships,06/10/2022,ATP500,Outdoor,Hard,2nd Round,3,Shapovalov D.,Noguchi R.,22,291,1745,167,6,3,6,1,,,,,,,2,0,Completed,1.08,8,1.08,11.09,1.08,10,1.07,8.31
59,Tokyo,Rakuten Japan Open Tennis Championships,06/10/2022,ATP500,Outdoor,Hard,2nd Round,3,Fritz T.,Moriya H.,11,253,3055,193,6,1,3,6,6,4,,,,,2,1,Completed,1.07,9,1.09,9.58,1.1,9.58,1.07,8.17
59,Tokyo,Rakuten Japan Open Tennis Championships,07/10/2022,ATP500,Outdoor,Hard,Quarterfinals,3,Tiafoe F.,Kecmanovic M.,19,33,1940,1256,6,0,6,4,,,,,,,2,0,Completed,1.5,2.62,1.59,2.52,1.59,2.65,1.52,2.52
59,Tokyo,Rakuten Japan Open Tennis Championships,07/10/2022,ATP500,Outdoor,Hard,Quarterfinals,3,Kwon S.W.,Martinez P.,120,68,451,745,6,3,6,0,,,,,,,2,0,Completed,1.4,3,1.45,2.97,1.48,3.05,1.41,2.89
59,Tokyo,Rakuten Japan Open Tennis Championships,07/10/2022,ATP500,Outdoor,Hard,Quarterfinals,3,Fritz T.,Kyrgios N.,11,20,3055,1780,,,,,,,,,,,,,Retired,2.62,1.5,2.67,1.54,2.75,1.55,2.58,1.49
59,Tokyo,Rakuten Japan Open Tennis Championships,07/10/2022,ATP500,Outdoor,Hard,Quarterfinals,3,Shapovalov D.,Coric B.,22,28,1745,1405,6,4,6,3,,,,,,,2,0,Completed,2.2,1.66,2.32,1.68,2.34,1.73,2.23,1.65
59,Tokyo,Rakuten Japan Open Tennis Championships,08/10/2022,ATP500,Outdoor,Hard,Semifinals,3,Tiafoe F.,Kwon S.W.,19,120,1940,451,6,2,0,6,6,4,,,,,2,1,Completed,1.3,3.5,1.37,3.39,1.4,3.7,1.33,3.29
59,Tokyo,Rakuten Japan Open Tennis Championships,08/10/2022,ATP500,Outdoor,Hard,Semifinals,3,Fritz T.,Shapovalov D.,11,22,3055,1745,6,3,6,7,6,3,,,,,2,1,Completed,2.1,1.72,2.1,1.82,2.25,1.82,2.07,1.75
59,Tokyo,Rakuten Japan Open Tennis Championships,09/10/2022,ATP500,Outdoor,Hard,The Final,3,Fritz T.,Tiafoe F.,11,19,3055,1940,7,6,7,6,,,,,,,2,0,Completed,1.72,2.1,1.74,2.22,1.76,2.27,1.72,2.12
