ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
42,Umag,Croatia Open,15/07/2019,ATP250,Outdoor,Clay,1st Round,3,Vesely J.,Stebe C.M.,142,453,383,20,7,6,3,6,7,6,,,,,2,1,Completed,1.25,3.75,1.26,4.27,1.31,4.27,1.26,3.8
42,Umag,Croatia Open,15/07/2019,ATP250,Outdoor,Clay,1st Round,3,Bedene A.,Cecchinato M.,87,40,625,1085,6,3,6,2,,,,,,,2,0,Completed,1.72,2,1.92,2.06,1.95,1.97,1.84,1.96
42,Umag,Croatia Open,15/07/2019,ATP250,Outdoor,Clay,1st Round,3,Sinner J.,Sousa P.,209,109,239,528,1,6,6,3,6,4,,,,,2,1,Completed,2,1.72,2.05,1.89,2.1,1.85,2.03,1.77
42,Umag,Croatia Open,16/07/2019,ATP250,Outdoor,Clay,1st Round,3,Bagnis F.,Klizan M.,152,61,365,905,4,6,6,3,7,5,,,,,2,1,Completed,2.37,1.53,2.49,1.63,2.6,1.6,2.44,1.55
42,Umag,Croatia Open,16/07/2019,ATP250,Outdoor,Clay,1st Round,3,Lorenzi P.,Torebko P.,114,384,496,45,5,7,6,4,7,6,,,,,2,1,Completed,1.4,2.75,1.47,3,1.5,2.88,1.42,2.83
42,Umag,Croatia Open,16/07/2019,ATP250,Outdoor,Clay,1st Round,3,Travaglia S.,Fabbiano T.,105,92,543,614,6,3,6,2,,,,,,,2,0,Completed,1.53,2.37,1.54,2.62,1.62,2.65,1.55,2.42
42,Umag,Croatia Open,16/07/2019,ATP250,Outdoor,Clay,1st Round,3,Serdarusic N.,Trungelliti M.,290,161,124,336,6,3,6,3,,,,,,,2,0,Completed,2.37,1.53,2.57,1.59,2.63,1.56,2.49,1.52
42,Umag,Croatia Open,16/07/2019,ATP250,Outdoor,Clay,1st Round,3,Balazs A.,Galovic V.,208,197,241,259,6,0,6,7,7,6,,,,,2,1,Completed,1.3,3.4,1.31,3.73,1.34,3.8,1.3,3.51
42,Umag,Croatia Open,16/07/2019,ATP250,Outdoor,Clay,1st Round,3,Rublev A.,Haase R.,76,78,741,716,6,3,6,2,,,,,,,2,0,Completed,1.57,2.25,1.77,2.15,1.8,2.33,1.67,2.17
42,Umag,Croatia Open,16/07/2019,ATP250,Outdoor,Clay,1st Round,3,Mayer L.,Andujar P.,60,79,910,712,6,1,7,5,,,,,,,2,0,Completed,1.72,2,1.93,2.04,1.95,1.95,1.84,1.95
42,Umag,Croatia Open,16/07/2019,ATP250,Outdoor,Clay,1st Round,3,Krajinovic F.,Daniel T.,58,112,928,518,7,5,7,6,,,,,,,2,0,Completed,1.16,5,1.16,6.1,1.21,5.89,1.15,5.31
42,Umag,Croatia Open,16/07/2019,ATP250,Outdoor,Clay,1st Round,3,Caruso S.,Moutet C.,125,81,441,682,7,5,6,0,,,,,,,2,0,Completed,2.25,1.57,2.25,1.71,2.42,1.71,2.22,1.64
42,Umag,Croatia Open,17/07/2019,ATP250,Outdoor,Clay,2nd Round,3,Balazs A.,Krajinovic F.,208,58,241,928,6,3,6,7,7,6,,,,,2,1,Completed,3,1.36,3.41,1.37,3.44,1.4,3.13,1.35
42,Umag,Croatia Open,17/07/2019,ATP250,Outdoor,Clay,2nd Round,3,Mayer L.,Vesely J.,60,142,910,383,3,6,6,4,6,4,,,,,2,1,Completed,1.44,2.62,1.5,2.92,1.53,2.8,1.45,2.71
42,Umag,Croatia Open,17/07/2019,ATP250,Outdoor,Clay,2nd Round,3,Travaglia S.,Fognini F.,105,9,543,2785,6,1,2,1,,,,,,,1,0,Retired,3,1.36,3.1,1.68,3.15,1.43,2.97,1.39
42,Umag,Croatia Open,17/07/2019,ATP250,Outdoor,Clay,2nd Round,3,Djere L.,Lorenzi P.,32,114,1290,496,6,3,3,6,6,4,,,,,2,1,Completed,1.25,3.75,1.25,4.47,1.29,4.5,1.23,4.07
42,Umag,Croatia Open,18/07/2019,ATP250,Outdoor,Clay,2nd Round,3,Bagnis F.,Serdarusic N.,152,290,365,124,6,3,6,3,,,,,,,2,0,Completed,1.4,2.75,1.47,2.9,1.5,3,1.42,2.82
42,Umag,Croatia Open,18/07/2019,ATP250,Outdoor,Clay,2nd Round,3,Lajovic D.,Rublev A.,36,76,1251,741,6,4,6,3,,,,,,,2,0,Completed,2,1.72,2.02,1.91,2.06,1.88,1.97,1.83
42,Umag,Croatia Open,18/07/2019,ATP250,Outdoor,Clay,2nd Round,3,Caruso S.,Coric B.,125,14,441,2195,6,2,3,6,6,1,,,,,2,1,Completed,3.25,1.33,3.43,1.36,3.6,1.4,3.22,1.34
42,Umag,Croatia Open,18/07/2019,ATP250,Outdoor,Clay,2nd Round,3,Bedene A.,Sinner J.,87,209,625,239,7,6,6,3,,,,,,,2,0,Completed,1.33,3.25,1.35,3.52,1.35,3.6,1.32,3.33
42,Umag,Croatia Open,19/07/2019,ATP250,Outdoor,Clay,Quarterfinals,3,Djere L.,Mayer L.,32,60,1290,910,6,4,6,7,6,3,,,,,2,1,Completed,1.9,1.9,1.88,2.04,1.95,2.04,1.85,1.95
42,Umag,Croatia Open,19/07/2019,ATP250,Outdoor,Clay,Quarterfinals,3,Balazs A.,Travaglia S.,208,105,241,543,3,6,7,6,6,3,,,,,2,1,Completed,2.1,1.72,2.14,1.91,2.15,1.81,2.05,1.77
42,Umag,Croatia Open,19/07/2019,ATP250,Outdoor,Clay,Quarterfinals,3,Lajovic D.,Bedene A.,36,87,1251,625,5,7,6,3,6,3,,,,,2,1,Completed,1.72,2.1,1.73,2.29,1.78,2.26,1.71,2.13
