WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL
45,New York,US Open,26/08/13,Grand Slam,Outdoor,Hard,1st Round,3,Arvidsson S.,Cetkovska P.,100,146,672,421,1,6,6,4,6,1,2,1,Completed,2.25,1.57,2.35,1.52,2.25,1.57,2.37,1.66,2.25,1.62,2.5,1.66,2.32,1.58
45,New York,US Open,26/08/13,Grand Slam,Outdoor,Hard,1st Round,3,Suarez Navarro C.,Davis L.,20,70,2375,900,6,0,6,0,,,2,0,Completed,1.33,3.25,1.35,2.9,1.36,3,1.37,3.31,1.36,3,1.4,3.45,1.35,3.16
45,New York,US Open,26/08/13,Grand Slam,Outdoor,Hard,1st Round,3,Li N.,Govortsova O.,6,88,4825,736,6,2,6,2,,,2,0,Completed,1.05,11,1.06,7.5,1.06,9,1.06,11.75,1.08,7.5,1.09,12,1.06,9.08
45,New York,US Open,26/08/13,Grand Slam,Outdoor,Hard,1st Round,3,Mayr P.,Rybarikova M.,140,31,440,1575,7,6,6,3,,,2,0,Completed,7,1.1,6,1.1,7,1.08,7.04,1.12,6,1.12,7.04,1.17,6.39,1.11
45,New York,US Open,26/08/13,Grand Slam,Outdoor,Hard,1st Round,3,Robson L.,Dominguez Lino L.,32,52,1561,1125,7,5,6,0,,,2,0,Completed,1.5,2.5,1.48,2.45,1.5,2.5,1.59,2.52,1.53,2.5,1.6,2.72,1.51,2.51
45,New York,US Open,26/08/13,Grand Slam,Outdoor,Hard,1st Round,3,Torro Flor M.T.,Erakovic M.,103,68,662,924,6,0,6,4,,,2,0,Completed,3.4,1.3,3.5,1.25,3.4,1.3,3.14,1.42,3.25,1.33,4.05,1.42,3.48,1.3
45,New York,US Open,26/08/13,Grand Slam,Outdoor,Hard,1st Round,3,Vandeweghe C.,Krunic A.,191,158,307,384,6,4,7,6,,,2,0,Completed,1.44,2.62,1.48,2.45,1.5,2.5,1.53,2.71,1.53,2.5,1.63,2.75,1.51,2.52
45,New York,US Open,26/08/13,Grand Slam,Outdoor,Hard,1st Round,3,Kanepi K.,King V.,27,130,1781,510,4,6,7,6,6,1,2,1,Completed,1.4,2.75,1.42,2.65,1.4,2.75,1.51,2.76,1.5,2.63,1.65,2.76,1.47,2.63
45,New York,US Open,26/08/13,Grand Slam,Outdoor,Hard,1st Round,3,Radwanska A.,Soler Espinosa S.,4,69,6335,907,6,1,6,2,,,2,0,Completed,1.01,21,1.03,9,1.02,17,1.02,21,1.01,15,1.04,23.5,1.02,15.26
45,New York,US Open,26/08/13,Grand Slam,Outdoor,Hard,1st Round,3,Garcia C.,Rogers S.,75,132,841,500,6,3,6,2,,,2,0,Completed,2.2,1.61,1.95,1.75,2.1,1.67,2.18,1.77,2.2,1.67,2.2,1.83,2.1,1.71
45,New York,US Open,26/08/13,Grand Slam,Outdoor,Hard,1st Round,3,Hampton J.,Arruabarrena-Vecino L.,26,87,1881,745,6,4,6,2,,,2,0,Completed,1.07,9,1.08,6.5,1.1,6.5,1.1,8.6,1.1,7,1.12,9,1.08,7.52
45,New York,US Open,26/08/13,Grand Slam,Outdoor,Hard,1st Round,3,Williams V.,Flipkens K.,60,14,1027,2961,6,1,6,2,,,2,0,Completed,1.72,2,1.75,1.95,1.83,1.83,1.78,2.16,1.8,2,1.91,2.22,1.77,2.01
45,New York,US Open,26/08/13,Grand Slam,Outdoor,Hard,1st Round,3,Lisicki S.,Dushevina V.,18,126,2615,528,6,2,7,6,,,2,0,Completed,1.22,4,1.2,4,1.22,4,1.27,4.22,1.2,4.5,1.32,4.5,1.24,3.92
