ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,IWW,IWL,SBW,SBL,B&WW,B&WL
27,Valencia,CAM Open Comunidad Valenciana,28/04/03,International,Outdoor,Clay,1st Round,3,Vicente F.,Lopez F.,57,56,7,6,3,6,6,3,,,,,2,1,Completed,1.8,1.909,1.7,2.08,1.6,1.9,1.667,2.1,1.63,1.92
27,Valencia,CAM Open Comunidad Valenciana,28/04/03,International,Outdoor,Clay,1st Round,3,Hipfl M.,Acasuso J.,207,45,6,4,7,6,,,,,,,2,0,Completed,5.5,1.125,4.75,1.16,4.5,1.1,5.5,1.125,5,1.08
27,Valencia,CAM Open Comunidad Valenciana,28/04/03,International,Outdoor,Clay,1st Round,3,Sargsian S.,Ferrer D.,75,59,6,4,6,1,,,,,,,2,0,Completed,2.2,1.615,2.25,1.6,2.1,1.5,2.1,1.667,2.18,1.47
27,Valencia,CAM Open Comunidad Valenciana,28/04/03,International,Outdoor,Clay,1st Round,3,Hrbaty D.,Norman M.,58,82,7,5,4,6,7,5,,,,,2,1,Completed,1.727,2,1.7,2.1,1.7,1.8,1.727,2,1.56,2
27,Valencia,CAM Open Comunidad Valenciana,28/04/03,International,Outdoor,Clay,1st Round,3,Portas A.,Beck K.,85,74,6,2,6,2,,,,,,,2,0,Completed,1.333,3,1.28,3.4,1.25,3,1.333,3,1.22,3.3
27,Valencia,CAM Open Comunidad Valenciana,28/04/03,International,Outdoor,Clay,1st Round,3,Dupuis A.,Corretja A.,86,18,5,7,6,3,6,4,,,,,2,1,Completed,5.5,1.125,4.75,1.16,4.5,1.1,4.5,1.167,4.65,1.1
27,Valencia,CAM Open Comunidad Valenciana,29/04/03,International,Outdoor,Clay,1st Round,3,Cermak F.,Verdasco F.,245,138,7,6,6,0,,,,,,,2,0,Completed,2.375,1.533,2.4,1.53,2.3,1.4,,,2.17,1.48
27,Valencia,CAM Open Comunidad Valenciana,29/04/03,International,Outdoor,Clay,1st Round,3,Sanchez D.,Patience O.,48,239,3,6,6,4,6,2,,,,,2,1,Completed,1.25,3.5,1.25,3.7,1.2,3.3,,,1.2,3.45
27,Valencia,CAM Open Comunidad Valenciana,29/04/03,International,Outdoor,Clay,1st Round,3,Massu N.,Martin A.,89,65,6,2,7,6,,,,,,,2,0,Completed,2.1,1.667,2.25,1.6,2,1.55,,,2.3,1.42
27,Valencia,CAM Open Comunidad Valenciana,29/04/03,International,Outdoor,Clay,1st Round,3,Blanco G.,Calatrava A.,126,178,6,3,6,1,,,,,,,2,0,Completed,1.571,2.25,1.53,2.4,1.5,2.1,,,1.4,2.4
27,Valencia,CAM Open Comunidad Valenciana,29/04/03,International,Outdoor,Clay,1st Round,3,Gaudio G.,Sa A.,29,83,6,1,6,1,,,,,,,2,0,Completed,1.083,7,1.08,7,1.1,4.5,1.083,6.5,1.06,5.8
