ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,EXW,EXL,IWW,IWL,PSW,PSL
22,Valencia,Open de Tenis Comunidad Valenciana,04/04/05,International,Outdoor,Clay,1st Round,3,Andreev I.,Vicente F.,47,163,6,4,7,5,,,,,,,2,0,Completed,1.25,3.5,1.33,3.2,1.28,3.46,1.3,2.9,1.403,3.13
22,Valencia,Open de Tenis Comunidad Valenciana,04/04/05,International,Outdoor,Clay,1st Round,3,Koubek S.,Matos-Gil I.,75,512,6,1,6,3,,,,,,,2,0,Completed,,,,,,,,,,
22,Valencia,Open de Tenis Comunidad Valenciana,04/04/05,International,Outdoor,Clay,1st Round,3,Kuerten G.,Rochus O.,88,39,6,2,6,4,,,,,,,2,0,Completed,,,2.3,1.6,2.45,1.5,,,2.34,1.649
22,Valencia,Open de Tenis Comunidad Valenciana,04/04/05,International,Outdoor,Clay,1st Round,3,Gonzalez F.,Phau B.,26,101,6,3,7,6,,,,,,,2,0,Completed,1.07,7,1.1,6.5,1.13,5.5,1.1,5,1.091,9
22,Valencia,Open de Tenis Comunidad Valenciana,04/04/05,International,Outdoor,Clay,1st Round,3,Labadze I.,Karlovic I.,131,60,7,6,6,2,,,,,,,2,0,Completed,,,,,,,,,,
22,Valencia,Open de Tenis Comunidad Valenciana,05/04/05,International,Outdoor,Clay,1st Round,3,Luzzi F.,Corretja A.,193,133,7,6,7,6,,,,,,,2,0,Completed,2,1.72,2,1.77,1.95,1.8,1.8,1.8,,
22,Valencia,Open de Tenis Comunidad Valenciana,05/04/05,International,Outdoor,Clay,1st Round,3,Mantilla F.,Hernandez O.,85,89,6,0,6,2,,,,,,,2,0,Completed,1.39,2.75,1.4,2.85,1.45,2.6,1.4,2.5,1.407,3.11
22,Valencia,Open de Tenis Comunidad Valenciana,05/04/05,International,Outdoor,Clay,1st Round,3,Dupuis A.,Djokovic N.,114,160,6,4,7,5,,,,,,,2,0,Completed,3,1.33,,,3.1,1.35,2.5,1.4,,
22,Valencia,Open de Tenis Comunidad Valenciana,05/04/05,International,Outdoor,Clay,1st Round,3,Navarro-Pastor I.,Carlsen K.,204,55,6,4,6,3,,,,,,,2,0,Completed,,,,,,,1.6,2,,
22,Valencia,Open de Tenis Comunidad Valenciana,05/04/05,International,Outdoor,Clay,1st Round,3,Martin A.,Montanes A.,56,62,6,7,6,4,6,2,,,,,2,1,Completed,1.66,2.1,1.83,1.93,1.7,2.1,1.8,1.8,1.893,1.926
22,Valencia,Open de Tenis Comunidad Valenciana,05/04/05,International,Outdoor,Clay,1st Round,3,Garcia-Lopez G.,Kohlschreiber P.,80,67,6,4,6,2,,,,,,,2,0,Completed,1.44,2.62,1.5,2.55,1.5,2.45,1.5,2.2,1.433,3.01
22,Valencia,Open de Tenis Comunidad Valenciana,05/04/05,International,Outdoor,Clay,1st Round,3,Costa A.,Davydenko N.,57,15,7,6,1,6,6,3,,,,,2,1,Completed,2.37,1.53,2.3,1.6,2.45,1.5,2.2,1.5,2.47,1.599
22,Valencia,Open de Tenis Comunidad Valenciana,05/04/05,International,Outdoor,Clay,1st Round,3,Verdasco F.,Berrer M.,45,242,6,1,6,1,,,,,,,2,0,Completed,,,1.1,6.5,,,1.15,4,,
22,Valencia,Open de Tenis Comunidad Valenciana,05/04/05,International,Outdoor,Clay,1st Round,3,Ferrer D.,Benneteau J.,32,103,6,4,6,1,,,,,,,2,0,Completed,1.25,3.5,1.22,4.1,1.28,3.46,1.25,3.2,1.23,4.64
22,Valencia,Open de Tenis Comunidad Valenciana,05/04/05,International,Outdoor,Clay,1st Round,3,Starace P.,Calatrava A.,61,81,7,5,7,5,,,,,,,2,0,Completed,1.44,2.62,1.5,2.55,1.5,2.45,1.45,2.35,1.444,2.95
22,Valencia,Open de Tenis Comunidad Valenciana,06/04/05,International,Outdoor,Clay,1st Round,3,Nadal R.,Ferrero J.C.,17,68,6,2,6,1,,,,,,,2,0,Completed,1.61,2.2,1.78,2,1.75,2.05,1.6,2,1.73,2.17
22,Valencia,Open de Tenis Comunidad Valenciana,06/04/05,International,Outdoor,Clay,2nd Round,3,Gonzalez F.,Mantilla F.,26,85,6,4,6,1,,,,,,,2,0,Completed,1.44,2.62,1.45,2.7,1.5,2.45,1.45,2.35,1.526,2.7
22,Valencia,Open de Tenis Comunidad Valenciana,06/04/05,International,Outdoor,Clay,2nd Round,3,Costa A.,Koubek S.,57,75,6,4,6,2,,,,,,,2,0,Completed,1.36,3,1.33,3.2,1.3,3.35,1.3,2.9,1.333,3.55
