ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,EXW,EXL,PSW,PSL,UBW,UBL
22,Valencia,Open de Tenis Comunidad Valenciana,09/04/07,International,Outdoor,Clay,1st Round,3,Koubek S.,Hernandez O.,69,87,546,476,7,6,6,4,,,,,,,2,0,Completed,2.37,1.53,2.4,1.55,2.35,1.55,2.57,1.599,2.35,1.55
22,Valencia,Open de Tenis Comunidad Valenciana,09/04/07,International,Outdoor,Clay,1st Round,3,Simon G.,Gabashvili T.,39,72,850,540,4,6,6,3,6,2,,,,,2,1,Completed,1.33,3,1.3,3.4,1.35,3.1,1.385,3.4,1.33,3.2
22,Valencia,Open de Tenis Comunidad Valenciana,09/04/07,International,Outdoor,Clay,1st Round,3,Roitman S.,Hernych J.,83,76,490,518,7,5,7,6,,,,,,,2,0,Completed,1.66,2.1,1.6,2.3,1.55,2.35,1.581,2.62,1.6,2.27
22,Valencia,Open de Tenis Comunidad Valenciana,10/04/07,International,Outdoor,Clay,1st Round,3,Korolev E.,Garcia-Lopez G.,66,64,555,569,6,3,1,6,6,3,,,,,2,1,Completed,1.83,1.83,1.93,1.83,2,1.75,2.13,1.813,1.88,1.88
22,Valencia,Open de Tenis Comunidad Valenciana,10/04/07,International,Outdoor,Clay,1st Round,3,Ventura S.,Mayer F.,366,41,90,790,6,3,6,3,,,,,,,2,0,Completed,3.75,1.25,3.85,1.25,3.89,1.23,4.2,1.286,3.8,1.25
22,Valencia,Open de Tenis Comunidad Valenciana,10/04/07,International,Outdoor,Clay,1st Round,3,Granollers M.,Pless K.,163,79,255,499,2,6,6,3,6,3,,,,,2,1,Completed,2,1.72,,,2.15,1.65,2.23,1.752,1.98,1.78
22,Valencia,Open de Tenis Comunidad Valenciana,10/04/07,International,Outdoor,Clay,1st Round,3,Andujar P.,Greul S.,199,109,205,409,6,2,6,4,,,,,,,2,0,Completed,1.66,2.1,,,1.65,2.2,1.73,2.27,1.67,2.14
22,Valencia,Open de Tenis Comunidad Valenciana,10/04/07,International,Outdoor,Clay,1st Round,3,Almagro N.,Hajek J.,31,85,940,487,6,2,6,1,,,,,,,2,0,Completed,1.06,8,1.08,7.25,1.05,7.25,1.085,10.75,1.08,7.5
22,Valencia,Open de Tenis Comunidad Valenciana,10/04/07,International,Outdoor,Clay,1st Round,3,di Mauro A.,Fornell M.,98,284,441,132,6,4,6,7,6,3,,,,,2,1,Completed,1.44,2.62,,,,,1.588,2.6,1.5,2.5
22,Valencia,Open de Tenis Comunidad Valenciana,10/04/07,International,Outdoor,Clay,1st Round,3,Volandri F.,Andreev I.,53,233,672,170,6,4,7,6,,,,,,,2,0,Completed,2.2,1.61,2.3,1.6,2.3,1.6,2.46,1.641,2.1,1.7
