ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,EXW,EXL,IWW,IWL,PSW,PSL
61,Vienna,CA Tennis Trophy,11/10/04,International Gold,Indoor,Hard,1st Round,3,Canas G.,Knowle J.,26,255,6,2,6,4,,,,,,,2,0,Completed,1.1,6.5,1.09,6.5,1.15,5.2,1.1,4.5,1.146,6.25
61,Vienna,CA Tennis Trophy,11/10/04,International Gold,Indoor,Hard,1st Round,3,de Voest R.,Tipsarevic J.,213,106,6,3,6,4,,,,,,,2,0,Completed,,,1.93,1.83,2.1,1.7,1.65,1.85,2.09,1.775
61,Vienna,CA Tennis Trophy,11/10/04,International Gold,Indoor,Hard,1st Round,3,Ginepri R.,Starace P.,57,77,4,6,7,6,6,4,,,,,2,1,Completed,1.4,2.75,1.48,2.6,1.5,2.45,1.4,2.3,1.526,2.7
61,Vienna,CA Tennis Trophy,11/10/04,International Gold,Indoor,Hard,1st Round,3,Lopez F.,Calleri A.,31,56,1,6,7,5,6,3,,,,,2,1,Completed,1.615,2.2,1.67,2.15,1.75,2,1.5,2.1,1.775,2.09
61,Vienna,CA Tennis Trophy,11/10/04,International Gold,Indoor,Hard,1st Round,3,Mayer F.,Chela J.I.,34,20,6,4,6,4,,,,,,,2,0,Completed,2.1,1.667,2.2,1.65,2.3,1.6,1.9,1.6,2.37,1.637
61,Vienna,CA Tennis Trophy,12/10/04,International Gold,Indoor,Hard,1st Round,3,Haas T.,Moodie W.,30,172,6,3,6,0,,,,,,,2,0,Completed,1.222,4,1.18,4.5,1.2,4.25,1.2,3.3,1.2,5
61,Vienna,CA Tennis Trophy,12/10/04,International Gold,Indoor,Hard,1st Round,3,Horna L.,Ferrer D.,41,38,6,3,6,2,,,,,,,2,0,Completed,2,1.727,2.1,1.7,2.05,1.75,1.8,1.7,2.16,1.735
61,Vienna,CA Tennis Trophy,12/10/04,International Gold,Indoor,Hard,1st Round,3,Koubek S.,Martin A.,96,65,7,5,6,1,,,,,,,2,0,Completed,1.444,2.625,1.4,2.85,1.35,3.1,1.4,2.3,1.377,3.25
61,Vienna,CA Tennis Trophy,12/10/04,International Gold,Indoor,Hard,1st Round,3,Massu N.,Kucera K.,11,114,6,4,6,7,6,4,,,,,2,1,Completed,1.833,1.833,2.1,1.7,2.25,1.6,1.6,1.9,2.15,1.741
61,Vienna,CA Tennis Trophy,12/10/04,International Gold,Indoor,Hard,1st Round,3,Nalbandian D.,Seppi A.,10,135,6,4,6,3,,,,,,,2,0,Completed,1.3,3.2,1.28,3.4,1.32,3.22,1.25,3,1.333,3.55
61,Vienna,CA Tennis Trophy,12/10/04,International Gold,Indoor,Hard,1st Round,3,Sanguinetti D.,Zabaleta M.,97,53,7,6,7,5,,,,,,,2,0,Completed,1.727,2,1.67,2.1,1.7,2.1,1.55,2,1.746,2.14
61,Vienna,CA Tennis Trophy,13/10/04,International Gold,Indoor,Hard,1st Round,3,Dent T.,Gruber K.,40,633,6,1,6,3,,,,,,,2,0,Completed,1.06,7.5,,,1.05,7.75,1.05,5,1.069,11.75
61,Vienna,CA Tennis Trophy,13/10/04,International Gold,Indoor,Hard,1st Round,3,Peya A.,Weiner G.,118,132,6,3,3,6,6,2,,,,,2,1,Completed,1.66,2.1,1.57,2.3,1.6,2.25,1.65,1.85,1.629,2.39
61,Vienna,CA Tennis Trophy,13/10/04,International Gold,Indoor,Hard,1st Round,3,Schuettler R.,Melzer J.,21,35,6,4,1,6,6,3,,,,,2,1,Completed,1.8,1.909,1.93,1.83,1.8,1.95,1.65,1.85,1.943,1.877
61,Vienna,CA Tennis Trophy,13/10/04,International Gold,Indoor,Hard,1st Round,3,Srichaphan P.,Costa A.,25,52,6,4,6,4,,,,,,,2,0,Completed,1.222,3.75,1.33,3.2,1.3,3.34,1.25,3,1.348,3.47
61,Vienna,CA Tennis Trophy,13/10/04,International Gold,Indoor,Hard,1st Round,3,Ulihrach B.,Enqvist T.,104,58,3,6,6,4,6,4,,,,,2,1,Completed,2.5,1.5,2.7,1.45,2.6,1.45,2.1,1.5,2.63,1.546
61,Vienna,CA Tennis Trophy,14/10/04,International Gold,Indoor,Hard,2nd Round,3,Canas G.,Dent T.,26,40,6,4,6,4,,,,,,,2,0,Completed,1.57,2.25,1.55,2.4,1.5,2.45,1.5,2.1,1.599,2.47
61,Vienna,CA Tennis Trophy,14/10/04,International Gold,Indoor,Hard,2nd Round,3,Ginepri R.,Srichaphan P.,57,25,6,2,6,1,,,,,,,2,0,Completed,2.62,1.44,2.4,1.55,2.45,1.5,2.3,1.4,2.68,1.532
61,Vienna,CA Tennis Trophy,14/10/04,International Gold,Indoor,Hard,2nd Round,3,Haas T.,Mayer F.,30,34,6,3,6,4,,,,,,,2,0,Completed,1.36,3,1.3,3.4,1.32,3.22,1.3,2.7,1.313,3.7
61,Vienna,CA Tennis Trophy,14/10/04,International Gold,Indoor,Hard,2nd Round,3,Lopez F.,Ulihrach B.,31,104,6,1,6,4,,,,,,,2,0,Completed,1.4,2.75,1.4,2.85,1.4,2.85,1.35,2.5,1.435,3
61,Vienna,CA Tennis Trophy,14/10/04,International Gold,Indoor,Hard,2nd Round,3,Massu N.,de Voest R.,11,213,6,4,6,2,,,,,,,2,0,Completed,1.25,3.75,1.25,3.8,1.3,3.35,1.3,2.7,1.293,3.91
61,Vienna,CA Tennis Trophy,14/10/04,International Gold,Indoor,Hard,2nd Round,3,Nalbandian D.,Koubek S.,10,96,6,2,7,6,,,,,,,2,0,Completed,1.5,2.5,1.6,2.3,1.6,2.3,1.45,2.2,1.662,2.31
61,Vienna,CA Tennis Trophy,14/10/04,International Gold,Indoor,Hard,2nd Round,3,Sanguinetti D.,Peya A.,97,118,7,5,6,4,,,,,,,2,0,Completed,,,1.67,2.15,1.7,2.1,1.55,2,1.714,2.2
61,Vienna,CA Tennis Trophy,14/10/04,International Gold,Indoor,Hard,2nd Round,3,Schuettler R.,Horna L.,21,41,7,5,4,6,6,3,,,,,2,1,Completed,,,1.6,2.3,1.65,2.15,1.55,2,1.667,2.3
61,Vienna,CA Tennis Trophy,15/10/04,International Gold,Indoor,Hard,Quarterfinals,3,Canas G.,Nalbandian D.,26,10,6,4,2,6,6,3,,,,,2,1,Completed,2,1.72,1.93,1.83,1.95,1.8,1.85,1.65,2.18,1.746
61,Vienna,CA Tennis Trophy,15/10/04,International Gold,Indoor,Hard,Quarterfinals,3,Haas T.,Ginepri R.,30,57,4,6,6,3,6,4,,,,,2,1,Completed,1.33,3.25,1.33,3.2,1.26,3.6,1.3,2.7,1.323,3.65
61,Vienna,CA Tennis Trophy,15/10/04,International Gold,Indoor,Hard,Quarterfinals,3,Lopez F.,Schuettler R.,31,21,6,4,6,4,,,,,,,2,0,Completed,1.8,1.9,1.83,1.93,1.85,1.9,1.75,1.75,1.746,2.18
61,Vienna,CA Tennis Trophy,15/10/04,International Gold,Indoor,Hard,Quarterfinals,3,Sanguinetti D.,Massu N.,97,11,6,4,6,3,,,,,,,2,0,Completed,3.75,1.25,3.55,1.28,3.72,1.25,3.3,1.2,3.65,1.317
61,Vienna,CA Tennis Trophy,16/10/04,International Gold,Indoor,Hard,Semifinals,3,Canas G.,Haas T.,26,30,6,4,6,3,,,,,,,2,0,Completed,1.9,1.8,1.93,1.83,1.87,1.87,1.85,1.75,1.877,1.98
61,Vienna,CA Tennis Trophy,16/10/04,International Gold,Indoor,Hard,Semifinals,3,Lopez F.,Sanguinetti D.,31,97,6,3,6,3,,,,,,,2,0,Completed,1.3,3.4,1.3,3.4,1.28,3.46,1.35,2.7,1.339,3.5
61,Vienna,CA Tennis Trophy,17/10/04,International Gold,Indoor,Hard,The Final,5,Lopez F.,Canas G.,31,26,6,4,1,6,7,5,3,6,7,5,3,2,Completed,2.37,1.53,2.65,1.48,2.75,1.42,2.5,1.4,2.76,1.51
