ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,EXW,EXL,PSW,PSL,UBW,UBL
61,Vienna,BA-CA Tennis Trophy,09/10/06,International Gold,Indoor,Hard,1st Round,3,Gonzalez F.,Simon G.,10,43,1850,811,7,6,6,4,,,,,,,2,0,Completed,1.16,4.5,1.18,4.65,1.2,4.25,1.2,5.5,1.2,4.3
61,Vienna,BA-CA Tennis Trophy,09/10/06,International Gold,Indoor,Hard,1st Round,3,Wawrinka S.,Cilic M.,44,188,803,213,6,4,6,1,,,,,,,2,0,Completed,1.36,2.87,1.33,3.2,1.37,2.92,1.465,2.95,1.37,3
61,Vienna,BA-CA Tennis Trophy,09/10/06,International Gold,Indoor,Hard,1st Round,3,Marach O.,Eitzinger R.,102,205,417,195,2,6,7,5,7,6,,,,,2,1,Completed,1.36,2.87,1.45,2.7,1.4,2.85,1.481,2.88,1.42,2.78
61,Vienna,BA-CA Tennis Trophy,09/10/06,International Gold,Indoor,Hard,1st Round,3,Hrbaty D.,Bolelli S.,27,127,1043,348,6,2,6,4,,,,,,,2,0,Completed,1.25,3.5,1.3,3.4,1.25,3.75,1.286,4.2,1.3,3.4
61,Vienna,BA-CA Tennis Trophy,09/10/06,International Gold,Indoor,Hard,1st Round,3,Mayer F.,di Mauro A.,57,97,705,434,6,2,6,0,,,,,,,2,0,Completed,1.14,5,1.1,6.5,1.13,5.5,1.123,8.35,1.14,5.3
61,Vienna,BA-CA Tennis Trophy,10/10/06,International Gold,Indoor,Hard,1st Round,3,Haas T.,Fischer M.,14,448,1700,65,7,6,6,2,,,,,,,2,0,Completed,1.03,9,,,1.03,10.5,1.052,15.26,1.03,12
61,Vienna,BA-CA Tennis Trophy,10/10/06,International Gold,Indoor,Hard,1st Round,3,Nalbandian D.,Chela J.I.,4,33,2900,915,6,7,6,2,6,2,,,,,2,1,Completed,1.25,3.5,1.25,3.85,1.26,3.59,1.327,3.76,1.27,3.6
61,Vienna,BA-CA Tennis Trophy,10/10/06,International Gold,Indoor,Hard,1st Round,3,Koubek S.,Gremelmayr D.,88,114,457,381,6,1,6,0,,,,,,,2,0,Completed,1.39,2.75,1.42,2.8,1.37,2.92,1.461,2.97,1.45,2.68
61,Vienna,BA-CA Tennis Trophy,10/10/06,International Gold,Indoor,Hard,1st Round,3,Ljubicic I.,Calleri A.,3,29,3190,1003,7,6,6,2,,,,,,,2,0,Completed,1.16,4.5,1.22,4.1,1.23,3.89,1.267,4.45,1.25,3.75
61,Vienna,BA-CA Tennis Trophy,10/10/06,International Gold,Indoor,Hard,1st Round,3,Kubot L.,Grosjean S.,132,31,330,980,6,4,6,3,,,,,,,2,0,Completed,4,1.19,4.4,1.2,4.67,1.17,5,1.227,4.3,1.2
61,Vienna,BA-CA Tennis Trophy,10/10/06,International Gold,Indoor,Hard,1st Round,3,Baghdatis M.,Ramirez-Hidalgo R.,9,52,2066,738,6,3,3,6,6,4,,,,,2,1,Completed,1.14,5,1.18,4.65,1.17,4.67,1.2,5.5,1.22,4.1
61,Vienna,BA-CA Tennis Trophy,10/10/06,International Gold,Indoor,Hard,1st Round,3,Moya C.,Almagro N.,42,38,825,855,3,6,6,3,7,6,,,,,2,1,Completed,1.39,2.75,1.45,2.7,1.5,2.45,1.51,2.81,1.43,2.72
61,Vienna,BA-CA Tennis Trophy,11/10/06,International Gold,Indoor,Hard,1st Round,3,Gasquet R.,Falla A.,28,112,1035,383,7,6,6,3,,,,,,,2,0,Completed,1.1,6,1.1,6.5,1.1,6.75,1.13,7.98,1.13,5.6
61,Vienna,BA-CA Tennis Trophy,11/10/06,International Gold,Indoor,Hard,1st Round,3,Djokovic N.,Zib T.,16,146,1350,310,6,3,6,4,,,,,,,2,0,Completed,1.08,6.5,1.08,7.25,1.1,6.75,1.111,8.75,1.1,6.6
