WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,SJW,SJL,UBW,UBL
25,Warsaw,Warsaw Open,18/05/09,Premier,Outdoor,Clay,1st Round,3,Keothavong A.,Mattek-Sands B.,56,45,1135,1356,6,2,7,6,,,2,0,Completed,2.5,1.5,2.35,1.55,2.25,1.571,2.38,1.53,2.52,1.5
25,Warsaw,Warsaw Open,18/05/09,Premier,Outdoor,Clay,1st Round,3,Zheng J.,Govortsova O.,15,69,2687,864,4,6,7,6,6,3,2,1,Completed,1.16,4.5,1.17,4.67,1.167,4.5,1.2,4,1.18,4.6
25,Warsaw,Warsaw Open,18/05/09,Premier,Outdoor,Clay,1st Round,3,Domachowska M.,Amanmuradova A.,92,100,682,638,6,2,6,1,,,2,0,Completed,1.4,2.75,1.45,2.6,1.533,2.375,1.4,2.75,1.5,2.52
25,Warsaw,Warsaw Open,18/05/09,Premier,Outdoor,Clay,1st Round,3,Bondarenko K.,Pironkova T.,65,58,926,1004,7,5,6,2,,,2,0,Completed,1.72,2,1.67,2.12,1.8,1.909,1.73,2,1.75,2.03
25,Warsaw,Warsaw Open,18/05/09,Premier,Outdoor,Clay,1st Round,3,Sharapova M.,Garbin T.,126,68,520,893,6,1,6,7,6,3,2,1,Completed,1.33,3.25,1.35,3.1,1.3,3.4,1.3,3.2,1.34,3.15
25,Warsaw,Warsaw Open,18/05/09,Premier,Outdoor,Clay,1st Round,3,Goerges J.,Wozniak A.,87,24,713,1854,7,6,6,3,,,2,0,Completed,3.75,1.25,3.35,1.3,3.4,1.3,3.2,1.3,3.55,1.28
25,Warsaw,Warsaw Open,18/05/09,Premier,Outdoor,Clay,1st Round,3,Bondarenko A.,Piter K.,39,449,1470,79,6,0,6,0,,,2,0,Completed,1.06,8,1.07,7.19,1.083,7,1.071,7,1.08,7.5
25,Warsaw,Warsaw Open,19/05/09,Premier,Outdoor,Clay,1st Round,3,Errani S.,Arn G.,44,205,1373,278,6,2,1,6,7,6,2,1,Completed,1.4,2.75,1.42,2.75,,,1.4,2.75,,
25,Warsaw,Warsaw Open,19/05/09,Premier,Outdoor,Clay,1st Round,3,Craybas J.,Gallovits E.,93,78,677,779,3,6,7,5,6,3,2,1,Completed,2.2,1.61,2.15,1.65,2.2,1.615,2.2,1.615,2.2,1.64
25,Warsaw,Warsaw Open,19/05/09,Premier,Outdoor,Clay,1st Round,3,Olaru I.,Dokic J.,106,72,592,846,6,4,6,3,,,2,0,Completed,3,1.36,2.65,1.45,,,2.63,1.44,,
25,Warsaw,Warsaw Open,19/05/09,Premier,Outdoor,Clay,1st Round,3,Hantuchova D.,Llagostera Vives N.,36,86,1484,728,3,6,6,3,6,3,2,1,Completed,1.16,4.5,1.25,3.75,1.222,4,1.222,3.75,1.23,4
25,Warsaw,Warsaw Open,19/05/09,Premier,Outdoor,Clay,1st Round,3,Kustova D.,Tvaroskova L.,209,222,272,252,6,4,6,1,,,2,0,Completed,1.44,2.62,,,1.4,2.75,,,1.4,2.85
25,Warsaw,Warsaw Open,19/05/09,Premier,Outdoor,Clay,1st Round,3,Dulgheru A.,Szatmari A.,201,333,283,131,6,3,6,4,,,2,0,Completed,1.3,3.4,,,1.3,3.4,,,1.28,3.5
25,Warsaw,Warsaw Open,19/05/09,Premier,Outdoor,Clay,1st Round,3,Zakopalova K.,Czink M.,116,61,565,972,3,6,6,4,6,3,2,1,Completed,2.37,1.53,2.45,1.5,2.25,1.571,2.38,1.53,2.44,1.53
25,Warsaw,Warsaw Open,19/05/09,Premier,Outdoor,Clay,1st Round,3,Radwanska U.,Koryttseva M.,81,90,758,694,6,3,3,6,6,3,2,1,Completed,2.2,1.61,2.38,1.55,2.2,1.61,2.1,1.67,2.22,1.63
25,Warsaw,Warsaw Open,19/05/09,Premier,Outdoor,Clay,1st Round,3,Voskoboeva G.,Mayr P.,95,70,668,862,6,4,6,1,,,2,0,Completed,2.62,1.44,2.45,1.5,2.5,1.5,2.5,1.5,2.44,1.53
25,Warsaw,Warsaw Open,20/05/09,Premier,Outdoor,Clay,2nd Round,3,Bondarenko A.,Domachowska M.,39,92,1470,682,6,3,6,1,,,2,0,Completed,1.25,3.75,1.28,3.46,1.286,3.5,1.286,3.25,1.28,3.5
25,Warsaw,Warsaw Open,20/05/09,Premier,Outdoor,Clay,2nd Round,3,Dulgheru A.,Errani S.,201,44,283,1373,6,4,6,3,,,2,0,Completed,3.25,1.33,3.3,1.3,3,1.364,3.5,1.22,3.8,1.24
25,Warsaw,Warsaw Open,20/05/09,Premier,Outdoor,Clay,2nd Round,3,Keothavong A.,Craybas J.,56,93,1135,677,3,6,6,3,6,1,2,1,Completed,1.66,2.1,1.7,2.1,1.667,2.1,1.667,2.1,1.7,2.1
25,Warsaw,Warsaw Open,20/05/09,Premier,Outdoor,Clay,2nd Round,3,Sharapova M.,Kustova D.,126,209,520,272,6,2,6,0,,,2,0,Completed,1.05,9,1.06,8,1.071,7.5,1.04,10,1.08,7.5
25,Warsaw,Warsaw Open,20/05/09,Premier,Outdoor,Clay,2nd Round,3,Voskoboeva G.,Bondarenko K.,95,65,668,926,6,4,7,6,,,2,0,Completed,3.25,1.33,3.4,1.3,3.25,1.333,2.875,1.364,3.1,1.35
25,Warsaw,Warsaw Open,20/05/09,Premier,Outdoor,Clay,2nd Round,3,Zakopalova K.,Zheng J.,116,15,565,2687,6,0,6,4,,,2,0,Completed,3.75,1.25,3.75,1.25,3.75,1.25,,,3.5,1.28
25,Warsaw,Warsaw Open,20/05/09,Premier,Outdoor,Clay,2nd Round,3,Hantuchova D.,Radwanska U.,36,81,1484,758,6,3,6,1,,,2,0,Completed,1.25,3.75,1.28,3.46,1.22,4,1.3,3.2,1.32,3.25
25,Warsaw,Warsaw Open,20/05/09,Premier,Outdoor,Clay,2nd Round,3,Olaru I.,Goerges J.,106,87,592,713,6,3,0,6,7,6,2,1,Completed,2.2,1.61,2.3,1.6,2.2,1.615,2.2,1.62,2.16,1.66
25,Warsaw,Warsaw Open,21/05/09,Premier,Outdoor,Clay,Quarterfinals,3,Keothavong A.,Olaru I.,56,106,1135,592,6,0,6,1,,,2,0,Completed,1.83,1.83,1.85,1.9,1.833,1.833,1.83,1.83,1.82,1.94
25,Warsaw,Warsaw Open,21/05/09,Premier,Outdoor,Clay,Quarterfinals,3,Dulgheru A.,Voskoboeva G.,201,95,283,668,6,1,7,5,,,2,0,Completed,1.83,1.83,1.9,1.85,1.833,1.833,1.83,1.83,1.88,1.88
25,Warsaw,Warsaw Open,21/05/09,Premier,Outdoor,Clay,Quarterfinals,3,Bondarenko A.,Sharapova M.,39,126,1470,520,6,2,6,2,,,2,0,Completed,2.25,1.57,2.15,1.65,2.2,1.615,2.1,1.73,2.04,1.74
25,Warsaw,Warsaw Open,21/05/09,Premier,Outdoor,Clay,Quarterfinals,3,Hantuchova D.,Zakopalova K.,36,116,1484,565,6,3,4,6,6,4,2,1,Completed,1.3,3.4,1.32,3.22,1.3,3.4,1.333,3,1.32,3.25
25,Warsaw,Warsaw Open,22/05/09,Premier,Outdoor,Clay,Semifinals,3,Dulgheru A.,Hantuchova D.,201,36,283,1484,6,4,6,7,6,1,2,1,Completed,4.33,1.2,4.1,1.22,4,1.22,4,1.222,4,1.23
25,Warsaw,Warsaw Open,22/05/09,Premier,Outdoor,Clay,Semifinals,3,Bondarenko A.,Keothavong A.,39,56,1470,1135,6,2,7,5,,,2,0,Completed,1.16,4.5,1.2,4.25,1.222,4,1.2,4.333,1.24,3.9
25,Warsaw,Warsaw Open,23/05/09,Premier,Outdoor,Clay,The Final,3,Dulgheru A.,Bondarenko A.,201,39,283,1470,7,6,3,6,6,0,2,1,Completed,5,1.16,4.45,1.18,4.333,1.2,4.5,1.17,4.35,1.2
