WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL
26,Warsaw,Warsaw Open,17/05/10,Premier,Outdoor,Clay,1st Round,3,Bondarenko A.,Vinci R.,28,60,1900,1095,6,3,6,1,,,2,0,Completed,1.4,2.75,1.4,2.8,1.4,2.75,1.54,2.69,1.4,2.75,1.54,3.03,1.45,2.66
26,Warsaw,Warsaw Open,17/05/10,Premier,Outdoor,Clay,1st Round,3,Dulgheru A.,Bondarenko K.,32,33,1675,1600,6,3,6,1,,,2,0,Completed,1.2,4.33,1.25,3.75,1.28,3.5,1.28,4.26,1.25,3.5,1.32,4.75,1.24,3.79
26,Warsaw,Warsaw Open,18/05/10,Premier,Outdoor,Clay,1st Round,3,Li N.,Olaru I.,12,80,3316,835,7,6,6,0,,,2,0,Completed,1.11,6,1.16,4.75,1.14,5,1.17,6,1.14,5,1.17,6.59,1.15,5.12
26,Warsaw,Warsaw Open,18/05/10,Premier,Outdoor,Clay,1st Round,3,Arn G.,Martic P.,205,66,249,978,7,5,6,7,6,3,2,1,Completed,2.5,1.5,,,2.25,1.57,,,,,2.59,1.67,2.36,1.56
26,Warsaw,Warsaw Open,18/05/10,Premier,Outdoor,Clay,1st Round,3,Zahlavova Strycova B.,Klepac A.,73,555,883,46,6,3,6,1,,,2,0,Completed,,,,,,,,,,,,,,
26,Warsaw,Warsaw Open,18/05/10,Premier,Outdoor,Clay,1st Round,3,Garbin T.,Benesova I.,56,53,1190,1240,6,3,6,4,,,2,0,Completed,3.25,1.33,3.1,1.33,3.25,1.33,3.23,1.42,3.25,1.29,3.25,1.42,2.99,1.36
26,Warsaw,Warsaw Open,18/05/10,Premier,Outdoor,Clay,1st Round,3,Zheng J.,Govortsova O.,26,38,2065,1510,6,1,5,7,7,5,2,1,Completed,1.83,1.83,1.85,1.9,1.83,1.83,2.04,1.88,1.73,2,2.04,2.04,1.85,1.89
26,Warsaw,Warsaw Open,18/05/10,Premier,Outdoor,Clay,1st Round,3,Zakopalova K.,Bartoli M.,78,14,848,3186,4,6,6,1,6,2,2,1,Completed,2.25,1.57,2.2,1.65,2.2,1.62,2.24,1.73,2.25,1.57,2.4,1.73,2.21,1.62
26,Warsaw,Warsaw Open,18/05/10,Premier,Outdoor,Clay,1st Round,3,Piter K.,Domachowska M.,339,57,123,804,7,6,4,6,7,5,2,1,Completed,2.75,1.4,2.8,1.4,2.75,1.4,2.89,1.48,2.88,1.36,2.93,1.5,2.73,1.41
26,Warsaw,Warsaw Open,18/05/10,Premier,Outdoor,Clay,1st Round,3,Errani S.,Jovanovski B.,35,109,1560,586,6,1,6,0,,,2,0,Completed,1.22,4,,,1.29,3.5,,,1.29,3.25,1.29,4.27,1.24,3.78
26,Warsaw,Warsaw Open,18/05/10,Premier,Outdoor,Clay,1st Round,3,Hercog P.,Kerber A.,55,64,1220,1068,6,2,6,3,,,2,0,Completed,1.44,2.62,1.5,2.5,1.57,2.25,1.57,2.61,1.44,2.63,1.57,2.7,1.52,2.46
26,Warsaw,Warsaw Open,18/05/10,Premier,Outdoor,Clay,1st Round,3,Pironkova T.,Wozniak A.,100,46,639,1365,6,4,6,1,,,2,0,Completed,1.44,2.62,,,1.44,2.63,,,1.44,2.63,1.55,2.7,1.5,2.49
26,Warsaw,Warsaw Open,18/05/10,Premier,Outdoor,Clay,1st Round,3,Bacsinszky T.,Begu I.,43,209,1442,246,6,0,6,2,,,2,0,Completed,1.2,4.33,,,1.22,4,1.28,4.24,1.22,3.75,1.28,4.5,1.22,4.07
26,Warsaw,Warsaw Open,18/05/10,Premier,Outdoor,Clay,1st Round,3,Rybarikova M.,Oudin M.,51,37,1275,1510,6,0,6,2,,,2,0,Completed,3,1.36,2.8,1.4,2.63,1.44,3.11,1.43,2.63,1.44,3.11,1.44,2.82,1.4
26,Warsaw,Warsaw Open,19/05/10,Premier,Outdoor,Clay,2nd Round,3,Arn G.,Zakopalova K.,205,78,249,848,6,4,6,4,,,2,0,Completed,3,1.36,2.8,1.4,2.75,1.4,2.9,1.48,2.63,1.44,3,1.48,2.82,1.4
26,Warsaw,Warsaw Open,19/05/10,Premier,Outdoor,Clay,2nd Round,3,Li N.,Piter K.,12,339,3316,123,6,0,6,3,,,2,0,Completed,1.06,8,1.1,6,1.08,7,1.13,8.01,1.07,7,1.13,9,1.08,7.13
26,Warsaw,Warsaw Open,19/05/10,Premier,Outdoor,Clay,2nd Round,3,Dulgheru A.,Bacsinszky T.,32,43,1675,1442,6,2,6,4,,,2,0,Completed,1.36,3,1.4,2.8,1.36,3,1.41,3.29,1.29,3.25,1.41,3.35,1.35,3.05
26,Warsaw,Warsaw Open,19/05/10,Premier,Outdoor,Clay,2nd Round,3,Pironkova T.,Dementieva E.,100,5,639,4830,7,5,4,6,6,4,2,1,Completed,4.5,1.16,4.5,1.18,4.5,1.17,4.55,1.25,4,1.2,5,1.25,4.38,1.19
26,Warsaw,Warsaw Open,19/05/10,Premier,Outdoor,Clay,2nd Round,3,Bondarenko A.,Zahlavova Strycova B.,28,73,1900,883,6,2,6,4,,,2,0,Completed,1.12,5.5,1.15,5,1.17,4.5,1.15,6.42,,,1.22,6.42,1.14,5.26
26,Warsaw,Warsaw Open,19/05/10,Premier,Outdoor,Clay,2nd Round,3,Errani S.,Rybarikova M.,35,51,1560,1275,7,6,6,3,,,2,0,Completed,1.36,3,1.33,3.1,1.4,2.75,1.42,3.19,1.33,3,1.42,3.25,1.36,2.99
26,Warsaw,Warsaw Open,19/05/10,Premier,Outdoor,Clay,2nd Round,3,Zheng J.,Garbin T.,26,56,2065,1190,6,1,6,1,,,2,0,Completed,1.5,2.5,1.5,2.5,1.5,2.5,1.65,2.43,1.53,2.38,1.66,2.55,1.54,2.39
26,Warsaw,Warsaw Open,19/05/10,Premier,Outdoor,Clay,2nd Round,3,Wozniacki C.,Hercog P.,3,55,5630,1220,2,6,6,3,6,4,2,1,Completed,1.33,3.25,1.35,3.1,1.33,3.25,1.4,3.28,1.33,3.2,1.4,3.5,1.35,3.09
26,Warsaw,Warsaw Open,20/05/10,Premier,Outdoor,Clay,Quarterfinals,3,Li N.,Errani S.,12,35,3316,1560,6,2,6,1,,,2,0,Completed,1.33,3.25,1.4,2.8,1.36,3,1.38,3.36,1.4,2.88,1.4,3.48,1.35,3.09
26,Warsaw,Warsaw Open,20/05/10,Premier,Outdoor,Clay,Quarterfinals,3,Zheng J.,Wozniacki C.,26,3,2065,5630,6,3,,,,,1,0,Retired,2.2,1.61,2.25,1.6,2.2,1.62,2.27,1.72,2.25,1.62,2.3,1.73,2.16,1.65
26,Warsaw,Warsaw Open,20/05/10,Premier,Outdoor,Clay,Quarterfinals,3,Dulgheru A.,Pironkova T.,32,100,1675,639,6,4,7,5,,,2,0,Completed,1.33,3.25,1.3,3.3,1.3,3.4,1.35,3.58,1.29,3.5,1.42,3.58,1.32,3.25
26,Warsaw,Warsaw Open,20/05/10,Premier,Outdoor,Clay,Quarterfinals,3,Arn G.,Bondarenko A.,205,28,249,1900,5,7,6,4,6,4,2,1,Completed,4.5,1.16,4.05,1.2,4.5,1.17,4.55,1.25,4.33,1.2,4.64,1.27,4.26,1.2
26,Warsaw,Warsaw Open,21/05/10,Premier,Outdoor,Clay,Semifinals,3,Dulgheru A.,Li N.,32,12,1675,3316,6,4,3,6,6,4,2,1,Completed,2.75,1.4,2.6,1.45,2.63,1.44,2.75,1.53,2.75,1.44,2.92,1.53,2.63,1.46
26,Warsaw,Warsaw Open,21/05/10,Premier,Outdoor,Clay,Semifinals,3,Zheng J.,Arn G.,26,205,2065,249,6,4,7,5,,,2,0,Completed,1.28,3.5,1.3,3.3,1.29,3.5,1.31,3.89,1.25,3.75,1.32,4,1.27,3.58
26,Warsaw,Warsaw Open,22/05/10,Premier,Outdoor,Clay,The Final,3,Dulgheru A.,Zheng J.,32,26,1675,2065,6,3,6,4,,,2,0,Completed,1.53,2.5,1.55,2.35,1.57,2.25,1.67,2.37,1.53,2.5,1.67,2.65,1.44,2.4
