ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,GBW,GBL,IWW,IWL,SBW,SBL
49,Washington,Legg Mason Classic,12/08/02,International Gold,Outdoor,Hard,1st Round,3,Bryan B.,Udomchoke D.,249,221,6,3,6,7,6,1,,,,,2,1,Completed,1.667,2.1,1.7,2.1,1.8,1.94,1.75,1.75,1.615,2.2
49,Washington,Legg Mason Classic,12/08/02,International Gold,Outdoor,Hard,1st Round,3,Burgsmuller L.,Godwin N.,85,209,6,3,6,3,,,,,,,2,0,Completed,1.533,2.375,1.42,2.75,1.48,2.4,1.45,2.2,1.533,2.375
49,Washington,Legg Mason Classic,12/08/02,International Gold,Outdoor,Hard,1st Round,3,Chang M.,Lee M.,96,167,6,4,4,6,6,3,,,,,2,1,Completed,1.4,2.75,1.4,2.8,1.37,2.75,1.35,2.5,1.4,2.75
49,Washington,Legg Mason Classic,12/08/02,International Gold,Outdoor,Hard,1st Round,3,Coria G.,Black W.,84,358,7,5,7,6,,,,,,,2,0,Completed,1.444,2.625,1.5,2.5,1.45,2.59,1.4,2.3,1.533,2.375
49,Washington,Legg Mason Classic,12/08/02,International Gold,Outdoor,Hard,1st Round,3,Dancevic F.,Davydenko N.,587,90,6,4,6,7,6,3,,,,,2,1,Completed,3,1.333,2.55,1.48,2.95,1.42,2.7,1.3,2.625,1.444
49,Washington,Legg Mason Classic,12/08/02,International Gold,Outdoor,Hard,1st Round,3,Gimelstob J.,Carlsen K.,136,106,6,3,6,3,,,,,,,2,0,Completed,2.1,1.667,2.2,1.62,2,1.7,1.8,1.7,2.1,1.667
49,Washington,Legg Mason Classic,12/08/02,International Gold,Outdoor,Hard,1st Round,3,Golmard J.,Gambill J.M.,91,57,7,6,1,6,6,4,,,,,2,1,Completed,,,3.3,1.3,3.22,1.27,3,1.25,3.25,1.286
49,Washington,Legg Mason Classic,12/08/02,International Gold,Outdoor,Hard,1st Round,3,Gonzalez F.,Labadze I.,27,97,6,4,6,3,,,,,,,2,0,Completed,,,,,,,,,,
49,Washington,Legg Mason Classic,12/08/02,International Gold,Outdoor,Hard,1st Round,3,Kim A.,Saretta F.,112,72,6,4,7,6,,,,,,,2,0,Completed,2.2,1.615,2.1,1.7,2.3,1.56,2.1,1.5,2.1,1.667
49,Washington,Legg Mason Classic,12/08/02,International Gold,Outdoor,Hard,1st Round,3,Kim K.,Spracklin T.,201,882,6,1,5,1,,,,,,,1,0,Retired,1.286,3.25,,,1.25,3.22,1.25,3,,
49,Washington,Legg Mason Classic,12/08/02,International Gold,Outdoor,Hard,1st Round,3,Kucera K.,Mamiit C.,73,118,7,6,6,3,,,,,,,2,0,Completed,1.667,2.1,1.85,1.9,1.65,2.15,1.6,1.9,1.615,2.2
49,Washington,Legg Mason Classic,12/08/02,International Gold,Outdoor,Hard,1st Round,3,Martin T.,Galvani S.,47,108,6,3,3,6,6,3,,,,,2,1,Completed,1.167,4.5,1.18,4.5,1.15,4.5,1.2,3.3,1.167,4.333
49,Washington,Legg Mason Classic,12/08/02,International Gold,Outdoor,Hard,1st Round,3,Meligeni F.,Suzuki T.,61,119,6,4,7,6,,,,,,,2,0,Completed,1.667,2.1,1.68,2.1,1.68,2.12,1.6,1.9,1.667,2.1
49,Washington,Legg Mason Classic,12/08/02,International Gold,Outdoor,Hard,1st Round,3,Ogorodov O.,Varlet J.,139,185,7,6,6,4,,,,,,,2,0,Completed,1.667,2.1,1.85,1.9,1.62,2.05,1.65,1.85,1.667,2.1
49,Washington,Legg Mason Classic,12/08/02,International Gold,Outdoor,Hard,1st Round,3,Okun N.,Goldstein P.,113,188,7,6,7,6,,,,,,,2,0,Completed,1.667,2.1,1.6,2.25,1.65,2.1,1.65,1.85,1.727,2
