ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,EXW,EXL,IWW,IWL,PSW,PSL
48,Washington,Legg Mason Classic,16/08/04,International,Outdoor,Clay,1st Round,3,Hewitt L.,Carlsen K.,8,94,6,1,6,2,,,,,,,2,0,Completed,1.063,7.5,1.08,7,1.07,7.19,1.05,5,1.057,14.07
48,Washington,Legg Mason Classic,16/08/04,International,Outdoor,Clay,1st Round,3,Muller G.,Schalken S.,124,25,6,1,0,1, ,,,,,,1,0,Retired,3.25,1.286,3.45,1.28,3.59,1.26,3,1.25,3.6,1.328
48,Washington,Legg Mason Classic,16/08/04,International,Outdoor,Clay,1st Round,3,Falla A.,Gimelstob J.,120,257,3,6,6,4,6,3,,,,,2,1,Completed,1.8,1.909,1.75,2,1.7,2.1,1.7,1.8,1.735,2.16
48,Washington,Legg Mason Classic,16/08/04,International,Outdoor,Clay,1st Round,3,Ginepri R.,Corretja A.,54,91,7,6,4,6,6,3,,,,,2,1,Completed,1.2,4,1.2,4.2,1.2,4.25,1.25,3,1.264,4.24
48,Washington,Legg Mason Classic,16/08/04,International,Outdoor,Clay,1st Round,3,Sluiter R.,Martin T.,102,96,6,7,7,6,7,6,,,,,2,1,Completed,2.25,1.571,2.15,1.65,2.25,1.6,1.9,1.6,2.23,1.699
48,Washington,Legg Mason Classic,16/08/04,International,Outdoor,Clay,1st Round,3,Tursunov D.,Patience O.,68,95,5,7,6,4,6,4,,,,,2,1,Completed,1.667,2.1,1.67,2.1,1.64,2.17,1.55,2,1.633,2.38
48,Washington,Legg Mason Classic,17/08/04,International,Outdoor,Clay,1st Round,3,Agassi A.,Goldstein P.,6,157,6,4,6,2,,,,,,,2,0,Completed,1.04,9,1.04,9,1.06,7.79,1.05,5,1.083,9.99
48,Washington,Legg Mason Classic,17/08/04,International,Outdoor,Clay,1st Round,3,Gambill J.M.,Koubek S.,80,97,7,5,6,4,,,,,,,2,0,Completed,1.667,2.1,1.75,2,1.7,2.1,1.6,1.9,1.82,2.02
48,Washington,Legg Mason Classic,17/08/04,International,Outdoor,Clay,1st Round,3,Garcia A.,Blake J.,105,63,6,1,6,4,,,,,,,2,0,Completed,3.25,1.28,3,1.36,3.1,1.35,2.7,1.3,3.59,1.334
48,Washington,Legg Mason Classic,17/08/04,International,Outdoor,Clay,1st Round,3,Kratochvil M.,Salzenstein J.,153,159,6,4,7,6,,,,,,,2,0,Completed,1.727,2,1.75,2,1.55,2.35,1.5,2.1,1.704,2.22
48,Washington,Legg Mason Classic,17/08/04,International,Outdoor,Clay,1st Round,3,Mathieu P.H.,Yoo D.,98,N/A,6,2,6,2,,,,,,,2,0,Completed,,,,,,,1.05,5,,
48,Washington,Legg Mason Classic,17/08/04,International,Outdoor,Clay,1st Round,3,Saulnier C.,Dupuis A.,64,84,6,3,6,4,,,,,,,2,0,Completed,1.4,2.75,1.5,2.5,1.5,2.45,1.45,2.2,1.474,2.86
48,Washington,Legg Mason Classic,17/08/04,International,Outdoor,Clay,1st Round,3,Elseneer G.,Wang Y.T.,109,174,2,6,7,6,6,4,,,,,2,1,Completed,1.66,2.1,1.75,2,1.7,2.1,1.55,2,1.769,2.1
48,Washington,Legg Mason Classic,17/08/04,International,Outdoor,Clay,1st Round,3,Levy H.,Zimonjic N.,143,374,6,7,7,5,6,3,,,,,2,1,Completed,2.2,1.61,2.25,1.6,2.35,1.55,1.75,1.75,2.16,1.735
48,Washington,Legg Mason Classic,17/08/04,International,Outdoor,Clay,1st Round,3,Martin A.,Ferreira W.,57,108,4,6,6,4,7,6,,,,,2,1,Completed,2.2,1.615,2.1,1.67,2.15,1.65,2.1,1.5,2.18,1.725
48,Washington,Legg Mason Classic,17/08/04,International,Outdoor,Clay,1st Round,3,Pless K.,Baker B.,393,182,6,3,3,6,7,6,,,,,2,1,Completed,2,1.727,1.91,1.83,1.95,1.8,1.75,1.75,1.99,1.84
48,Washington,Legg Mason Classic,18/08/04,International,Outdoor,Clay,2nd Round,3,Hewitt L.,Falla A.,8,120,6,3,6,2,,,,,,,2,0,Completed,1.05,9,1.06,8,1.05,7.75,1.05,5,1.064,12.6
48,Washington,Legg Mason Classic,18/08/04,International,Outdoor,Clay,2nd Round,3,Saulnier C.,Elseneer G.,64,109,6,3,7,6,,,,,,,2,0,Completed,1.364,3,1.4,2.75,1.4,2.85,1.5,2.1,1.417,3.05
48,Washington,Legg Mason Classic,18/08/04,International,Outdoor,Clay,2nd Round,3,Ginepri R.,Levy H.,54,143,4,6,6,2,6,1,,,,,2,1,Completed,1.167,4.5,1.18,4.5,1.26,3.59,1.25,3,1.222,4.7
48,Washington,Legg Mason Classic,18/08/04,International,Outdoor,Clay,2nd Round,3,Sluiter R.,Martin A.,102,57,7,6,5,7,7,6,,,,,2,1,Completed,1.667,2.1,1.67,2.1,1.65,2.2,1.6,1.9,1.741,2.15
48,Washington,Legg Mason Classic,19/08/04,International,Outdoor,Clay,2nd Round,3,Agassi A.,Pless K.,6,393,6,4,6,2,,,,,,,2,0,Completed,1.05,9,1.04,9,1.04,9.25,1.05,5,1.057,14
48,Washington,Legg Mason Classic,19/08/04,International,Outdoor,Clay,2nd Round,3,Kratochvil M.,Tursunov D.,153,68,7,6,7,6,,,,,,,2,0,Completed,2,1.727,1.95,1.8,1.9,1.85,1.75,1.75,1.901,1.917
48,Washington,Legg Mason Classic,19/08/04,International,Outdoor,Clay,2nd Round,3,Mathieu P.H.,Garcia A.,98,105,7,6,6,4,,,,,,,2,0,Completed,,,1.65,2.15,1.55,2.35,1.55,2,1.667,2.3
48,Washington,Legg Mason Classic,19/08/04,International,Outdoor,Clay,2nd Round,3,Muller G.,Gambill J.M.,124,80,7,5,5,7,6,2,,,,,2,1,Completed,2.625,1.444,2.45,1.5,2.45,1.5,2.3,1.4,2.75,1.5
