ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,EXW,EXL,PSW,PSL,UBW,UBL
47,Washington,Legg Mason Classic,29/07/07,International Gold,Outdoor,Hard,1st Round,3,Zib T.,Kim K.,131,144,330,295,7,6,6,4,,,,,,,2,0,Completed,1.83,1.83,,,,,1.775,2.19,,
47,Washington,Legg Mason Classic,30/07/07,International Gold,Outdoor,Hard,1st Round,3,Hernych J.,Healey N.,121,173,349,245,6,3,1,1,,,,,,,1,0,Retired,1.28,3.5,1.25,3.8,1.28,3.48,1.282,4.25,1.25,3.65
47,Washington,Legg Mason Classic,30/07/07,International Gold,Outdoor,Hard,1st Round,3,Johansson T.,Giraldo S.,74,156,534,276,7,6,6,7,6,4,,,,,2,1,Completed,1.28,3.5,,,,,1.369,3.51,,
47,Washington,Legg Mason Classic,30/07/07,International Gold,Outdoor,Hard,1st Round,3,Kunitsyn I.,Grosjean S.,95,77,443,528,6,7,6,4,6,3,,,,,2,1,Completed,2.62,1.44,2.45,1.53,2.6,1.45,2.71,1.552,2.38,1.55
47,Washington,Legg Mason Classic,30/07/07,International Gold,Outdoor,Hard,1st Round,3,Capdeville P.,Bozoljac I.,122,172,347,248,4,6,6,3,6,0,,,,,2,1,Completed,1.4,2.75,1.45,2.7,1.42,2.75,1.476,2.9,1.42,2.8
47,Washington,Legg Mason Classic,30/07/07,International Gold,Outdoor,Hard,1st Round,3,Klizan M.,Economidis K.,459,153,60,281,6,4,6,3,,,,,,,2,0,Completed,,,,,2.15,1.65,2.13,1.813,2.1,1.7
47,Washington,Legg Mason Classic,31/07/07,International Gold,Outdoor,Hard,1st Round,3,Korolev E.,Mello R.,81,171,514,249,6,4,6,4,,,,,,,2,0,Completed,1.53,2.37,1.53,2.45,1.45,2.6,1.568,2.66,1.52,2.46
47,Washington,Legg Mason Classic,31/07/07,International Gold,Outdoor,Hard,1st Round,3,Haase R.,Bogdanovic A.,104,127,411,338,6,4,6,2,,,,,,,2,0,Completed,1.53,2.37,1.62,2.25,1.65,2.15,1.588,2.6,1.6,2.28
47,Washington,Legg Mason Classic,31/07/07,International Gold,Outdoor,Hard,1st Round,3,Falla A.,Kendrick R.,129,105,334,409,3,6,6,2,7,5,,,,,2,1,Completed,1.72,2,1.7,2.1,1.75,2.05,1.769,2.2,1.65,2.18
47,Washington,Legg Mason Classic,31/07/07,International Gold,Outdoor,Hard,1st Round,3,Isner J.,Henman T.,416,73,73,535,4,6,6,4,7,6,,,,,2,1,Completed,3.75,1.25,3.4,1.3,3.46,1.28,4.18,1.287,3.4,1.3
47,Washington,Legg Mason Classic,31/07/07,International Gold,Outdoor,Hard,1st Round,3,Moodie W.,Sweeting R.,107,243,397,157,6,3,6,4,,,,,,,2,0,Completed,1.36,3,1.4,2.85,1.4,2.85,1.461,2.97,1.42,2.8
47,Washington,Legg Mason Classic,31/07/07,International Gold,Outdoor,Hard,1st Round,3,Whitehouse W.,Vanek J.,373,112,87,389,3,6,6,3,6,3,,,,,2,1,Completed,1.57,2.25,1.97,1.8,1.71,2.05,2.06,1.862,1.7,2.1
47,Washington,Legg Mason Classic,31/07/07,International Gold,Outdoor,Hard,1st Round,3,Berrer M.,Bastl G.,84,260,490,138,6,3,6,2,,,,,,,2,0,Completed,1.44,2.62,1.48,2.6,1.53,2.4,1.524,2.78,1.5,2.52
47,Washington,Legg Mason Classic,31/07/07,International Gold,Outdoor,Hard,1st Round,3,Nishikori K.,Gabashvili T.,276,93,131,452,7,6,6,3,,,,,,,2,0,Completed,2.1,1.66,2.15,1.67,2.1,1.7,2.37,1.68,2.18,1.65
47,Washington,Legg Mason Classic,31/07/07,International Gold,Outdoor,Hard,1st Round,3,Goldstein P.,Dev Varman S.,101,1008,416,7,6,4,6,2,,,,,,,2,0,Completed,1.22,4,,,1.26,3.59,1.267,4.45,1.21,4.2
47,Washington,Legg Mason Classic,31/07/07,International Gold,Outdoor,Hard,1st Round,3,Odesnik W.,Garcia A.,189,140,215,300,4,6,6,3,6,0,,,,,2,1,Completed,1.5,2.5,,,1.48,2.53,1.53,2.76,1.45,2.6
47,Washington,Legg Mason Classic,31/07/07,International Gold,Outdoor,Hard,2nd Round,3,Lee H.T.,Kunitsyn I.,38,95,776,443,6,7,6,3,6,1,,,,,2,1,Completed,1.44,2.62,1.42,2.8,1.37,2.92,1.452,3.01,1.43,2.65
47,Washington,Legg Mason Classic,01/08/07,International Gold,Outdoor,Hard,2nd Round,3,Monfils G.,Klizan M.,54,459,642,60,7,6,6,4,,,,,,,2,0,Completed,1.12,5.5,,,1.15,5.2,1.166,6.43,1.15,5.2
47,Washington,Legg Mason Classic,01/08/07,International Gold,Outdoor,Hard,2nd Round,3,Roddick A.,Zib T.,5,131,3165,330,6,4,6,2,,,,,,,2,0,Completed,1.04,10,1.03,11,1.05,8.5,1.048,17,1.04,10
47,Washington,Legg Mason Classic,01/08/07,International Gold,Outdoor,Hard,2nd Round,3,Capdeville P.,Delic A.,122,66,347,560,7,6,7,5,,,,,,,2,0,Completed,2.25,1.57,2.15,1.67,2.08,1.7,2.22,1.758,2.1,1.7
47,Washington,Legg Mason Classic,01/08/07,International Gold,Outdoor,Hard,2nd Round,3,Safin M.,Hernych J.,22,121,1165,349,6,2,2,6,6,2,,,,,2,1,Completed,1.33,3.25,1.33,3.2,1.32,3.22,1.407,3.26,1.36,3.05
47,Washington,Legg Mason Classic,01/08/07,International Gold,Outdoor,Hard,2nd Round,3,Haase R.,Llodra M.,104,61,411,584,6,2,6,7,7,6,,,,,2,1,Completed,2.1,1.66,2.15,1.67,2.1,1.7,2.18,1.781,2.24,1.62
47,Washington,Legg Mason Classic,01/08/07,International Gold,Outdoor,Hard,2nd Round,3,Stepanek R.,Goldstein P.,63,101,580,416,6,3,4,6,6,4,,,,,2,1,Completed,1.22,4,1.25,3.85,1.26,3.59,1.294,4.1,1.25,3.8
47,Washington,Legg Mason Classic,01/08/07,International Gold,Outdoor,Hard,2nd Round,3,Spadea V.,Moodie W.,58,107,610,397,7,6,7,6,,,,,,,2,0,Completed,1.57,2.25,1.7,2.1,1.61,2.23,1.69,2.35,1.65,2.18
47,Washington,Legg Mason Classic,01/08/07,International Gold,Outdoor,Hard,2nd Round,3,Karlovic I.,Korolev E.,41,81,757,514,6,3,6,3,,,,,,,2,0,Completed,1.53,2.37,1.62,2.25,1.6,2.25,1.637,2.47,1.6,2.25
47,Washington,Legg Mason Classic,01/08/07,International Gold,Outdoor,Hard,2nd Round,3,Odesnik W.,Del Potro J.M.,189,59,215,594,3,6,7,6,6,3,,,,,2,1,Completed,4,1.22,2,1.77,3.74,1.25,4.34,1.275,1.96,1.8
47,Washington,Legg Mason Classic,01/08/07,International Gold,Outdoor,Hard,2nd Round,3,Johansson T.,Clement A.,74,30,534,895,1,6,6,3,6,4,,,,,2,1,Completed,2.25,1.57,2.6,1.47,2.4,1.53,2.29,1.719,2.35,1.54
47,Washington,Legg Mason Classic,01/08/07,International Gold,Outdoor,Hard,2nd Round,3,Berrer M.,Fish M.,84,43,490,745,7,6,6,4,,,,,,,2,0,Completed,1.9,1.8,1.93,1.83,1.87,1.87,1.99,1.917,1.88,1.88
47,Washington,Legg Mason Classic,01/08/07,International Gold,Outdoor,Hard,2nd Round,3,Isner J.,Becker B.,416,47,73,719,3,6,7,5,7,6,,,,,2,1,Completed,2.62,1.44,2.5,1.5,2.28,1.58,2.75,1.532,2.34,1.57
47,Washington,Legg Mason Classic,01/08/07,International Gold,Outdoor,Hard,2nd Round,3,Benneteau J.,Nishikori K.,57,276,610,131,6,2,6,3,,,,,,,2,0,Completed,1.5,2.5,1.55,2.4,1.55,2.4,1.493,2.83,1.6,2.28
47,Washington,Legg Mason Classic,02/08/07,International Gold,Outdoor,Hard,2nd Round,3,Russell M.,Whitehouse W.,71,373,549,87,7,6,4,1,,,,,,,1,0,Retired,1.44,2.62,1.45,2.7,1.46,2.6,1.51,2.81,1.5,2.52
47,Washington,Legg Mason Classic,02/08/07,International Gold,Outdoor,Hard,2nd Round,3,Haas T.,Falla A.,12,129,1885,334,6,3,6,2,,,,,,,2,0,Completed,1.25,3.75,1.28,3.55,1.26,3.59,1.377,3.45,1.25,3.8
47,Washington,Legg Mason Classic,02/08/07,International Gold,Outdoor,Hard,3rd Round,3,Capdeville P.,Johansson T.,122,74,347,534,7,6,6,3,,,,,,,2,0,Completed,2.5,1.5,2.55,1.5,2.28,1.58,2.59,1.592,2.42,1.54
47,Washington,Legg Mason Classic,02/08/07,International Gold,Outdoor,Hard,3rd Round,3,Monfils G.,Berrer M.,54,84,642,490,6,7,6,3,6,3,,,,,2,1,Completed,1.5,2.5,1.48,2.6,1.58,2.28,1.61,2.54,1.55,2.38
47,Washington,Legg Mason Classic,02/08/07,International Gold,Outdoor,Hard,3rd Round,3,Karlovic I.,Spadea V.,41,58,757,610,6,2,6,4,,,,,,,2,0,Completed,1.61,2.2,1.65,2.2,1.65,2.15,1.637,2.47,1.6,2.3
47,Washington,Legg Mason Classic,02/08/07,International Gold,Outdoor,Hard,3rd Round,3,Isner J.,Odesnik W.,416,189,73,215,6,7,7,6,7,6,,,,,2,1,Completed,1.72,2,1.83,1.93,1.8,1.95,1.893,2.02,1.8,1.96
47,Washington,Legg Mason Classic,03/08/07,International Gold,Outdoor,Hard,3rd Round,3,Lee H.T.,Benneteau J.,38,57,776,610,2,6,6,2,6,3,,,,,2,1,Completed,1.61,2.2,1.65,2.2,1.6,2.25,1.633,2.48,1.65,2.18
47,Washington,Legg Mason Classic,03/08/07,International Gold,Outdoor,Hard,3rd Round,3,Haas T.,Russell M.,12,71,1885,549,6,3,6,4,,,,,,,2,0,Completed,1.14,5,1.22,4.1,1.21,4.06,1.206,5.45,1.23,4
47,Washington,Legg Mason Classic,03/08/07,International Gold,Outdoor,Hard,3rd Round,3,Roddick A.,Stepanek R.,5,63,3165,580,6,3,1,6,7,5,,,,,2,1,Completed,1.22,4,1.28,3.55,1.25,3.9,1.312,3.91,1.3,3.4
47,Washington,Legg Mason Classic,03/08/07,International Gold,Outdoor,Hard,3rd Round,3,Safin M.,Haase R.,22,104,1165,411,7,5,6,7,7,5,,,,,2,1,Completed,1.33,3.25,1.3,3.4,1.32,3.22,1.392,3.35,1.34,3.15
47,Washington,Legg Mason Classic,03/08/07,International Gold,Outdoor,Hard,Quarterfinals,3,Isner J.,Haas T.,416,12,73,1885,6,4,6,7,7,6,,,,,2,1,Completed,4.33,1.2,5.4,1.14,4.25,1.2,5.45,1.206,4.8,1.17
47,Washington,Legg Mason Classic,03/08/07,International Gold,Outdoor,Hard,Quarterfinals,3,Monfils G.,Safin M.,54,22,642,1165,6,3,7,5,,,,,,,2,0,Completed,2.1,1.66,2.1,1.7,2,1.75,2.08,1.847,2,1.77
